Date,CPIUFDNS
1913-01-01,9.70
1913-02-01,9.60
1913-03-01,9.60
1913-04-01,9.70
1913-05-01,9.60
1913-06-01,9.70
1913-07-01,9.90
1913-08-01,10.00
1913-09-01,10.20
1913-10-01,10.30
1913-11-01,10.40
1913-12-01,10.30
1914-01-01,10.30
1914-02-01,10.00
1914-03-01,9.80
1914-04-01,9.60
1914-05-01,9.70
1914-06-01,9.80
1914-07-01,10.10
1914-08-01,10.60
1914-09-01,10.70
1914-10-01,10.40
1914-11-01,10.40
1914-12-01,10.40
1915-01-01,10.30
1915-02-01,10.00
1915-03-01,9.70
1915-04-01,9.80
1915-05-01,10.00
1915-06-01,10.00
1915-07-01,10.00
1915-08-01,10.00
1915-09-01,10.00
1915-10-01,10.20
1915-11-01,10.30
1915-12-01,10.40
1916-01-01,10.60
1916-02-01,10.50
1916-03-01,10.60
1916-04-01,10.80
1916-05-01,10.90
1916-06-01,11.10
1916-07-01,10.90
1916-08-01,11.20
1916-09-01,11.70
1916-10-01,12.00
1916-11-01,12.50
1916-12-01,12.50
1917-01-01,12.60
1917-02-01,13.20
1917-03-01,13.10
1917-04-01,14.40
1917-05-01,14.90
1917-06-01,15.00
1917-07-01,14.50
1917-08-01,14.70
1917-09-01,15.10
1917-10-01,15.60
1917-11-01,15.40
1917-12-01,15.60
1918-01-01,15.90
1918-02-01,16.00
1918-03-01,15.30
1918-04-01,15.30
1918-05-01,15.70
1918-06-01,16.10
1918-07-01,16.60
1918-08-01,17.00
1918-09-01,17.70
1918-10-01,18.00
1918-11-01,18.20
1918-12-01,18.60
1919-01-01,18.40
1919-02-01,17.10
1919-03-01,17.40
1919-04-01,18.10
1919-05-01,18.50
1919-06-01,18.40
1919-07-01,19.00
1919-08-01,19.20
1919-09-01,18.80
1919-10-01,18.90
1919-11-01,19.30
1919-12-01,19.80
1920-01-01,20.60
1920-02-01,20.70
1920-03-01,20.90
1920-04-01,22.10
1920-05-01,22.60
1920-06-01,23.00
1920-07-01,22.70
1920-08-01,21.00
1920-09-01,20.30
1920-10-01,20.00
1920-11-01,19.60
1920-12-01,18.20
1921-01-01,17.60
1921-02-01,16.20
1921-03-01,16.00
1921-04-01,15.70
1921-05-01,15.00
1921-06-01,15.10
1921-07-01,15.60
1921-08-01,16.20
1921-09-01,16.00
