Date,UNAPVS
1992-01-01,3900000000.00
1992-02-01,5479000000.00
1992-03-01,6332000000.00
1992-04-01,4964000000.00
1992-05-01,4593000000.00
1992-06-01,6783000000.00
1992-07-01,4067000000.00
1992-08-01,4391000000.00
1992-09-01,5359000000.00
1992-10-01,4810000000.00
1992-11-01,5260000000.00
1992-12-01,7256000000.00
1993-01-01,3699000000.00
1993-02-01,4366000000.00
1993-03-01,5540000000.00
1993-04-01,4763000000.00
1993-05-01,4757000000.00
1993-06-01,6160000000.00
1993-07-01,3058000000.00
1993-08-01,4881000000.00
1993-09-01,3899000000.00
1993-10-01,4143000000.00
1993-11-01,3723000000.00
1993-12-01,5980000000.00
1994-01-01,3401000000.00
1994-02-01,3869000000.00
1994-03-01,5141000000.00
1994-04-01,3646000000.00
1994-05-01,3404000000.00
1994-06-01,4977000000.00
1994-07-01,3378000000.00
1994-08-01,3659000000.00
1994-09-01,4544000000.00
1994-10-01,3712000000.00
1994-11-01,3915000000.00
1994-12-01,5410000000.00
1995-01-01,3339000000.00
1995-02-01,4478000000.00
1995-03-01,4486000000.00
1995-04-01,4048000000.00
1995-05-01,3599000000.00
1995-06-01,5035000000.00
1995-07-01,3303000000.00
1995-08-01,3298000000.00
1995-09-01,4552000000.00
1995-10-01,3537000000.00
1995-11-01,4068000000.00
1995-12-01,5325000000.00
1996-01-01,2338000000.00
1996-02-01,3480000000.00
1996-03-01,4201000000.00
1996-04-01,3526000000.00
1996-05-01,4524000000.00
1996-06-01,4559000000.00
1996-07-01,3461000000.00
1996-08-01,4337000000.00
1996-09-01,4849000000.00
1996-10-01,3987000000.00
1996-11-01,4658000000.00
1996-12-01,6969000000.00
1997-01-01,3695000000.00
1997-02-01,4772000000.00
1997-03-01,6516000000.00
1997-04-01,6177000000.00
1997-05-01,5929000000.00
1997-06-01,7106000000.00
1997-07-01,5936000000.00
1997-08-01,5638000000.00
1997-09-01,6885000000.00
1997-10-01,5104000000.00
1997-11-01,6367000000.00
1997-12-01,8529000000.00
1998-01-01,5369000000.00
1998-02-01,6714000000.00
1998-03-01,8257000000.00
1998-04-01,7201000000.00
1998-05-01,6959000000.00
1998-06-01,7849000000.00
1998-07-01,6071000000.00
1998-08-01,6533000000.00
1998-09-01,8396000000.00
1998-10-01,7686000000.00
1998-11-01,8976000000.00
1998-12-01,9863000000.00
1999-01-01,6626000000.00
1999-02-01,7599000000.00
1999-03-01,8733000000.00
1999-04-01,8179000000.00
1999-05-01,8435000000.00
1999-06-01,8089000000.00
1999-07-01,5833000000.00
1999-08-01,8325000000.00
1999-09-01,7348000000.00
1999-10-01,7027000000.00
1999-11-01,6660000000.00
1999-12-01,9669000000.00
2000-01-01,6035000000.00
2000-02-01,6322000000.00
2000-03-01,6304000000.00
2000-04-01,7113000000.00
2000-05-01,8998000000.00
2000-06-01,8458000000.00
2000-07-01,5024000000.00
2000-08-01,7637000000.00
2000-09-01,8469000000.00
2000-10-01,5830000000.00
2000-11-01,7825000000.00
2000-12-01,9083000000.00
2001-01-01,5179000000.00
2001-02-01,7752000000.00
2001-03-01,8664000000.00
2001-04-01,6251000000.00
2001-05-01,8061000000.00
2001-06-01,9418000000.00
2001-07-01,5854000000.00
2001-08-01,7392000000.00
2001-09-01,8270000000.00
2001-10-01,6313000000.00
2001-11-01,7969000000.00
2001-12-01,9276000000.00
2002-01-01,5074000000.00
2002-02-01,6941000000.00
2002-03-01,8399000000.00
2002-04-01,5812000000.00
2002-05-01,6246000000.00
2002-06-01,6779000000.00
2002-07-01,4835000000.00
2002-08-01,5059000000.00
2002-09-01,6677000000.00
2002-10-01,5266000000.00
2002-11-01,5982000000.00
2002-12-01,7294000000.00
2003-01-01,3292000000.00
2003-02-01,5621000000.00
2003-03-01,6821000000.00
2003-04-01,4509000000.00
2003-05-01,4988000000.00
2003-06-01,6809000000.00
2003-07-01,4508000000.00
2003-08-01,4736000000.00
2003-09-01,5919000000.00
2003-10-01,4566000000.00
2003-11-01,5999000000.00
2003-12-01,6304000000.00
2004-01-01,3522000000.00
2004-02-01,5201000000.00
2004-03-01,6750000000.00
2004-04-01,4333000000.00
2004-05-01,5783000000.00
2004-06-01,6600000000.00
2004-07-01,4073000000.00
2004-08-01,5273000000.00
2004-09-01,6322000000.00
2004-10-01,5139000000.00
2004-11-01,5059000000.00
2004-12-01,6621000000.00
2005-01-01,3826000000.00
2005-02-01,4474000000.00
2005-03-01,7281000000.00
2005-04-01,5800000000.00
2005-05-01,5910000000.00
2005-06-01,7320000000.00
2005-07-01,4866000000.00
2005-08-01,5881000000.00
2005-09-01,5089000000.00
2005-10-01,6007000000.00
2005-11-01,8276000000.00
2005-12-01,11644000000.00
2006-01-01,4619000000.00
2006-02-01,6907000000.00
2006-03-01,8533000000.00
2006-04-01,5446000000.00
2006-05-01,7188000000.00
2006-06-01,8569000000.00
2006-07-01,5316000000.00
2006-08-01,6991000000.00
2006-09-01,8361000000.00
2006-10-01,6583000000.00
2006-11-01,8224000000.00
2006-12-01,9151000000.00
2007-01-01,6427000000.00
2007-02-01,7737000000.00
2007-03-01,10626000000.00
2007-04-01,7850000000.00
2007-05-01,9435000000.00
2007-06-01,11309000000.00
2007-07-01,7913000000.00
2007-08-01,10674000000.00
2007-09-01,10014000000.00
2007-10-01,9155000000.00
2007-11-01,10387000000.00
2007-12-01,11617000000.00
2008-01-01,7988000000.00
2008-02-01,8796000000.00
2008-03-01,10439000000.00
2008-04-01,8735000000.00
2008-05-01,9168000000.00
2008-06-01,11213000000.00
2008-07-01,8166000000.00
2008-08-01,8430000000.00
2008-09-01,8342000000.00
2008-10-01,6282000000.00
2008-11-01,6054000000.00
2008-12-01,10396000000.00
2009-01-01,6300000000.00
2009-02-01,6827000000.00
2009-03-01,9145000000.00
2009-04-01,6667000000.00
2009-05-01,6822000000.00
2009-06-01,8140000000.00
2009-07-01,5811000000.00
2009-08-01,6075000000.00
2009-09-01,8711000000.00
2009-10-01,6057000000.00
2009-11-01,6892000000.00
2009-12-01,10816000000.00
2010-01-01,4737000000.00
2010-02-01,5795000000.00
2010-03-01,8200000000.00
2010-04-01,6099000000.00
2010-05-01,5856000000.00
2010-06-01,8067000000.00
2010-07-01,7120000000.00
2010-08-01,7366000000.00
2010-09-01,7557000000.00
2010-10-01,6466000000.00
2010-11-01,6768000000.00
2010-12-01,10330000000.00
2011-01-01,5253000000.00
2011-02-01,6657000000.00
2011-03-01,9578000000.00
2011-04-01,6838000000.00
2011-05-01,7160000000.00
2011-06-01,9486000000.00
2011-07-01,7160000000.00
2011-08-01,8821000000.00
2011-09-01,9851000000.00
2011-10-01,8762000000.00
2011-11-01,9000000000.00
2011-12-01,11924000000.00
2012-01-01,7687000000.00
2012-02-01,9078000000.00
2012-03-01,11547000000.00
2012-04-01,8912000000.00
2012-05-01,10192000000.00
2012-06-01,11711000000.00
2012-07-01,8630000000.00
2012-08-01,9721000000.00
2012-09-01,12235000000.00
2012-10-01,10185000000.00
2012-11-01,11369000000.00
2012-12-01,15005000000.00
2013-01-01,7862000000.00
2013-02-01,8527000000.00
2013-03-01,13270000000.00
2013-04-01,8697000000.00
2013-05-01,12296000000.00
2013-06-01,14125000000.00
2013-07-01,10209000000.00
2013-08-01,11199000000.00
2013-09-01,13058000000.00
2013-10-01,11700000000.00
2013-11-01,11406000000.00
2013-12-01,15972000000.00
2014-01-01,9375000000.00
2014-02-01,10344000000.00
2014-03-01,14542000000.00
2014-04-01,11093000000.00
2014-05-01,10969000000.00
2014-06-01,15374000000.00
2014-07-01,11971000000.00
2014-08-01,12937000000.00
2014-09-01,14692000000.00
2014-10-01,12914000000.00
2014-11-01,11955000000.00
2014-12-01,17245000000.00
2015-01-01,9954000000.00
2015-02-01,11252000000.00
2015-03-01,15711000000.00
2015-04-01,12305000000.00
2015-05-01,12262000000.00
2015-06-01,15185000000.00
2015-07-01,10991000000.00
2015-08-01,13233000000.00
2015-09-01,15172000000.00
2015-10-01,11854000000.00
2015-11-01,14318000000.00
2015-12-01,13228000000.00
2016-01-01,9974000000.00
2016-02-01,10736000000.00
2016-03-01,15288000000.00
2016-04-01,11446000000.00
2016-05-01,13624000000.00
2016-06-01,16099000000.00
2016-07-01,12008000000.00
2016-08-01,12547000000.00
2016-09-01,15647000000.00
2016-10-01,12333000000.00
2016-11-01,11988000000.00
2016-12-01,16483000000.00
2017-01-01,9703000000.00
2017-02-01,10357000000.00
2017-03-01,15830000000.00
2017-04-01,10604000000.00
2017-05-01,13049000000.00
2017-06-01,15857000000.00
2017-07-01,12280000000.00
2017-08-01,12595000000.00
2017-09-01,15522000000.00
2017-10-01,10973000000.00
2017-11-01,13338000000.00
2017-12-01,15622000000.00
2018-01-01,9626000000.00
2018-02-01,10462000000.00
2018-03-01,17397000000.00
2018-04-01,9182000000.00
2018-05-01,13848000000.00
