Date,U34ANO
1992-02-01,2823000000.00
1992-03-01,3623000000.00
1992-04-01,2741000000.00
1992-05-01,3004000000.00
1992-06-01,4121000000.00
1992-07-01,2605000000.00
1992-08-01,2774000000.00
1992-09-01,3660000000.00
1992-10-01,2953000000.00
1992-11-01,3136000000.00
1992-12-01,3791000000.00
1993-01-01,2691000000.00
1993-02-01,3163000000.00
1993-03-01,3647000000.00
1993-04-01,2735000000.00
1993-05-01,2876000000.00
1993-06-01,3671000000.00
1993-07-01,2685000000.00
1993-08-01,2966000000.00
1993-09-01,3582000000.00
1993-10-01,3143000000.00
1993-11-01,3663000000.00
1993-12-01,4151000000.00
1994-01-01,2867000000.00
1994-02-01,3396000000.00
1994-03-01,4412000000.00
1994-04-01,3596000000.00
1994-05-01,3872000000.00
1994-06-01,4915000000.00
1994-07-01,3328000000.00
1994-08-01,3525000000.00
1994-09-01,5043000000.00
1994-10-01,4243000000.00
1994-11-01,4714000000.00
1994-12-01,4899000000.00
1995-01-01,3642000000.00
1995-02-01,4360000000.00
1995-03-01,5896000000.00
1995-04-01,4435000000.00
1995-05-01,4864000000.00
1995-06-01,6381000000.00
1995-07-01,3111000000.00
1995-08-01,4028000000.00
1995-09-01,6014000000.00
1995-10-01,4746000000.00
1995-11-01,5962000000.00
1995-12-01,5764000000.00
1996-01-01,3520000000.00
1996-02-01,4862000000.00
1996-03-01,6330000000.00
1996-04-01,4081000000.00
1996-05-01,4615000000.00
1996-06-01,6240000000.00
1996-07-01,4275000000.00
1996-08-01,4675000000.00
1996-09-01,5633000000.00
1996-10-01,4964000000.00
1996-11-01,5007000000.00
1996-12-01,6156000000.00
1997-01-01,4129000000.00
1997-02-01,4618000000.00
1997-03-01,6206000000.00
1997-04-01,4398000000.00
1997-05-01,5035000000.00
1997-06-01,6568000000.00
1997-07-01,4695000000.00
1997-08-01,4925000000.00
1997-09-01,6678000000.00
1997-10-01,4867000000.00
1997-11-01,5075000000.00
1997-12-01,6617000000.00
1998-01-01,4398000000.00
1998-02-01,5167000000.00
1998-03-01,7526000000.00
1998-04-01,4617000000.00
1998-05-01,4840000000.00
1998-06-01,7974000000.00
1998-07-01,4514000000.00
1998-08-01,4769000000.00
1998-09-01,6476000000.00
1998-10-01,4479000000.00
1998-11-01,5148000000.00
1998-12-01,8281000000.00
1999-01-01,4163000000.00
1999-02-01,5239000000.00
1999-03-01,7921000000.00
1999-04-01,5294000000.00
1999-05-01,5766000000.00
1999-06-01,7745000000.00
1999-07-01,6116000000.00
1999-08-01,5772000000.00
1999-09-01,6827000000.00
1999-10-01,5655000000.00
1999-11-01,5376000000.00
1999-12-01,7125000000.00
2000-01-01,4449000000.00
2000-02-01,4981000000.00
2000-03-01,6641000000.00
2000-04-01,4864000000.00
2000-05-01,5811000000.00
2000-06-01,6346000000.00
2000-07-01,4944000000.00
2000-08-01,5976000000.00
2000-09-01,5630000000.00
2000-10-01,5584000000.00
2000-11-01,5369000000.00
2000-12-01,6118000000.00
2001-01-01,4318000000.00
2001-02-01,4493000000.00
2001-03-01,5702000000.00
2001-04-01,4390000000.00
2001-05-01,3918000000.00
2001-06-01,5561000000.00
2001-07-01,4318000000.00
2001-08-01,4098000000.00
2001-09-01,3969000000.00
2001-10-01,4346000000.00
2001-11-01,4277000000.00
2001-12-01,4838000000.00
2002-01-01,3633000000.00
2002-02-01,4030000000.00
2002-03-01,4680000000.00
2002-04-01,3384000000.00
2002-05-01,3765000000.00
2002-06-01,4455000000.00
2002-07-01,3422000000.00
2002-08-01,3596000000.00
2002-09-01,4796000000.00
2002-10-01,3612000000.00
2002-11-01,3353000000.00
2002-12-01,5035000000.00
2003-01-01,3597000000.00
2003-02-01,2949000000.00
2003-03-01,3965000000.00
2003-04-01,3445000000.00
2003-05-01,3766000000.00
2003-06-01,3946000000.00
2003-07-01,3613000000.00
2003-08-01,3828000000.00
2003-09-01,4468000000.00
2003-10-01,4467000000.00
2003-11-01,3576000000.00
2003-12-01,3950000000.00
2004-01-01,3177000000.00
2004-02-01,2914000000.00
2004-03-01,3379000000.00
2004-04-01,3094000000.00
2004-05-01,3268000000.00
2004-06-01,3402000000.00
2004-07-01,3096000000.00
2004-08-01,2895000000.00
2004-09-01,4146000000.00
2004-10-01,3787000000.00
2004-11-01,3206000000.00
2004-12-01,3971000000.00
2005-01-01,3088000000.00
2005-02-01,2948000000.00
2005-03-01,2954000000.00
