Date,IPHITEK2N
1976-10-01,0.17
1976-11-01,0.17
1976-12-01,0.18
1977-01-01,0.17
1977-02-01,0.18
1977-03-01,0.18
1977-04-01,0.18
1977-05-01,0.19
1977-06-01,0.20
1977-07-01,0.19
1977-08-01,0.20
1977-09-01,0.21
1977-10-01,0.21
1977-11-01,0.22
1977-12-01,0.22
1978-01-01,0.22
1978-02-01,0.22
1978-03-01,0.23
1978-04-01,0.23
1978-05-01,0.24
1978-06-01,0.25
1978-07-01,0.24
1978-08-01,0.25
1978-09-01,0.26
1978-10-01,0.27
1978-11-01,0.28
1978-12-01,0.29
1979-01-01,0.28
1979-02-01,0.29
1979-03-01,0.30
1979-04-01,0.29
1979-05-01,0.30
1979-06-01,0.32
1979-07-01,0.31
1979-08-01,0.32
1979-09-01,0.34
1979-10-01,0.34
1979-11-01,0.36
1979-12-01,0.37
1980-01-01,0.37
1980-02-01,0.38
1980-03-01,0.38
1980-04-01,0.38
1980-05-01,0.39
1980-06-01,0.39
1980-07-01,0.38
1980-08-01,0.40
1980-09-01,0.40
1980-10-01,0.41
1980-11-01,0.42
1980-12-01,0.44
1981-01-01,0.43
1981-02-01,0.43
1981-03-01,0.44
1981-04-01,0.45
1981-05-01,0.46
1981-06-01,0.47
1981-07-01,0.46
1981-08-01,0.48
1981-09-01,0.48
1981-10-01,0.49
1981-11-01,0.50
1981-12-01,0.51
1982-01-01,0.49
1982-02-01,0.51
1982-03-01,0.52
1982-04-01,0.51
1982-05-01,0.52
1982-06-01,0.53
1982-07-01,0.53
1982-08-01,0.53
1982-09-01,0.54
1982-10-01,0.54
1982-11-01,0.55
1982-12-01,0.57
1983-01-01,0.57
1983-02-01,0.57
1983-03-01,0.59
1983-04-01,0.60
1983-05-01,0.61
1983-06-01,0.63
1983-07-01,0.65
1983-08-01,0.65
1983-09-01,0.69
1983-10-01,0.70
1983-11-01,0.72
1983-12-01,0.74
1984-01-01,0.74
1984-02-01,0.76
1984-03-01,0.78
1984-04-01,0.79
1984-05-01,0.81
1984-06-01,0.83
1984-07-01,0.83
1984-08-01,0.85
1984-09-01,0.87
1984-10-01,0.87
1984-11-01,0.89
1984-12-01,0.91
1985-01-01,0.90
1985-02-01,0.88
1985-03-01,0.89
1985-04-01,0.85
1985-05-01,0.87
1985-06-01,0.88
1985-07-01,0.84
1985-08-01,0.85
1985-09-01,0.85
1985-10-01,0.85
1985-11-01,0.87
1985-12-01,0.88
1986-01-01,0.86
1986-02-01,0.85
1986-03-01,0.86
1986-04-01,0.86
1986-05-01,0.86
1986-06-01,0.85
1986-07-01,0.87
1986-08-01,0.90
1986-09-01,0.92
1986-10-01,0.92
1986-11-01,0.95
1986-12-01,0.99
1987-01-01,0.98
1987-02-01,1.00
1987-03-01,1.00
1987-04-01,1.01
1987-05-01,1.05
1987-06-01,1.08
1987-07-01,1.08
1987-08-01,1.13
1987-09-01,1.14
1987-10-01,1.18
1987-11-01,1.21
1987-12-01,1.25
1988-01-01,1.21
1988-02-01,1.21
1988-03-01,1.23
1988-04-01,1.24
1988-05-01,1.26
1988-06-01,1.29
1988-07-01,1.28
1988-08-01,1.31
1988-09-01,1.32
1988-10-01,1.33
1988-11-01,1.35
1988-12-01,1.37
1989-01-01,1.33
1989-02-01,1.32
1989-03-01,1.31
1989-04-01,1.33
1989-05-01,1.31
1989-06-01,1.34
1989-07-01,1.34
1989-08-01,1.38
1989-09-01,1.38
1989-10-01,1.41
1989-11-01,1.44
1989-12-01,1.48
1990-01-01,1.45
1990-02-01,1.46
1990-03-01,1.48
1990-04-01,1.47
1990-05-01,1.50
1990-06-01,1.53
1990-07-01,1.52
1990-08-01,1.54
1990-09-01,1.57
1990-10-01,1.57
1990-11-01,1.59
1990-12-01,1.63
1991-01-01,1.57
1991-02-01,1.60
1991-03-01,1.62
1991-04-01,1.62
1991-05-01,1.64
1991-06-01,1.67
1991-07-01,1.64
1991-08-01,1.67
1991-09-01,1.68
1991-10-01,1.67
1991-11-01,1.70
1991-12-01,1.76
1992-01-01,1.74
1992-02-01,1.76
1992-03-01,1.90
1992-04-01,1.85
1992-05-01,1.85
1992-06-01,2.01
1992-07-01,1.94
1992-08-01,1.96
1992-09-01,2.17
1992-10-01,2.19
1992-11-01,2.30
1992-12-01,2.32
1993-01-01,2.08
1993-02-01,2.16
1993-03-01,2.31
1993-04-01,2.21
1993-05-01,2.21
1993-06-01,2.41
1993-07-01,2.25
1993-08-01,2.29
1993-09-01,2.56
1993-10-01,2.51
1993-11-01,2.63
1993-12-01,2.68
1994-01-01,2.44
1994-02-01,2.46
1994-03-01,2.74
1994-04-01,2.68
1994-05-01,2.74
1994-06-01,2.99
1994-07-01,2.84
1994-08-01,2.99
1994-09-01,3.42
1994-10-01,3.40
1994-11-01,3.61
1994-12-01,3.72
1995-01-01,3.35
1995-02-01,3.46
1995-03-01,3.88
1995-04-01,3.62
1995-05-01,3.76
1995-06-01,4.19
1995-07-01,3.89
1995-08-01,4.13
1995-09-01,4.83
1995-10-01,4.66
1995-11-01,4.94
1995-12-01,5.18
1996-01-01,4.75
1996-02-01,5.05
1996-03-01,5.64
1996-04-01,5.18
1996-05-01,5.35
1996-06-01,6.01
1996-07-01,5.66
1996-08-01,6.02
1996-09-01,7.01
1996-10-01,6.77
1996-11-01,7.21
1996-12-01,7.51
1997-01-01,6.69
1997-02-01,7.13
1997-03-01,8.18
1997-04-01,7.53
1997-05-01,7.87
1997-06-01,8.91
1997-07-01,8.25
1997-08-01,8.84
1997-09-01,10.42
1997-10-01,9.94
1997-11-01,10.72
1997-12-01,11.24
1998-01-01,9.95
1998-02-01,10.43
1998-03-01,11.31
1998-04-01,10.55
1998-05-01,10.72
1998-06-01,11.95
1998-07-01,11.38
1998-08-01,12.16
1998-09-01,14.00
1998-10-01,13.81
1998-11-01,14.73
1998-12-01,15.70
1999-01-01,14.25
1999-02-01,14.73
1999-03-01,16.86
1999-04-01,15.83
1999-05-01,16.23
1999-06-01,18.40
1999-07-01,17.26
1999-08-01,17.89
1999-09-01,19.91
1999-10-01,19.24
1999-11-01,20.41
1999-12-01,21.76
2000-01-01,19.74
2000-02-01,20.22
2000-03-01,23.22
2000-04-01,21.79
2000-05-01,22.59
2000-06-01,25.56
2000-07-01,23.53
2000-08-01,24.73
2000-09-01,28.13
2000-10-01,26.56
2000-11-01,28.02
2000-12-01,29.79
2001-01-01,25.46
2001-02-01,26.13
2001-03-01,28.81
2001-04-01,25.04
2001-05-01,25.23
2001-06-01,27.35
2001-07-01,23.63
2001-08-01,24.12
2001-09-01,26.93
2001-10-01,25.17
2001-11-01,25.66
2001-12-01,27.18
2002-01-01,23.39
2002-02-01,23.85
2002-03-01,27.39
2002-04-01,23.93
2002-05-01,24.75
2002-06-01,27.98
2002-07-01,24.55
2002-08-01,26.05
2002-09-01,29.65
2002-10-01,27.11
2002-11-01,28.33
2002-12-01,29.28
2003-01-01,25.54
2003-02-01,26.62
2003-03-01,30.42
2003-04-01,26.91
2003-05-01,28.83
2003-06-01,33.37
2003-07-01,29.78
2003-08-01,32.50
2003-09-01,38.07
2003-10-01,34.89
2003-11-01,37.17
2003-12-01,38.78
2004-01-01,33.01
2004-02-01,35.69
2004-03-01,39.71
2004-04-01,34.12
2004-05-01,36.25
2004-06-01,40.50
2004-07-01,35.20
2004-08-01,38.13
2004-09-01,43.79
2004-10-01,39.42
2004-11-01,41.58
2004-12-01,43.45
2005-01-01,38.28
2005-02-01,39.35
2005-03-01,45.23
2005-04-01,39.44
2005-05-01,42.03
2005-06-01,47.34
2005-07-01,41.89
2005-08-01,45.96
2005-09-01,53.91
2005-10-01,48.55
2005-11-01,51.51
2005-12-01,53.90
2006-01-01,45.94
2006-02-01,47.93
2006-03-01,54.38
2006-04-01,47.67
2006-05-01,51.35
2006-06-01,57.57
2006-07-01,51.64
2006-08-01,55.48
2006-09-01,64.05
2006-10-01,57.31
2006-11-01,60.45
2006-12-01,63.20
2007-01-01,54.32
2007-02-01,55.45
2007-03-01,66.11
2007-04-01,60.50
2007-05-01,62.48
2007-06-01,66.86
2007-07-01,60.32
2007-08-01,63.57
2007-09-01,73.66
2007-10-01,68.37
2007-11-01,73.54
2007-12-01,78.19
2008-01-01,68.09
2008-02-01,68.47
2008-03-01,81.30
2008-04-01,72.12
2008-05-01,76.66
2008-06-01,85.60
2008-07-01,76.33
2008-08-01,77.28
2008-09-01,85.57
2008-10-01,73.86
2008-11-01,70.24
2008-12-01,69.41
2009-01-01,58.58
2009-02-01,58.96
2009-03-01,66.19
2009-04-01,60.67
2009-05-01,63.46
2009-06-01,69.73
2009-07-01,64.56
2009-08-01,65.80
2009-09-01,75.37
2009-10-01,69.34
2009-11-01,70.30
2009-12-01,75.73
2010-01-01,68.30
2010-02-01,67.68
2010-03-01,81.30
2010-04-01,73.46
2010-05-01,76.33
2010-06-01,86.40
2010-07-01,78.66
2010-08-01,81.39
2010-09-01,93.85
2010-10-01,83.51
2010-11-01,84.26
2010-12-01,95.79
2011-01-01,84.79
2011-02-01,79.77
2011-03-01,94.29
2011-04-01,83.08
2011-05-01,85.07
2011-06-01,98.16
2011-07-01,87.54
2011-08-01,91.47
2011-09-01,104.25
2011-10-01,91.31
2011-11-01,91.02
2011-12-01,101.88
2012-01-01,86.29
2012-02-01,89.09
2012-03-01,102.05
2012-04-01,92.61
2012-05-01,94.39
2012-06-01,108.23
2012-07-01,97.72
2012-08-01,98.67
2012-09-01,112.68
2012-10-01,103.72
2012-11-01,102.71
2012-12-01,111.85
2013-01-01,100.40
2013-02-01,95.46
2013-03-01,108.40
2013-04-01,102.66
2013-05-01,106.13
2013-06-01,115.73
2013-07-01,109.75
2013-08-01,112.26
2013-09-01,121.85
2013-10-01,116.41
2013-11-01,116.47
2013-12-01,122.36
2014-01-01,109.35
2014-02-01,108.75
2014-03-01,121.30
2014-04-01,115.51
2014-05-01,120.57
2014-06-01,130.25
2014-07-01,121.75
2014-08-01,123.52
2014-09-01,133.67
2014-10-01,127.58
2014-11-01,127.75
2014-12-01,132.18
2015-01-01,119.45
2015-02-01,115.98
2015-03-01,126.38
2015-04-01,121.76
2015-05-01,124.70
2015-06-01,131.76
2015-07-01,124.42
2015-08-01,125.37
2015-09-01,133.78
2015-10-01,131.39
2015-11-01,129.66
2015-12-01,135.46
2016-01-01,124.54
2016-02-01,120.81
2016-03-01,131.14
2016-04-01,126.23
2016-05-01,129.77
2016-06-01,136.63
2016-07-01,130.91
2016-08-01,132.23
2016-09-01,143.16
2016-10-01,141.79
2016-11-01,142.65
2016-12-01,146.39
2017-01-01,129.31
2017-02-01,128.27
2017-03-01,136.12
2017-04-01,132.96
2017-05-01,136.77
2017-06-01,143.35
2017-07-01,135.05
2017-08-01,136.27
2017-09-01,145.73
2017-10-01,145.52
2017-11-01,146.86
2017-12-01,152.64
2018-01-01,138.03
2018-02-01,133.27
2018-03-01,144.53
2018-04-01,142.04
2018-05-01,145.64
