Date,UMDMNO
1992-02-01,118429000000.00
1992-03-01,129309000000.00
1992-04-01,123268000000.00
1992-05-01,122274000000.00
1992-06-01,131268000000.00
1992-07-01,103025000000.00
1992-08-01,113623000000.00
1992-09-01,126277000000.00
1992-10-01,131334000000.00
1992-11-01,121759000000.00
1992-12-01,131937000000.00
1993-01-01,115794000000.00
1993-02-01,130164000000.00
1993-03-01,138668000000.00
1993-04-01,126589000000.00
1993-05-01,123210000000.00
1993-06-01,138459000000.00
1993-07-01,107698000000.00
1993-08-01,124150000000.00
1993-09-01,134114000000.00
1993-10-01,135483000000.00
1993-11-01,131460000000.00
1993-12-01,138273000000.00
1994-01-01,131392000000.00
1994-02-01,139057000000.00
1994-03-01,149256000000.00
1994-04-01,137847000000.00
1994-05-01,140366000000.00
1994-06-01,155070000000.00
1994-07-01,119501000000.00
1994-08-01,142852000000.00
1994-09-01,153625000000.00
1994-10-01,151572000000.00
1994-11-01,150202000000.00
1994-12-01,154895000000.00
1995-01-01,143440000000.00
1995-02-01,156606000000.00
1995-03-01,167745000000.00
1995-04-01,146225000000.00
1995-05-01,151770000000.00
1995-06-01,161688000000.00
1995-07-01,123259000000.00
1995-08-01,151465000000.00
1995-09-01,168324000000.00
1995-10-01,158469000000.00
1995-11-01,156881000000.00
1995-12-01,163769000000.00
1996-01-01,150440000000.00
1996-02-01,159185000000.00
1996-03-01,176264000000.00
1996-04-01,155093000000.00
1996-05-01,163769000000.00
1996-06-01,172897000000.00
1996-07-01,138374000000.00
1996-08-01,153637000000.00
1996-09-01,174797000000.00
1996-10-01,169459000000.00
1996-11-01,168650000000.00
1996-12-01,166228000000.00
1997-01-01,155358000000.00
1997-02-01,172311000000.00
1997-03-01,180530000000.00
1997-04-01,170687000000.00
1997-05-01,165694000000.00
1997-06-01,187205000000.00
1997-07-01,150782000000.00
1997-08-01,170465000000.00
1997-09-01,190959000000.00
1997-10-01,183393000000.00
1997-11-01,185230000000.00
1997-12-01,179906000000.00
1998-01-01,164391000000.00
1998-02-01,182332000000.00
1998-03-01,193649000000.00
1998-04-01,178239000000.00
1998-05-01,175154000000.00
1998-06-01,187991000000.00
1998-07-01,145785000000.00
1998-08-01,173662000000.00
1998-09-01,193961000000.00
1998-10-01,181357000000.00
1998-11-01,177925000000.00
1998-12-01,185472000000.00
1999-01-01,171934000000.00
1999-02-01,185255000000.00
1999-03-01,204755000000.00
1999-04-01,180224000000.00
1999-05-01,182326000000.00
1999-06-01,198372000000.00
1999-07-01,159656000000.00
1999-08-01,186590000000.00
1999-09-01,202427000000.00
1999-10-01,193889000000.00
1999-11-01,183986000000.00
1999-12-01,202677000000.00
2000-01-01,185813000000.00
2000-02-01,189153000000.00
2000-03-01,212974000000.00
2000-04-01,186872000000.00
2000-05-01,190188000000.00
2000-06-01,237143000000.00
2000-07-01,159903000000.00
2000-08-01,187688000000.00
2000-09-01,210685000000.00
2000-10-01,187704000000.00
2000-11-01,185475000000.00
2000-12-01,192978000000.00
2001-01-01,167108000000.00
2001-02-01,176646000000.00
2001-03-01,201321000000.00
2001-04-01,166962000000.00
2001-05-01,180620000000.00
2001-06-01,188450000000.00
2001-07-01,144702000000.00
2001-08-01,171491000000.00
