Date,GNP
2011-04-01,15692002000000.00
2011-07-01,15842639000000.00
2011-10-01,16057149000000.00
2012-01-01,16225093000000.00
2012-04-01,16353278000000.00
2012-07-01,16464968000000.00
2012-10-01,16527974000000.00
2013-01-01,16702203000000.00
2013-04-01,16786048000000.00
2013-07-01,17001592000000.00
2013-10-01,17253266000000.00
2014-01-01,17272527000000.00
2014-04-01,17551267000000.00
2014-07-01,17867746000000.00
2014-10-01,17957010000000.00
2015-01-01,18091636000000.00
2015-04-01,18285901000000.00
2015-07-01,18419297000000.00
2015-10-01,18504100000000.00
2016-01-01,18501278000000.00
2016-04-01,18733023000000.00
2016-07-01,18917466000000.00
2016-10-01,19134463000000.00
2017-01-01,19271958000000.00
2017-04-01,19452411000000.00
2017-07-01,19728867000000.00
2017-10-01,19976400000000.00
2018-01-01,20181026000000.00
