Date,GNP
1947-01-01,244058000000.00
1947-04-01,247362000000.00
1947-07-01,251246000000.00
1947-10-01,261545000000.00
1948-01-01,267564000000.00
1948-04-01,274376000000.00
1948-07-01,280980000000.00
1948-10-01,282127000000.00
1949-01-01,276756000000.00
1949-04-01,273021000000.00
1949-07-01,274535000000.00
1949-10-01,272117000000.00
1950-01-01,282437000000.00
1950-04-01,292051000000.00
1950-07-01,310117000000.00
1950-10-01,321929000000.00
1951-01-01,337909000000.00
1951-04-01,346338000000.00
1951-07-01,353770000000.00
1951-10-01,358731000000.00
1952-01-01,362196000000.00
1952-04-01,363433000000.00
1952-07-01,370066000000.00
1952-10-01,383180000000.00
1953-01-01,390380000000.00
1953-04-01,394311000000.00
1953-07-01,393505000000.00
1953-10-01,388349000000.00
1954-01-01,387924000000.00
1954-04-01,388714000000.00
1954-07-01,393634000000.00
1954-10-01,402691000000.00
1955-01-01,416176000000.00
1955-04-01,424624000000.00
1955-07-01,433372000000.00
1955-10-01,440314000000.00
1956-01-01,443342000000.00
1956-04-01,449609000000.00
1956-07-01,454917000000.00
1956-10-01,463838000000.00
1957-01-01,473663000000.00
1957-04-01,476202000000.00
1957-07-01,483548000000.00
1957-10-01,478215000000.00
1958-01-01,470983000000.00
1958-04-01,475480000000.00
1958-07-01,489258000000.00
1958-10-01,502965000000.00
1959-01-01,513646000000.00
1959-04-01,526841000000.00
1959-07-01,528026000000.00
1959-10-01,532352000000.00
1960-01-01,546274000000.00
1960-04-01,545701000000.00
1960-07-01,549176000000.00
1960-10-01,544419000000.00
1961-01-01,549525000000.00
1961-04-01,560830000000.00
1961-07-01,571730000000.00
1961-10-01,585221000000.00
1962-01-01,598777000000.00
1962-04-01,606572000000.00
1962-07-01,613626000000.00
1962-10-01,617862000000.00
1963-01-01,627186000000.00
1963-04-01,636172000000.00
1963-07-01,649398000000.00
1963-10-01,659465000000.00
1964-01-01,676207000000.00
1964-04-01,685632000000.00
1964-07-01,697855000000.00
1964-10-01,703122000000.00
1965-01-01,724683000000.00
1965-04-01,738010000000.00
1965-07-01,755437000000.00
1965-10-01,777891000000.00
1966-01-01,802326000000.00
1966-04-01,812205000000.00
1966-07-01,825765000000.00
1966-10-01,840127000000.00
1967-01-01,851267000000.00
1967-04-01,856138000000.00
1967-07-01,872303000000.00
1967-10-01,888785000000.00
1968-01-01,916952000000.00
1968-04-01,942297000000.00
1968-07-01,958599000000.00
1968-10-01,976400000000.00
1969-01-01,1001753000000.00
1969-04-01,1017522000000.00
1969-07-01,1037964000000.00
1969-10-01,1046758000000.00
1970-01-01,1059815000000.00
1970-04-01,1076747000000.00
1970-07-01,1095045000000.00
1970-10-01,1097526000000.00
1971-01-01,1145226000000.00
1971-04-01,1167330000000.00
1971-07-01,1187573000000.00
1971-10-01,1201313000000.00
1972-01-01,1241982000000.00
1972-04-01,1278238000000.00
1972-07-01,1302756000000.00
1972-10-01,1341046000000.00
1973-01-01,1391350000000.00
1973-04-01,1429221000000.00
1973-07-01,1450690000000.00
1973-10-01,1493371000000.00
1974-01-01,1511721000000.00
1974-04-01,1550617000000.00
1974-07-01,1578673000000.00
1974-10-01,1616343000000.00
1975-01-01,1630949000000.00
1975-04-01,1668104000000.00
1975-07-01,1726810000000.00
1975-10-01,1781833000000.00
1976-01-01,1840255000000.00
1976-04-01,1873589000000.00
1976-07-01,1907619000000.00
1976-10-01,1956290000000.00
1977-01-01,2013299000000.00
1977-04-01,2080914000000.00
1977-07-01,2143272000000.00
1977-10-01,2187485000000.00
1978-01-01,2230781000000.00
1978-04-01,2355312000000.00
1978-07-01,2419756000000.00
1978-10-01,2506750000000.00
1979-01-01,2557235000000.00
1979-04-01,2625360000000.00
1979-07-01,2706482000000.00
1979-10-01,2767203000000.00
1980-01-01,2834512000000.00
1980-04-01,2835749000000.00
1980-07-01,2894458000000.00
1980-10-01,3022051000000.00
1981-01-01,3163202000000.00
1981-04-01,3197264000000.00
1981-07-01,3293897000000.00
1981-10-01,3321165000000.00
1982-01-01,3309801000000.00
1982-04-01,3372209000000.00
1982-07-01,3402099000000.00
1982-10-01,3441903000000.00
1983-01-01,3514372000000.00
1983-04-01,3620585000000.00
1983-07-01,3730124000000.00
1983-10-01,3835801000000.00
1984-01-01,3949814000000.00
1984-04-01,4052539000000.00
1984-07-01,4124734000000.00
1984-10-01,4180830000000.00
1985-01-01,4262701000000.00
1985-04-01,4329966000000.00
1985-07-01,4417057000000.00
1985-10-01,4478709000000.00
1986-01-01,4538503000000.00
1986-04-01,4570739000000.00
1986-07-01,4637805000000.00
1986-10-01,4681392000000.00
1987-01-01,4750599000000.00
1987-04-01,4839592000000.00
1987-07-01,4918274000000.00
1987-10-01,5042354000000.00
1988-01-01,5115604000000.00
1988-04-01,5230523000000.00
1988-07-01,5319648000000.00
1988-10-01,5435376000000.00
1989-01-01,5549748000000.00
1989-04-01,5650095000000.00
1989-07-01,5735852000000.00
1989-10-01,5794243000000.00
1990-01-01,5920354000000.00
1990-04-01,6006289000000.00
1990-07-01,6056641000000.00
1990-10-01,6073819000000.00
1991-01-01,6094324000000.00
1991-04-01,6172170000000.00
1991-07-01,6243535000000.00
1991-10-01,6312517000000.00
1992-01-01,6413531000000.00
1992-04-01,6524355000000.00
1992-07-01,6615758000000.00
1992-10-01,6727862000000.00
1993-01-01,6786195000000.00
1993-04-01,6861074000000.00
1993-07-01,6941236000000.00
1993-10-01,7054328000000.00
1994-01-01,7164520000000.00
1994-04-01,7293621000000.00
1994-07-01,7374445000000.00
1994-10-01,7497896000000.00
1995-01-01,7575946000000.00
1995-04-01,7638350000000.00
1995-07-01,7726169000000.00
1995-10-01,7830808000000.00
1996-01-01,7931307000000.00
1996-04-01,8091463000000.00
1996-07-01,8185790000000.00
1996-10-01,8319370000000.00
1997-01-01,8426000000000.00
1997-04-01,8583410000000.00
1997-07-01,8715613000000.00
1997-10-01,8805461000000.00
1998-01-01,8915910000000.00
1998-04-01,9018065000000.00
1998-07-01,9156910000000.00
1998-10-01,9338694000000.00
1999-01-01,9469190000000.00
1999-04-01,9584391000000.00
1999-07-01,9736818000000.00
1999-10-01,9960617000000.00
2000-01-01,10061805000000.00
2000-04-01,10312162000000.00
2000-07-01,10386733000000.00
2000-10-01,10526429000000.00
2001-01-01,10548624000000.00
2001-04-01,10688094000000.00
2001-07-01,10666313000000.00
2001-10-01,10791492000000.00
2002-01-01,10885632000000.00
2002-04-01,10967297000000.00
2002-07-01,11083887000000.00
2002-10-01,11167667000000.00
2003-01-01,11280154000000.00
2003-04-01,11434533000000.00
2003-07-01,11689098000000.00
2003-10-01,11907365000000.00
2004-01-01,12097338000000.00
2004-04-01,12265292000000.00
2004-07-01,12462379000000.00
2004-10-01,12631227000000.00
2005-01-01,12916616000000.00
2005-04-01,13065837000000.00
2005-07-01,13307778000000.00
2005-10-01,13454932000000.00
2006-01-01,13724340000000.00
2006-04-01,13870157000000.00
2006-07-01,13965553000000.00
2006-10-01,14133920000000.00
2007-01-01,14301854000000.00
2007-04-01,14512945000000.00
2007-07-01,14717814000000.00
2007-10-01,14880255000000.00
2008-01-01,14848718000000.00
2008-04-01,14997477000000.00
2008-07-01,15045188000000.00
2008-10-01,14671011000000.00
2009-01-01,14512300000000.00
2009-04-01,14465085000000.00
2009-07-01,14563620000000.00
2009-10-01,14738145000000.00
2010-01-01,14884660000000.00
2010-04-01,15093912000000.00
2010-07-01,15257384000000.00
2010-10-01,15445447000000.00
2011-01-01,15466496000000.00
