Date,RSXFS
1992-01-01,146925000000.00
1992-02-01,147223000000.00
1992-03-01,146805000000.00
1992-04-01,148032000000.00
1992-05-01,149010000000.00
1992-06-01,149800000000.00
1992-07-01,150761000000.00
1992-08-01,151067000000.00
1992-09-01,152588000000.00
1992-10-01,153521000000.00
1992-11-01,153583000000.00
1992-12-01,155614000000.00
1993-01-01,157555000000.00
1993-02-01,156266000000.00
1993-03-01,154752000000.00
1993-04-01,158979000000.00
1993-05-01,160605000000.00
1993-06-01,160127000000.00
1993-07-01,162816000000.00
1993-08-01,162506000000.00
1993-09-01,163258000000.00
1993-10-01,164685000000.00
1993-11-01,166594000000.00
1993-12-01,168161000000.00
1994-01-01,167518000000.00
1994-02-01,169649000000.00
1994-03-01,172766000000.00
1994-04-01,173106000000.00
1994-05-01,172329000000.00
1994-06-01,174241000000.00
1994-07-01,174781000000.00
1994-08-01,177295000000.00
1994-09-01,178787000000.00
1994-10-01,180561000000.00
1994-11-01,180703000000.00
1994-12-01,181524000000.00
1995-01-01,182413000000.00
1995-02-01,179488000000.00
1995-03-01,181013000000.00
1995-04-01,181686000000.00
1995-05-01,183536000000.00
1995-06-01,186081000000.00
1995-07-01,185431000000.00
1995-08-01,186806000000.00
1995-09-01,187366000000.00
1995-10-01,186565000000.00
1995-11-01,189055000000.00
1995-12-01,190774000000.00
1996-01-01,189135000000.00
1996-02-01,192266000000.00
1996-03-01,194029000000.00
1996-04-01,194744000000.00
1996-05-01,196205000000.00
1996-06-01,196136000000.00
1996-07-01,196187000000.00
1996-08-01,196218000000.00
1996-09-01,198859000000.00
1996-10-01,200509000000.00
1996-11-01,200174000000.00
1996-12-01,201284000000.00
1997-01-01,202371000000.00
1997-02-01,204286000000.00
1997-03-01,204990000000.00
1997-04-01,203399000000.00
1997-05-01,201699000000.00
1997-06-01,204675000000.00
1997-07-01,207014000000.00
1997-08-01,207635000000.00
1997-09-01,208326000000.00
1997-10-01,208078000000.00
1997-11-01,208936000000.00
1997-12-01,209363000000.00
1998-01-01,209666000000.00
1998-02-01,209552000000.00
1998-03-01,210832000000.00
1998-04-01,213633000000.00
1998-05-01,214639000000.00
1998-06-01,216337000000.00
1998-07-01,214841000000.00
1998-08-01,213636000000.00
1998-09-01,215720000000.00
1998-10-01,219483000000.00
1998-11-01,221134000000.00
1998-12-01,223179000000.00
1999-01-01,223997000000.00
1999-02-01,226250000000.00
1999-03-01,227417000000.00
1999-04-01,229037000000.00
1999-05-01,231235000000.00
1999-06-01,231903000000.00
1999-07-01,233948000000.00
1999-08-01,236566000000.00
1999-09-01,237481000000.00
1999-10-01,237553000000.00
1999-11-01,240544000000.00
1999-12-01,245485000000.00
2000-01-01,243436000000.00
2000-02-01,247133000000.00
2000-03-01,249825000000.00
2000-04-01,245831000000.00
2000-05-01,246201000000.00
2000-06-01,248160000000.00
2000-07-01,247176000000.00
2000-08-01,247576000000.00
2000-09-01,251837000000.00
2000-10-01,251221000000.00
2000-11-01,250331000000.00
2000-12-01,250658000000.00
2001-01-01,252654000000.00
2001-02-01,252704000000.00
2001-03-01,250328000000.00
2001-04-01,254763000000.00
2001-05-01,255218000000.00
2001-06-01,254022000000.00
2001-07-01,252997000000.00
2001-08-01,254560000000.00
2001-09-01,249845000000.00
2001-10-01,267999000000.00
2001-11-01,260514000000.00
2001-12-01,256549000000.00
2002-01-01,256307000000.00
2002-02-01,257670000000.00
2002-03-01,257059000000.00
2002-04-01,261333000000.00
2002-05-01,257573000000.00
2002-06-01,259786000000.00
2002-07-01,262769000000.00
2002-08-01,265043000000.00
2002-09-01,260626000000.00
2002-10-01,261953000000.00
2002-11-01,263568000000.00
2002-12-01,265930000000.00
2003-01-01,267230000000.00
2003-02-01,263188000000.00
2003-03-01,267820000000.00
2003-04-01,267197000000.00
2003-05-01,267362000000.00
2003-06-01,270396000000.00
2003-07-01,273352000000.00
2003-08-01,277965000000.00
2003-09-01,276430000000.00
2003-10-01,274764000000.00
2003-11-01,278298000000.00
2003-12-01,277612000000.00
2004-01-01,278913000000.00
2004-02-01,280932000000.00
2004-03-01,286209000000.00
2004-04-01,282952000000.00
2004-05-01,288252000000.00
2004-06-01,284133000000.00
2004-07-01,287358000000.00
2004-08-01,287941000000.00
2004-09-01,293139000000.00
2004-10-01,295115000000.00
2004-11-01,296177000000.00
2004-12-01,299763000000.00
2005-01-01,296696000000.00
2005-02-01,300557000000.00
2005-03-01,301308000000.00
2005-04-01,303760000000.00
2005-05-01,301776000000.00
2005-06-01,310989000000.00
2005-07-01,313520000000.00
2005-08-01,310046000000.00
2005-09-01,310673000000.00
2005-10-01,310479000000.00
2005-11-01,313303000000.00
2005-12-01,313473000000.00
2006-01-01,322348000000.00
2006-02-01,320171000000.00
2006-03-01,320869000000.00
2006-04-01,322561000000.00
2006-05-01,321794000000.00
2006-06-01,323184000000.00
2006-07-01,324204000000.00
2006-08-01,325324000000.00
2006-09-01,323236000000.00
2006-10-01,322678000000.00
2006-11-01,323343000000.00
2006-12-01,326849000000.00
2007-01-01,327181000000.00
2007-02-01,327953000000.00
2007-03-01,330579000000.00
2007-04-01,329560000000.00
2007-05-01,334202000000.00
2007-06-01,331076000000.00
2007-07-01,332342000000.00
2007-08-01,334169000000.00
2007-09-01,335442000000.00
2007-10-01,337530000000.00
2007-11-01,341133000000.00
2007-12-01,336189000000.00
2008-01-01,337412000000.00
2008-02-01,334584000000.00
2008-03-01,335193000000.00
2008-04-01,334843000000.00
2008-05-01,337947000000.00
2008-06-01,338311000000.00
2008-07-01,336771000000.00
2008-08-01,334045000000.00
2008-09-01,328343000000.00
2008-10-01,314830000000.00
2008-11-01,301332000000.00
2008-12-01,294025000000.00
2009-01-01,298673000000.00
2009-02-01,297631000000.00
2009-03-01,292300000000.00
2009-04-01,293614000000.00
2009-05-01,296501000000.00
2009-06-01,302169000000.00
2009-07-01,302802000000.00
2009-08-01,309023000000.00
2009-09-01,301033000000.00
2009-10-01,304154000000.00
2009-11-01,306675000000.00
2009-12-01,308413000000.00
2010-01-01,308514000000.00
2010-02-01,308528000000.00
2010-03-01,316268000000.00
2010-04-01,318610000000.00
2010-05-01,315359000000.00
2010-06-01,315250000000.00
2010-07-01,315554000000.00
2010-08-01,317316000000.00
2010-09-01,319913000000.00
2010-10-01,324036000000.00
2010-11-01,327641000000.00
2010-12-01,329752000000.00
2011-01-01,332086000000.00
2011-02-01,334676000000.00
2011-03-01,337913000000.00
2011-04-01,340165000000.00
2011-05-01,339252000000.00
2011-06-01,341659000000.00
2011-07-01,341276000000.00
2011-08-01,342211000000.00
2011-09-01,345701000000.00
2011-10-01,347734000000.00
2011-11-01,349350000000.00
2011-12-01,349990000000.00
2012-01-01,352600000000.00
2012-02-01,357187000000.00
2012-03-01,358857000000.00
2012-04-01,356558000000.00
2012-05-01,356034000000.00
2012-06-01,352561000000.00
2012-07-01,353798000000.00
2012-08-01,358398000000.00
2012-09-01,361293000000.00
2012-10-01,362102000000.00
2012-11-01,363069000000.00
2012-12-01,364312000000.00
2013-01-01,367279000000.00
2013-02-01,372113000000.00
2013-03-01,369007000000.00
2013-04-01,367642000000.00
2013-05-01,369373000000.00
2013-06-01,371011000000.00
2013-07-01,373473000000.00
2013-08-01,372409000000.00
2013-09-01,372045000000.00
2013-10-01,373525000000.00
2013-11-01,373995000000.00
2013-12-01,376651000000.00
2014-01-01,373018000000.00
2014-02-01,378025000000.00
2014-03-01,381961000000.00
2014-04-01,386536000000.00
2014-05-01,386864000000.00
2014-06-01,387930000000.00
2014-07-01,388173000000.00
2014-08-01,391343000000.00
2014-09-01,389804000000.00
2014-10-01,390597000000.00
2014-11-01,391534000000.00
2014-12-01,388246000000.00
2015-01-01,385479000000.00
2015-02-01,383859000000.00
2015-03-01,390782000000.00
2015-04-01,390464000000.00
2015-05-01,394490000000.00
2015-06-01,395384000000.00
2015-07-01,398004000000.00
2015-08-01,397622000000.00
2015-09-01,396190000000.00
2015-10-01,395205000000.00
2015-11-01,396467000000.00
2015-12-01,397382000000.00
2016-01-01,395069000000.00
2016-02-01,396867000000.00
2016-03-01,396999000000.00
2016-04-01,399131000000.00
2016-05-01,401174000000.00
2016-06-01,405216000000.00
2016-07-01,405079000000.00
2016-08-01,404905000000.00
2016-09-01,406720000000.00
2016-10-01,408914000000.00
2016-11-01,408141000000.00
2016-12-01,413334000000.00
2017-01-01,417240000000.00
2017-02-01,415051000000.00
2017-03-01,416008000000.00
2017-04-01,419071000000.00
2017-05-01,418098000000.00
2017-06-01,419645000000.00
2017-07-01,420726000000.00
2017-08-01,420685000000.00
2017-09-01,429566000000.00
2017-10-01,432104000000.00
2017-11-01,435519000000.00
2017-12-01,435599000000.00
2018-01-01,434632000000.00
2018-02-01,434859000000.00
2018-03-01,437764000000.00
2018-04-01,439712000000.00
2018-05-01,443067000000.00
