Date,LNU02000060
1965-11-01,45949000.00
1965-12-01,45723000.00
1966-01-01,45108000.00
1966-02-01,45291000.00
1966-03-01,45466000.00
1966-04-01,45869000.00
1966-05-01,46198000.00
1966-06-01,45866000.00
1966-07-01,45436000.00
1966-08-01,45537000.00
1966-09-01,46440000.00
1966-10-01,46770000.00
1966-11-01,46820000.00
1966-12-01,46517000.00
1967-01-01,46009000.00
1967-02-01,46085000.00
1967-03-01,46135000.00
1967-04-01,46461000.00
1967-05-01,46529000.00
1967-06-01,46227000.00
1967-07-01,46155000.00
1967-08-01,46385000.00
1967-09-01,47091000.00
1967-10-01,47510000.00
1967-11-01,47537000.00
1967-12-01,47623000.00
1968-01-01,46752000.00
1968-02-01,47105000.00
1968-03-01,47344000.00
1968-04-01,47535000.00
1968-05-01,47913000.00
1968-06-01,47580000.00
1968-07-01,47066000.00
1968-08-01,47034000.00
1968-09-01,47799000.00
1968-10-01,48094000.00
1968-11-01,48291000.00
1968-12-01,48312000.00
1969-01-01,47786000.00
1969-02-01,48099000.00
1969-03-01,48122000.00
1969-04-01,48209000.00
1969-05-01,48420000.00
1969-06-01,48110000.00
1969-07-01,47823000.00
1969-08-01,47982000.00
1969-09-01,48668000.00
1969-10-01,49130000.00
1969-11-01,49121000.00
1969-12-01,49238000.00
1970-01-01,48583000.00
1970-02-01,48591000.00
1970-03-01,48726000.00
1970-04-01,49002000.00
1970-05-01,48845000.00
1970-06-01,48543000.00
1970-07-01,48195000.00
1970-08-01,48140000.00
1970-09-01,48690000.00
1970-10-01,49157000.00
1970-11-01,49170000.00
1970-12-01,48907000.00
1971-01-01,48388000.00
1971-02-01,48526000.00
1971-03-01,48514000.00
1971-04-01,48689000.00
1971-05-01,48987000.00
1971-06-01,48651000.00
1971-07-01,48194000.00
1971-08-01,48348000.00
1971-09-01,49239000.00
1971-10-01,49700000.00
1971-11-01,49896000.00
1971-12-01,49758000.00
1972-01-01,49384000.00
1972-02-01,49677000.00
1972-03-01,50067000.00
1972-04-01,50181000.00
1972-05-01,50392000.00
1972-06-01,50047000.00
1972-07-01,49845000.00
1972-08-01,50002000.00
1972-09-01,50817000.00
1972-10-01,51195000.00
1972-11-01,51297000.00
1972-12-01,51423000.00
1973-01-01,50711000.00
1973-02-01,51150000.00
1973-03-01,51466000.00
1973-04-01,51797000.00
