Date,STRUCTCONTRIBNOW
2014-04-01,0.05
2014-07-01,0.03
2014-10-01,0.07
2015-01-01,-0.79
2015-04-01,-0.28
2015-07-01,0.06
2015-10-01,-0.13
2016-01-01,-0.24
2016-04-01,-0.11
2016-07-01,0.13
2016-10-01,0.00
2017-01-01,0.11
2017-04-01,0.03
2017-07-01,-0.14
2017-10-01,-0.10
2018-01-01,0.19
2018-04-01,0.22
