Date,IPG3212A9N
1972-01-01,91.04
1972-02-01,94.90
1972-03-01,99.81
1972-04-01,105.48
1972-05-01,104.16
1972-06-01,110.74
1972-07-01,104.18
1972-08-01,109.04
1972-09-01,106.95
1972-10-01,109.92
1972-11-01,104.98
1972-12-01,94.91
1973-01-01,94.67
1973-02-01,98.68
1973-03-01,104.33
1973-04-01,106.73
1973-05-01,104.55
1973-06-01,107.96
1973-07-01,100.31
1973-08-01,105.20
1973-09-01,100.96
1973-10-01,100.46
1973-11-01,95.11
1973-12-01,89.08
1974-01-01,85.67
1974-02-01,87.74
1974-03-01,92.27
1974-04-01,95.37
1974-05-01,95.54
1974-06-01,96.96
1974-07-01,89.28
1974-08-01,91.14
1974-09-01,88.35
1974-10-01,82.27
1974-11-01,74.21
1974-12-01,69.24
1975-01-01,67.15
1975-02-01,70.94
1975-03-01,71.56
1975-04-01,77.01
1975-05-01,79.60
1975-06-01,84.74
1975-07-01,82.86
1975-08-01,87.64
1975-09-01,88.19
1975-10-01,88.82
1975-11-01,83.14
1975-12-01,80.46
1976-01-01,80.92
1976-02-01,86.31
1976-03-01,87.97
1976-04-01,90.50
1976-05-01,92.44
1976-06-01,93.92
1976-07-01,89.20
1976-08-01,95.44
1976-09-01,94.43
1976-10-01,94.43
1976-11-01,89.37
1976-12-01,86.37
1977-01-01,83.65
1977-02-01,89.14
1977-03-01,94.91
1977-04-01,97.23
1977-05-01,100.69
1977-06-01,105.11
1977-07-01,97.74
1977-08-01,108.29
1977-09-01,106.81
1977-10-01,107.68
1977-11-01,102.56
1977-12-01,98.43
1978-01-01,95.73
1978-02-01,97.34
1978-03-01,103.06
1978-04-01,105.05
1978-05-01,106.30
1978-06-01,108.77
1978-07-01,98.63
1978-08-01,106.11
1978-09-01,102.24
1978-10-01,104.64
1978-11-01,98.80
1978-12-01,93.26
1979-01-01,90.83
1979-02-01,92.06
1979-03-01,94.99
1979-04-01,97.90
1979-05-01,98.13
1979-06-01,99.52
1979-07-01,91.84
1979-08-01,100.68
1979-09-01,98.83
1979-10-01,101.02
1979-11-01,91.34
1979-12-01,84.43
1980-01-01,86.60
1980-02-01,88.82
1980-03-01,89.72
1980-04-01,79.36
1980-05-01,74.80
1980-06-01,80.04
1980-07-01,78.36
1980-08-01,87.51
1980-09-01,90.57
1980-10-01,93.54
1980-11-01,88.88
1980-12-01,84.97
1981-01-01,83.67
1981-02-01,85.88
1981-03-01,89.76
1981-04-01,93.15
1981-05-01,91.87
1981-06-01,91.82
1981-07-01,85.24
1981-08-01,88.08
1981-09-01,84.29
1981-10-01,80.33
1981-11-01,73.49
1981-12-01,69.54
1982-01-01,65.72
1982-02-01,72.43
1982-03-01,74.90
1982-04-01,76.32
1982-05-01,77.52
1982-06-01,81.27
1982-07-01,76.36
1982-08-01,80.89
1982-09-01,80.35
1982-10-01,80.61
1982-11-01,77.43
1982-12-01,74.31
1983-01-01,77.31
1983-02-01,79.64
1983-03-01,85.16
1983-04-01,88.39
1983-05-01,91.41
1983-06-01,97.00
1983-07-01,90.72
1983-08-01,98.27
1983-09-01,98.06
1983-10-01,98.74
1983-11-01,93.25
1983-12-01,87.89
1984-01-01,88.16
1984-02-01,92.93
1984-03-01,96.40
1984-04-01,99.66
1984-05-01,99.54
1984-06-01,102.13
1984-07-01,95.54
1984-08-01,102.39
1984-09-01,100.30
1984-10-01,100.97
1984-11-01,93.29
1984-12-01,88.55
1985-01-01,89.41
1985-02-01,89.71
1985-03-01,94.30
1985-04-01,96.92
1985-05-01,99.36
1985-06-01,102.64
1985-07-01,97.64
1985-08-01,103.87
1985-09-01,103.48
1985-10-01,104.93
1985-11-01,96.27
1985-12-01,89.45
1986-01-01,94.84
1986-02-01,95.91
1986-03-01,99.30
1986-04-01,105.31
1986-05-01,105.00
1986-06-01,107.17
1986-07-01,103.22
1986-08-01,108.61
1986-09-01,108.95
1986-10-01,110.38
1986-11-01,104.30
1986-12-01,100.47
1987-01-01,101.91
1987-02-01,106.19
1987-03-01,110.44
1987-04-01,113.10
1987-05-01,115.06
1987-06-01,119.18
1987-07-01,115.85
1987-08-01,119.59
1987-09-01,118.48
1987-10-01,119.13
1987-11-01,111.78
1987-12-01,103.55
1988-01-01,105.13
1988-02-01,107.84
1988-03-01,111.19
1988-04-01,113.74
1988-05-01,114.92
1988-06-01,118.03
