Date,CPIEAPPAREL
1982-12-01,100.00
1983-01-01,98.50
1983-02-01,99.00
1983-03-01,100.30
1983-04-01,100.90
1983-05-01,101.20
1983-06-01,101.10
1983-07-01,100.70
1983-08-01,102.20
1983-09-01,104.00
1983-10-01,104.00
1983-11-01,103.90
1983-12-01,103.20
1984-01-01,101.50
1984-02-01,101.40
1984-03-01,103.30
1984-04-01,103.50
1984-05-01,103.30
1984-06-01,102.50
1984-07-01,101.70
1984-08-01,103.70
1984-09-01,106.00
1984-10-01,106.70
1984-11-01,106.30
1984-12-01,105.30
1985-01-01,103.40
1985-02-01,104.30
1985-03-01,106.40
1985-04-01,106.90
1985-05-01,106.50
1985-06-01,106.00
1985-07-01,104.80
1985-08-01,106.20
1985-09-01,108.70
1985-10-01,109.50
1985-11-01,109.60
1985-12-01,108.40
1986-01-01,106.00
1986-02-01,105.70
1986-03-01,107.00
1986-04-01,107.50
1986-05-01,106.80
1986-06-01,105.70
1986-07-01,105.20
1986-08-01,107.30
1986-09-01,110.00
1986-10-01,110.50
1986-11-01,110.40
1986-12-01,109.10
1987-01-01,107.10
1987-02-01,107.80
1987-03-01,111.50
1987-04-01,113.50
1987-05-01,113.00
1987-06-01,110.90
1987-07-01,108.40
1987-08-01,111.10
1987-09-01,115.50
1987-10-01,117.60
1987-11-01,117.80
1987-12-01,114.30
1988-01-01,111.90
1988-02-01,112.00
1988-03-01,116.30
1988-04-01,119.60
1988-05-01,118.90
1988-06-01,116.80
1988-07-01,114.60
1988-08-01,114.80
1988-09-01,120.10
1988-10-01,123.30
1988-11-01,122.40
1988-12-01,120.00
1989-01-01,117.00
1989-02-01,117.20
1989-03-01,122.00
1989-04-01,124.20
1989-05-01,123.20
1989-06-01,120.20
1989-07-01,117.40
1989-08-01,116.90
1989-09-01,117.10
1989-10-01,120.50
1989-11-01,120.10
1989-12-01,116.60
1990-01-01,114.00
1990-02-01,118.00
1990-03-01,123.00
1990-04-01,124.30
1990-05-01,123.40
1990-06-01,121.00
1990-07-01,118.50
1990-08-01,120.00
1990-09-01,123.90
1990-10-01,126.00
1990-11-01,124.80
1990-12-01,122.40
1991-01-01,121.50
1991-02-01,124.50
1991-03-01,127.10
1991-04-01,128.10
1991-05-01,127.70
1991-06-01,125.00
1991-07-01,123.50
1991-08-01,125.60
1991-09-01,129.10
1991-10-01,129.80
1991-11-01,129.60
1991-12-01,126.50
1992-01-01,125.10
1992-02-01,127.80
1992-03-01,130.50
1992-04-01,130.70
1992-05-01,130.70
1992-06-01,130.20
1992-07-01,128.30
1992-08-01,128.90
1992-09-01,131.90
1992-10-01,135.00
1992-11-01,134.60
1992-12-01,131.20
1993-01-01,129.70
1993-02-01,133.30
1993-03-01,135.90
1993-04-01,137.10
1993-05-01,135.40
1993-06-01,131.50
1993-07-01,129.30
1993-08-01,132.70
1993-09-01,135.40
1993-10-01,136.10
1993-11-01,136.10
1993-12-01,133.20
1994-01-01,131.40
1994-02-01,132.50
1994-03-01,135.50
1994-04-01,136.30
1994-05-01,135.30
1994-06-01,133.10
1994-07-01,130.90
1994-08-01,130.10
1994-09-01,133.50
1994-10-01,135.30
1994-11-01,134.00
1994-12-01,130.30
1995-01-01,129.10
1995-02-01,130.50
1995-03-01,133.20
1995-04-01,134.20
1995-05-01,133.00
1995-06-01,129.40
1995-07-01,127.90
1995-08-01,130.30
1995-09-01,133.10
1995-10-01,134.80
1995-11-01,134.40
1995-12-01,130.50
1996-01-01,129.20
1996-02-01,129.70
1996-03-01,133.10
1996-04-01,133.40
1996-05-01,132.50
1996-06-01,129.20
1996-07-01,127.20
1996-08-01,127.20
1996-09-01,130.60
1996-10-01,133.60
1996-11-01,132.90
1996-12-01,129.60
1997-01-01,128.20
1997-02-01,130.30
1997-03-01,132.70
1997-04-01,134.50
1997-05-01,133.70
1997-06-01,130.30
1997-07-01,128.50
1997-08-01,129.20
1997-09-01,132.60
1997-10-01,135.30
1997-11-01,135.20
1997-12-01,131.60
1998-01-01,129.40
1998-02-01,132.10
1998-03-01,135.40
1998-04-01,136.10
1998-05-01,135.80
1998-06-01,132.90
1998-07-01,129.60
1998-08-01,131.90
1998-09-01,134.10
1998-10-01,136.00
1998-11-01,135.30
1998-12-01,130.70
1999-01-01,127.40
1999-02-01,129.60
1999-03-01,133.10
1999-04-01,135.70
1999-05-01,134.70
1999-06-01,130.90
1999-07-01,127.00
1999-08-01,127.40
1999-09-01,131.90
1999-10-01,134.70
1999-11-01,133.50
1999-12-01,129.60
2000-01-01,126.20
2000-02-01,128.60
2000-03-01,132.10
2000-04-01,133.10
2000-05-01,132.00
2000-06-01,127.80
2000-07-01,124.00
2000-08-01,125.30
2000-09-01,131.10
2000-10-01,133.30
2000-11-01,132.00
2000-12-01,127.50
2001-01-01,125.10
2001-02-01,128.00
2001-03-01,132.00
2001-04-01,131.70
2001-05-01,129.50
2001-06-01,126.00
2001-07-01,122.30
2001-08-01,122.60
2001-09-01,126.70
2001-10-01,129.50
2001-11-01,127.90
2001-12-01,123.50
2002-01-01,121.20
2002-02-01,123.90
2002-03-01,128.70
2002-04-01,128.90
2002-05-01,126.90
2002-06-01,122.90
2002-07-01,118.60
2002-08-01,121.60
2002-09-01,125.90
2002-10-01,128.20
2002-11-01,126.60
2002-12-01,121.50
2003-01-01,118.60
2003-02-01,120.90
2003-03-01,123.00
2003-04-01,123.90
2003-05-01,122.10
2003-06-01,119.70
2003-07-01,115.70
2003-08-01,117.90
2003-09-01,121.90
2003-10-01,125.40
2003-11-01,123.70
2003-12-01,119.00
2004-01-01,115.20
2004-02-01,118.00
2004-03-01,123.60
2004-04-01,124.60
2004-05-01,123.60
2004-06-01,120.10
2004-07-01,115.40
2004-08-01,116.20
2004-09-01,121.00
2004-10-01,124.40
2004-11-01,123.20
2004-12-01,118.40
2005-01-01,115.20
2005-02-01,118.00
2005-03-01,124.10
2005-04-01,124.20
2005-05-01,122.70
2005-06-01,118.10
2005-07-01,112.90
2005-08-01,115.20
2005-09-01,121.40
2005-10-01,124.10
2005-11-01,122.30
2005-12-01,117.50
2006-01-01,114.40
2006-02-01,116.40
2006-03-01,122.70
2006-04-01,124.10
2006-05-01,122.90
2006-06-01,119.50
2006-07-01,113.90
2006-08-01,115.80
2006-09-01,121.50
2006-10-01,123.20
2006-11-01,121.50
2006-12-01,118.20
2007-01-01,115.32
2007-02-01,119.17
2007-03-01,123.36
2007-04-01,123.79
2007-05-01,122.11
2007-06-01,117.61
2007-07-01,113.01
2007-08-01,114.24
2007-09-01,119.30
2007-10-01,121.54
2007-11-01,120.72
2007-12-01,117.47
2008-01-01,115.22
2008-02-01,117.47
2008-03-01,120.83
2008-04-01,121.99
2008-05-01,120.50
2008-06-01,117.15
2008-07-01,114.08
2008-08-01,116.21
2008-09-01,121.40
2008-10-01,122.48
2008-11-01,121.18
2008-12-01,116.81
2009-01-01,114.16
2009-02-01,117.94
2009-03-01,122.03
2009-04-01,122.85
2009-05-01,120.82
2009-06-01,117.87
2009-07-01,114.29
2009-08-01,115.73
2009-09-01,121.81
2009-10-01,123.86
2009-11-01,122.50
2009-12-01,119.31
2010-01-01,116.94
2010-02-01,118.61
2010-03-01,122.13
2010-04-01,122.54
2010-05-01,121.33
2010-06-01,118.29
2010-07-01,114.83
2010-08-01,116.45
2010-09-01,121.24
2010-10-01,122.41
2010-11-01,121.68
2010-12-01,117.94
2011-01-01,115.95
2011-02-01,117.69
2011-03-01,120.79
2011-04-01,122.12
2011-05-01,122.65
2011-06-01,120.54
2011-07-01,118.55
2011-08-01,121.38
2011-09-01,125.38
2011-10-01,127.66
2011-11-01,127.12
2011-12-01,123.28
2012-01-01,122.01
2012-02-01,123.51
2012-03-01,127.08
2012-04-01,128.77
2012-05-01,127.97
2012-06-01,125.22
2012-07-01,122.17
2012-08-01,123.48
2012-09-01,128.94
2012-10-01,131.32
2012-11-01,129.43
2012-12-01,125.30
2013-01-01,124.18
2013-02-01,126.30
2013-03-01,128.58
2013-04-01,129.46
2013-05-01,128.69
2013-06-01,126.53
2013-07-01,124.25
2013-08-01,126.30
2013-09-01,129.80
2013-10-01,131.01
2013-11-01,129.66
2013-12-01,126.60
2014-01-01,123.79
2014-02-01,125.13
2014-03-01,129.07
2014-04-01,129.65
2014-05-01,128.93
2014-06-01,127.26
2014-07-01,124.33
2014-08-01,125.69
2014-09-01,130.28
2014-10-01,131.97
2014-11-01,129.13
2014-12-01,123.57
2015-01-01,121.86
2015-02-01,123.96
2015-03-01,128.00
2015-04-01,128.44
2015-05-01,126.55
2015-06-01,124.55
2015-07-01,122.27
2015-08-01,124.00
2015-09-01,128.38
2015-10-01,129.41
2015-11-01,126.44
2015-12-01,122.19
2016-01-01,121.11
2016-02-01,124.47
2016-03-01,127.14
2016-04-01,127.91
2016-05-01,127.65
2016-06-01,125.66
2016-07-01,123.12
2016-08-01,124.27
2016-09-01,128.02
2016-10-01,129.99
2016-11-01,127.22
2016-12-01,122.12
2017-01-01,122.03
2017-02-01,125.18
2017-03-01,128.13
2017-04-01,128.23
2017-05-01,126.61
2017-06-01,125.10
2017-07-01,122.42
2017-08-01,123.37
2017-09-01,127.01
2017-10-01,129.05
2017-11-01,124.84
2017-12-01,119.36
2018-01-01,120.86
2018-02-01,125.92
2018-03-01,128.41
2018-04-01,129.16
2018-05-01,128.29
