Date,UMVPVS
1992-01-01,19501000000.00
1992-02-01,23485000000.00
1992-03-01,24644000000.00
1992-04-01,24936000000.00
1992-05-01,26268000000.00
1992-06-01,25307000000.00
1992-07-01,16568000000.00
1992-08-01,22630000000.00
1992-09-01,23188000000.00
1992-10-01,26834000000.00
1992-11-01,24515000000.00
1992-12-01,21321000000.00
1993-01-01,23428000000.00
1993-02-01,27770000000.00
1993-03-01,28137000000.00
1993-04-01,27709000000.00
1993-05-01,27027000000.00
1993-06-01,27800000000.00
1993-07-01,16027000000.00
1993-08-01,23344000000.00
1993-09-01,26475000000.00
1993-10-01,29840000000.00
1993-11-01,27917000000.00
1993-12-01,24704000000.00
1994-01-01,27545000000.00
1994-02-01,32111000000.00
1994-03-01,31894000000.00
1994-04-01,31378000000.00
1994-05-01,32257000000.00
1994-06-01,32708000000.00
1994-07-01,19291000000.00
1994-08-01,31465000000.00
1994-09-01,31835000000.00
1994-10-01,32681000000.00
1994-11-01,32644000000.00
1994-12-01,29031000000.00
1995-01-01,30507000000.00
1995-02-01,35237000000.00
1995-03-01,35784000000.00
1995-04-01,32673000000.00
1995-05-01,32923000000.00
1995-06-01,33416000000.00
1995-07-01,18669000000.00
1995-08-01,31176000000.00
1995-09-01,33757000000.00
1995-10-01,34765000000.00
1995-11-01,32250000000.00
1995-12-01,28394000000.00
1996-01-01,29951000000.00
1996-02-01,35074000000.00
1996-03-01,30917000000.00
1996-04-01,34686000000.00
1996-05-01,35988000000.00
1996-06-01,34788000000.00
1996-07-01,22183000000.00
1996-08-01,33011000000.00
1996-09-01,34891000000.00
1996-10-01,35014000000.00
1996-11-01,33557000000.00
1996-12-01,27334000000.00
1997-01-01,32938000000.00
1997-02-01,37473000000.00
1997-03-01,35451000000.00
1997-04-01,37174000000.00
1997-05-01,35780000000.00
1997-06-01,36400000000.00
1997-07-01,24182000000.00
1997-08-01,35955000000.00
1997-09-01,37434000000.00
1997-10-01,40359000000.00
1997-11-01,36513000000.00
1997-12-01,31914000000.00
1998-01-01,31847000000.00
1998-02-01,39893000000.00
1998-03-01,40041000000.00
1998-04-01,38620000000.00
1998-05-01,38824000000.00
1998-06-01,33595000000.00
1998-07-01,20534000000.00
1998-08-01,37168000000.00
1998-09-01,40113000000.00
1998-10-01,43623000000.00
1998-11-01,40090000000.00
1998-12-01,35242000000.00
