Date,S4247SM144NCEN
2008-08-01,65295000000.00
2008-09-01,59352000000.00
2008-10-01,52151000000.00
2008-11-01,33976000000.00
2008-12-01,31097000000.00
2009-01-01,29686000000.00
2009-02-01,26640000000.00
2009-03-01,28287000000.00
2009-04-01,30866000000.00
2009-05-01,34146000000.00
2009-06-01,38275000000.00
2009-07-01,39254000000.00
2009-08-01,41390000000.00
2009-09-01,39988000000.00
2009-10-01,40816000000.00
2009-11-01,42500000000.00
2009-12-01,43969000000.00
2010-01-01,44769000000.00
2010-02-01,42698000000.00
2010-03-01,50681000000.00
2010-04-01,50531000000.00
2010-05-01,50615000000.00
2010-06-01,49050000000.00
2010-07-01,49682000000.00
2010-08-01,49842000000.00
2010-09-01,46217000000.00
2010-10-01,49859000000.00
2010-11-01,52037000000.00
2010-12-01,54988000000.00
2011-01-01,59115000000.00
2011-02-01,54804000000.00
2011-03-01,67111000000.00
2011-04-01,69210000000.00
2011-05-01,70070000000.00
2011-06-01,65163000000.00
2011-07-01,62902000000.00
2011-08-01,65364000000.00
2011-09-01,62666000000.00
2011-10-01,61190000000.00
2011-11-01,61136000000.00
2011-12-01,61090000000.00
2012-01-01,64516000000.00
2012-02-01,63396000000.00
2012-03-01,71988000000.00
2012-04-01,75828000000.00
2012-05-01,74233000000.00
2012-06-01,64991000000.00
2012-07-01,63688000000.00
2012-08-01,68912000000.00
2012-09-01,67826000000.00
2012-10-01,67742000000.00
2012-11-01,64283000000.00
2012-12-01,64206000000.00
2013-01-01,63680000000.00
2013-02-01,64300000000.00
2013-03-01,67737000000.00
2013-04-01,66265000000.00
2013-05-01,70105000000.00
2013-06-01,66955000000.00
2013-07-01,70562000000.00
2013-08-01,70897000000.00
2013-09-01,65004000000.00
2013-10-01,70748000000.00
2013-11-01,68920000000.00
2013-12-01,73363000000.00
2014-01-01,69109000000.00
2014-02-01,66865000000.00
2014-03-01,74420000000.00
2014-04-01,74926000000.00
2014-05-01,75678000000.00
2014-06-01,72824000000.00
2014-07-01,77449000000.00
2014-08-01,73104000000.00
2014-09-01,68450000000.00
2014-10-01,65828000000.00
2014-11-01,61370000000.00
2014-12-01,54461000000.00
2015-01-01,43994000000.00
2015-02-01,43181000000.00
2015-03-01,46293000000.00
2015-04-01,47874000000.00
2015-05-01,52392000000.00
2015-06-01,54450000000.00
2015-07-01,51276000000.00
2015-08-01,46787000000.00
2015-09-01,42943000000.00
2015-10-01,44918000000.00
2015-11-01,39410000000.00
2015-12-01,38932000000.00
2016-01-01,32395000000.00
2016-02-01,28569000000.00
2016-03-01,34867000000.00
2016-04-01,37715000000.00
2016-05-01,42419000000.00
2016-06-01,42805000000.00
2016-07-01,40631000000.00
2016-08-01,42087000000.00
2016-09-01,41281000000.00
2016-10-01,44281000000.00
2016-11-01,40900000000.00
2016-12-01,47729000000.00
2017-01-01,45974000000.00
2017-02-01,44606000000.00
2017-03-01,48388000000.00
2017-04-01,46881000000.00
2017-05-01,46250000000.00
2017-06-01,46519000000.00
2017-07-01,45182000000.00
2017-08-01,49285000000.00
2017-09-01,52238000000.00
2017-10-01,51444000000.00
2017-11-01,52926000000.00
2017-12-01,57728000000.00
2018-01-01,54735000000.00
2018-02-01,51380000000.00
2018-03-01,56018000000.00
2018-04-01,57675000000.00
