Date,EFFRVOL
2016-03-01,76000000000.00
2016-03-02,75000000000.00
2016-03-03,75000000000.00
2016-03-04,75000000000.00
2016-03-07,72000000000.00
2016-03-08,72000000000.00
2016-03-09,75000000000.00
2016-03-10,72000000000.00
2016-03-11,68000000000.00
2016-03-14,67000000000.00
2016-03-15,67000000000.00
2016-03-16,63000000000.00
2016-03-17,63000000000.00
2016-03-18,66000000000.00
2016-03-21,61000000000.00
2016-03-22,66000000000.00
2016-03-23,65000000000.00
2016-03-24,64000000000.00
2016-03-25,68000000000.00
2016-03-28,66000000000.00
2016-03-29,69000000000.00
2016-03-30,73000000000.00
2016-03-31,50000000000.00
2016-04-01,72000000000.00
2016-04-04,74000000000.00
2016-04-05,77000000000.00
2016-04-06,76000000000.00
2016-04-07,79000000000.00
2016-04-08,74000000000.00
2016-04-11,72000000000.00
2016-04-12,74000000000.00
2016-04-13,73000000000.00
2016-04-14,71000000000.00
2016-04-15,70000000000.00
2016-04-18,69000000000.00
2016-04-19,66000000000.00
2016-04-20,62000000000.00
2016-04-21,65000000000.00
2016-04-22,59000000000.00
2016-04-25,59000000000.00
2016-04-26,54000000000.00
2016-04-27,63000000000.00
2016-04-28,62000000000.00
2016-04-29,58000000000.00
2016-05-02,59000000000.00
2016-05-03,61000000000.00
2016-05-04,62000000000.00
2016-05-05,60000000000.00
2016-05-06,64000000000.00
2016-05-09,62000000000.00
2016-05-10,63000000000.00
2016-05-11,63000000000.00
2016-05-12,61000000000.00
2016-05-13,61000000000.00
2016-05-16,61000000000.00
2016-05-17,62000000000.00
2016-05-18,59000000000.00
2016-05-19,64000000000.00
2016-05-20,70000000000.00
2016-05-23,66000000000.00
2016-05-24,65000000000.00
2016-05-25,70000000000.00
2016-05-26,68000000000.00
2016-05-27,69000000000.00
2016-05-31,58000000000.00
2016-06-01,67000000000.00
2016-06-02,70000000000.00
2016-06-03,69000000000.00
2016-06-06,70000000000.00
2016-06-07,71000000000.00
2016-06-08,75000000000.00
2016-06-09,75000000000.00
2016-06-10,72000000000.00
2016-06-13,66000000000.00
2016-06-14,68000000000.00
2016-06-15,69000000000.00
2016-06-16,72000000000.00
2016-06-17,73000000000.00
2016-06-20,70000000000.00
2016-06-21,68000000000.00
2016-06-22,71000000000.00
2016-06-23,71000000000.00
