Date,TLRESCON
2002-01-01,25972000000.00
2002-02-01,25721000000.00
2002-03-01,29826000000.00
2002-04-01,33008000000.00
2002-05-01,35059000000.00
2002-06-01,37908000000.00
2002-07-01,38880000000.00
2002-08-01,38359000000.00
2002-09-01,36082000000.00
2002-10-01,36226000000.00
2002-11-01,34570000000.00
2002-12-01,30352000000.00
2003-01-01,28794000000.00
2003-02-01,28015000000.00
2003-03-01,32176000000.00
2003-04-01,34739000000.00
2003-05-01,37169000000.00
2003-06-01,40408000000.00
2003-07-01,43048000000.00
2003-08-01,43671000000.00
2003-09-01,41846000000.00
2003-10-01,42798000000.00
2003-11-01,41530000000.00
2003-12-01,37059000000.00
2004-01-01,34112000000.00
2004-02-01,33451000000.00
2004-03-01,39395000000.00
2004-04-01,42264000000.00
2004-05-01,45976000000.00
2004-06-01,49245000000.00
2004-07-01,52065000000.00
2004-08-01,53427000000.00
2004-09-01,49850000000.00
2004-10-01,49831000000.00
2004-11-01,46988000000.00
2004-12-01,41806000000.00
2005-01-01,39584000000.00
2005-02-01,39828000000.00
2005-03-01,45962000000.00
2005-04-01,49906000000.00
2005-05-01,52580000000.00
2005-06-01,56941000000.00
2005-07-01,60026000000.00
2005-08-01,61377000000.00
2005-09-01,58829000000.00
2005-10-01,59799000000.00
2005-11-01,55939000000.00
2005-12-01,49412000000.00
2006-01-01,46016000000.00
2006-02-01,45647000000.00
2006-03-01,52192000000.00
2006-04-01,54544000000.00
2006-05-01,55564000000.00
2006-06-01,56924000000.00
2006-07-01,57289000000.00
2006-08-01,56489000000.00
2006-09-01,52193000000.00
2006-10-01,51075000000.00
2006-11-01,45842000000.00
2006-12-01,40100000000.00
2007-01-01,36794000000.00
2007-02-01,35889000000.00
2007-03-01,41096000000.00
2007-04-01,44144000000.00
2007-05-01,45233000000.00
2007-06-01,47152000000.00
2007-07-01,47952000000.00
2007-08-01,47101000000.00
2007-09-01,42668000000.00
2007-10-01,41444000000.00
2007-11-01,35974000000.00
2007-12-01,30621000000.00
2008-01-01,27607000000.00
2008-02-01,26736000000.00
2008-03-01,30033000000.00
2008-04-01,32313000000.00
2008-05-01,33213000000.00
2008-06-01,34818000000.00
2008-07-01,35452000000.00
2008-08-01,35076000000.00
2008-09-01,31938000000.00
2008-10-01,31486000000.00
2008-11-01,26080000000.00
2008-12-01,21909000000.00
2009-01-01,19056000000.00
2009-02-01,17915000000.00
2009-03-01,19317000000.00
2009-04-01,20502000000.00
2009-05-01,20416000000.00
2009-06-01,22148000000.00
2009-07-01,23566000000.00
2009-08-01,24758000000.00
2009-09-01,23767000000.00
2009-10-01,24403000000.00
2009-11-01,20906000000.00
2009-12-01,18789000000.00
2010-01-01,17035000000.00
2010-02-01,16838000000.00
2010-03-01,19292000000.00
2010-04-01,21668000000.00
2010-05-01,22229000000.00
2010-06-01,23795000000.00
2010-07-01,23811000000.00
2010-08-01,24009000000.00
2010-09-01,22845000000.00
2010-10-01,23263000000.00
2010-11-01,19798000000.00
2010-12-01,17747000000.00
2011-01-01,16277000000.00
2011-02-01,16026000000.00
2011-03-01,18562000000.00
2011-04-01,20897000000.00
2011-05-01,21733000000.00
2011-06-01,23495000000.00
2011-07-01,23941000000.00
2011-08-01,24979000000.00
2011-09-01,23822000000.00
2011-10-01,24223000000.00
2011-11-01,20369000000.00
2011-12-01,18322000000.00
2012-01-01,16898000000.00
2012-02-01,16703000000.00
2012-03-01,19303000000.00
2012-04-01,21737000000.00
2012-05-01,23122000000.00
2012-06-01,25077000000.00
2012-07-01,25812000000.00
2012-08-01,26935000000.00
2012-09-01,26501000000.00
2012-10-01,27771000000.00
2012-11-01,24338000000.00
2012-12-01,21860000000.00
2013-01-01,20401000000.00
2013-02-01,20279000000.00
2013-03-01,23883000000.00
2013-04-01,26333000000.00
2013-05-01,27976000000.00
2013-06-01,29795000000.00
2013-07-01,30732000000.00
2013-08-01,31565000000.00
2013-09-01,31120000000.00
2013-10-01,32103000000.00
2013-11-01,28767000000.00
2013-12-01,26264000000.00
2014-01-01,24487000000.00
2014-02-01,23867000000.00
2014-03-01,28360000000.00
2014-04-01,31002000000.00
2014-05-01,32678000000.00
2014-06-01,34143000000.00
2014-07-01,34539000000.00
2014-08-01,34510000000.00
2014-09-01,34604000000.00
2014-10-01,35218000000.00
2014-11-01,32033000000.00
2014-12-01,29418000000.00
2015-01-01,27167000000.00
2015-02-01,27329000000.00
2015-03-01,32097000000.00
2015-04-01,34446000000.00
2015-05-01,36721000000.00
2015-06-01,39765000000.00
2015-07-01,40808000000.00
2015-08-01,40293000000.00
2015-09-01,40158000000.00
2015-10-01,40327000000.00
2015-11-01,36672000000.00
2015-12-01,32979000000.00
2016-01-01,29959000000.00
2016-02-01,30831000000.00
2016-03-01,36699000000.00
2016-04-01,38186000000.00
2016-05-01,40441000000.00
2016-06-01,43255000000.00
2016-07-01,44412000000.00
2016-08-01,43568000000.00
2016-09-01,43227000000.00
2016-10-01,44447000000.00
2016-11-01,41176000000.00
2016-12-01,36962000000.00
2017-01-01,33735000000.00
2017-02-01,34436000000.00
2017-03-01,41359000000.00
2017-04-01,42813000000.00
2017-05-01,45108000000.00
2017-06-01,49081000000.00
2017-07-01,49191000000.00
2017-08-01,48394000000.00
2017-09-01,48257000000.00
2017-10-01,47251000000.00
2017-11-01,44531000000.00
2017-12-01,39821000000.00
2018-01-01,37034000000.00
2018-02-01,37919000000.00
2018-03-01,43450000000.00
2018-04-01,47202000000.00
