Date,LFEM64TTUSM647N
1960-01-01,60464000.00
1960-02-01,60944000.00
1960-03-01,60650000.00
1960-04-01,62382000.00
1960-05-01,63175000.00
1960-06-01,64172000.00
1960-07-01,64190000.00
1960-08-01,63982000.00
1960-09-01,63762000.00
1960-10-01,63421000.00
1960-11-01,63186000.00
1960-12-01,62111000.00
1961-01-01,60721000.00
1961-02-01,60781000.00
1961-03-01,61575000.00
1961-04-01,61912000.00
1961-05-01,62769000.00
1961-06-01,64070000.00
1961-07-01,63937000.00
1961-08-01,64145000.00
1961-09-01,63192000.00
1961-10-01,63867000.00
1961-11-01,63485000.00
1961-12-01,62646000.00
1962-01-01,61369000.00
1962-02-01,61917000.00
1962-03-01,62395000.00
1962-04-01,62823000.00
1962-05-01,63828000.00
1962-06-01,64726000.00
1962-07-01,64856000.00
1962-08-01,65094000.00
1962-09-01,64541000.00
1962-10-01,64828000.00
1962-11-01,64132000.00
1962-12-01,63764000.00
1963-01-01,62423000.00
1963-02-01,62708000.00
1963-03-01,63450000.00
1963-04-01,64368000.00
1963-05-01,65004000.00
1963-06-01,65776000.00
1963-07-01,66194000.00
1963-08-01,66067000.00
1963-09-01,65562000.00
1963-10-01,66010000.00
1963-11-01,65585000.00
1963-12-01,65026000.00
1964-01-01,63696000.00
1964-02-01,64298000.00
1964-03-01,64729000.00
1964-04-01,65860000.00
1964-05-01,66786000.00
1964-06-01,67395000.00
1964-07-01,67797000.00
1964-08-01,67730000.00
1964-09-01,66918000.00
1964-10-01,67183000.00
1964-11-01,66956000.00
1964-12-01,66630000.00
1965-01-01,65377000.00
1965-02-01,65723000.00
1965-03-01,66354000.00
1965-04-01,67205000.00
1965-05-01,68147000.00
1965-06-01,69200000.00
1965-07-01,70063000.00
1965-08-01,69712000.00
1965-09-01,68357000.00
1965-10-01,69071000.00
1965-11-01,68897000.00
1965-12-01,68893000.00
1966-01-01,67515000.00
1966-02-01,67771000.00
1966-03-01,68136000.00
1966-04-01,69048000.00
1966-05-01,69644000.00
1966-06-01,71033000.00
1966-07-01,71724000.00
1966-08-01,71688000.00
1966-09-01,70255000.00
1966-10-01,70753000.00
1966-11-01,70970000.00
1966-12-01,70708000.00
1967-01-01,69262000.00
1967-02-01,69592000.00
1967-03-01,69687000.00
1967-04-01,70467000.00
1967-05-01,70634000.00
1967-06-01,72264000.00
1967-07-01,73186000.00
1967-08-01,73176000.00
1967-09-01,71573000.00
1967-10-01,72065000.00
1967-11-01,72125000.00
1967-12-01,72307000.00
1968-01-01,70398000.00
