Date,LFEM64TTUSM647N
1968-02-01,71172000.00
1968-03-01,71586000.00
1968-04-01,72139000.00
1968-05-01,72763000.00
1968-06-01,74081000.00
1968-07-01,74631000.00
1968-08-01,74382000.00
1968-09-01,72817000.00
1968-10-01,73194000.00
1968-11-01,73479000.00
1968-12-01,73613000.00
1969-01-01,72390000.00
1969-02-01,73079000.00
1969-03-01,73339000.00
1969-04-01,73849000.00
1969-05-01,74026000.00
1969-06-01,75752000.00
1969-07-01,76498000.00
1969-08-01,76488000.00
1969-09-01,74792000.00
1969-10-01,75485000.00
1969-11-01,75547000.00
1969-12-01,75720000.00
1970-01-01,74278000.00
1970-02-01,74376000.00
1970-03-01,74763000.00
1970-04-01,75188000.00
1970-05-01,75188000.00
1970-06-01,76273000.00
1970-07-01,77267000.00
1970-08-01,76879000.00
1970-09-01,75226000.00
1970-10-01,75876000.00
1970-11-01,75798000.00
1970-12-01,75619000.00
1971-01-01,74405000.00
1971-02-01,74524000.00
1971-03-01,74704000.00
1971-04-01,75336000.00
1971-05-01,75794000.00
1971-06-01,76618000.00
1971-07-01,77876000.00
1971-08-01,77848000.00
1971-09-01,76494000.00
1971-10-01,77287000.00
1971-11-01,77503000.00
1971-12-01,77522000.00
1972-01-01,76516000.00
1972-02-01,76787000.00
1972-03-01,77539000.00
1972-04-01,78034000.00
1972-05-01,78639000.00
1972-06-01,80047000.00
1972-07-01,80899000.00
1972-08-01,80979000.00
1972-09-01,79441000.00
1972-10-01,80122000.00
1972-11-01,80280000.00
1972-12-01,80515000.00
1973-01-01,78868000.00
1973-02-01,79611000.00
1973-03-01,80498000.00
1973-04-01,80948000.00
1973-05-01,81453000.00
1973-06-01,83271000.00
1973-07-01,84126000.00
1973-08-01,83697000.00
1973-09-01,82633000.00
1973-10-01,83771000.00
1973-11-01,83678000.00
1973-12-01,83603000.00
1974-01-01,82121000.00
1974-02-01,82300000.00
1974-03-01,82870000.00
1974-04-01,83108000.00
1974-05-01,83768000.00
1974-06-01,85156000.00
1974-07-01,86057000.00
1974-08-01,85636000.00
1974-09-01,84229000.00
1974-10-01,84816000.00
1974-11-01,84081000.00
1974-12-01,83375000.00
1975-01-01,81195000.00
1975-02-01,80815000.00
1975-03-01,81199000.00
1975-04-01,81637000.00
1975-05-01,82323000.00
1975-06-01,83671000.00
1975-07-01,84893000.00
1975-08-01,84979000.00
1975-09-01,83566000.00
1975-10-01,84330000.00
1975-11-01,83937000.00
1975-12-01,84009000.00
1976-01-01,82958000.00
1976-02-01,83206000.00
1976-03-01,84040000.00
1976-04-01,85035000.00
1976-05-01,85759000.00
1976-06-01,86993000.00
1976-07-01,88219000.00
1976-08-01,88010000.00
1976-09-01,86448000.00
1976-10-01,87230000.00
1976-11-01,87106000.00
1976-12-01,87059000.00
1977-01-01,85595000.00
1977-02-01,85898000.00
1977-03-01,86885000.00
1977-04-01,87842000.00
1977-05-01,88680000.00
1977-06-01,90401000.00
1977-07-01,91160000.00
1977-08-01,91139000.00
1977-09-01,89926000.00
1977-10-01,90854000.00
1977-11-01,91101000.00
1977-12-01,91280000.00
1978-01-01,89756000.00
1978-02-01,89912000.00
1978-03-01,90692000.00
1978-04-01,91799000.00
1978-05-01,92516000.00
1978-06-01,94478000.00
1978-07-01,94983000.00
1978-08-01,94975000.00
1978-09-01,93824000.00
1978-10-01,94848000.00
1978-11-01,94780000.00
1978-12-01,94663000.00
1979-01-01,93260000.00
1979-02-01,93565000.00
1979-03-01,94306000.00
1979-04-01,94443000.00
1979-05-01,95039000.00
1979-06-01,96765000.00
1979-07-01,97885000.00
1979-08-01,97219000.00
1979-09-01,96520000.00
1979-10-01,97070000.00
1979-11-01,96837000.00
1979-12-01,97011000.00
1980-01-01,95145000.00
1980-02-01,95257000.00
1980-03-01,95572000.00
1980-04-01,95605000.00
1980-05-01,95743000.00
1980-06-01,96884000.00
1980-07-01,97775000.00
1980-08-01,97242000.00
1980-09-01,96365000.00
1980-10-01,96986000.00
1980-11-01,96863000.00
1980-12-01,96672000.00
1981-01-01,95329000.00
1981-02-01,95526000.00
1981-03-01,96406000.00
1981-04-01,97326000.00
1981-05-01,97854000.00
1981-06-01,98446000.00
1981-07-01,99681000.00
1981-08-01,99231000.00
1981-09-01,97433000.00
1981-10-01,98018000.00
1981-11-01,97548000.00
1981-12-01,96634000.00
1982-01-01,95023000.00
1982-02-01,95105000.00
1982-03-01,95557000.00
1982-04-01,95937000.00
1982-05-01,96912000.00
1982-06-01,97670000.00
1982-07-01,98549000.00
1982-08-01,98336000.00
1982-09-01,96851000.00
1982-10-01,96877000.00
1982-11-01,96459000.00
1982-12-01,95971000.00
1983-01-01,94473000.00
1983-02-01,94433000.00
1983-03-01,95047000.00
1983-04-01,95919000.00
1983-05-01,96628000.00
1983-06-01,98947000.00
1983-07-01,100363000.00
1983-08-01,100273000.00
1983-09-01,99273000.00
1983-10-01,99583000.00
1983-11-01,100018000.00
1983-12-01,99925000.00
1984-01-01,98469000.00
1984-02-01,99149000.00
1984-03-01,99933000.00
1984-04-01,100805000.00
1984-05-01,102258000.00
1984-06-01,104060000.00
1984-07-01,104669000.00
1984-08-01,103924000.00
1984-09-01,102837000.00
1984-10-01,103287000.00
1984-11-01,103398000.00
1984-12-01,103252000.00
1985-01-01,101661000.00
1985-02-01,101938000.00
1985-03-01,102898000.00
1985-04-01,103335000.00
1985-05-01,104066000.00
1985-06-01,105041000.00
1985-07-01,106101000.00
1985-08-01,105887000.00
1985-09-01,104966000.00
1985-10-01,105486000.00
1985-11-01,105439000.00
1985-12-01,105222000.00
1986-01-01,104110000.00
1986-02-01,103873000.00
1986-03-01,104751000.00
1986-04-01,105260000.00
1986-05-01,106095000.00
1986-06-01,107891000.00
1986-07-01,108849000.00
1986-08-01,108627000.00
1986-09-01,107255000.00
1986-10-01,107934000.00
1986-11-01,107819000.00
1986-12-01,107679000.00
1987-01-01,106243000.00
1987-02-01,106624000.00
1987-03-01,107246000.00
1987-04-01,108093000.00
1987-05-01,109354000.00
1987-06-01,110381000.00
1987-07-01,111543000.00
1987-08-01,111433000.00
1987-09-01,109917000.00
1987-10-01,110720000.00
1987-11-01,110689000.00
1987-12-01,110553000.00
1988-01-01,109099000.00
1988-02-01,109364000.00
1988-03-01,109689000.00
1988-04-01,110672000.00
1988-05-01,111065000.00
1988-06-01,112956000.00
1988-07-01,113929000.00
1988-08-01,113621000.00
1988-09-01,112247000.00
1988-10-01,112966000.00
1988-11-01,112937000.00
1988-12-01,112714000.00
1989-01-01,111545000.00
1989-02-01,111786000.00
1989-03-01,112445000.00
1989-04-01,112908000.00
1989-05-01,113567000.00
1989-06-01,115341000.00
1989-07-01,116132000.00
1989-08-01,115811000.00
1989-09-01,114170000.00
1989-10-01,114817000.00
1989-11-01,114888000.00
1989-12-01,114346000.00
1990-01-01,113705000.00
1990-02-01,113933000.00
1990-03-01,114573000.00
1990-04-01,114762000.00
1990-05-01,115703000.00
1990-06-01,117076000.00
1990-07-01,117568000.00
1990-08-01,116803000.00
1990-09-01,115344000.00
1990-10-01,115857000.00
1990-11-01,115188000.00
1990-12-01,114854000.00
1991-01-01,112721000.00
1991-02-01,112689000.00
1991-03-01,113044000.00
1991-04-01,113991000.00
1991-05-01,114058000.00
1991-06-01,115762000.00
1991-07-01,116398000.00
1991-08-01,115568000.00
1991-09-01,114791000.00
1991-10-01,115082000.00
1991-11-01,114712000.00
1991-12-01,114202000.00
1992-01-01,112708000.00
1992-02-01,112760000.00
1992-03-01,113484000.00
1992-04-01,114368000.00
1992-05-01,115030000.00
1992-06-01,116491000.00
1992-07-01,117496000.00
1992-08-01,116819000.00
1992-09-01,115514000.00
1992-10-01,115806000.00
1992-11-01,115686000.00
1992-12-01,115649000.00
1993-01-01,113844000.00
1993-02-01,114435000.00
1993-03-01,115124000.00
1993-04-01,115583000.00
1993-05-01,116805000.00
1993-06-01,118247000.00
1993-07-01,118999000.00
1993-08-01,118641000.00
1993-09-01,117258000.00
1993-10-01,117899000.00
1993-11-01,118126000.00
1993-12-01,118184000.00
1994-01-01,116218000.00
1994-02-01,116886000.00
1994-03-01,117240000.00
1994-04-01,117971000.00
1994-05-01,119169000.00
1994-06-01,120140000.00
1994-07-01,120904000.00
1994-08-01,120808000.00
1994-09-01,120025000.00
1994-10-01,121022000.00
1994-11-01,121132000.00
1994-12-01,121088000.00
1995-01-01,118994000.00
1995-02-01,119780000.00
1995-03-01,120282000.00
1995-04-01,120576000.00
1995-05-01,120881000.00
1995-06-01,122099000.00
1995-07-01,122972000.00
1995-08-01,122347000.00
1995-09-01,121400000.00
1995-10-01,122173000.00
1995-11-01,121838000.00
1995-12-01,121460000.00
1996-01-01,119607000.00
1996-02-01,120504000.00
1996-03-01,121288000.00
1996-04-01,121737000.00
1996-05-01,122666000.00
1996-06-01,124022000.00
1996-07-01,124933000.00
1996-08-01,124526000.00
1996-09-01,123836000.00
1996-10-01,124674000.00
1996-11-01,124325000.00
1996-12-01,124096000.00
1997-01-01,122599000.00
1997-02-01,123223000.00
1997-03-01,124319000.00
1997-04-01,124867000.00
1997-05-01,125698000.00
1997-06-01,126726000.00
1997-07-01,127715000.00
1997-08-01,127298000.00
1997-09-01,126251000.00
1997-10-01,126904000.00
1997-11-01,127116000.00
1997-12-01,126852000.00
1998-01-01,125180000.00
1998-02-01,125859000.00
1998-03-01,126478000.00
1998-04-01,127028000.00
1998-05-01,127683000.00
1998-06-01,128637000.00
1998-07-01,129060000.00
1998-08-01,128638000.00
1998-09-01,128082000.00
1998-10-01,128601000.00
1998-11-01,128739000.00
1998-12-01,128877000.00
1999-01-01,127670000.00
1999-02-01,127928000.00
1999-03-01,128434000.00
1999-04-01,128667000.00
1999-05-01,129480000.00
1999-06-01,130471000.00
1999-07-01,130923000.00
1999-08-01,130413000.00
1999-09-01,129551000.00
1999-10-01,130439000.00
1999-11-01,130587000.00
1999-12-01,130712000.00
2000-01-01,130881000.00
2000-02-01,131400000.00
2000-03-01,131808000.00
2000-04-01,132737000.00
2000-05-01,132419000.00
2000-06-01,133860000.00
2000-07-01,133704000.00
2000-08-01,133132000.00
2000-09-01,132555000.00
2000-10-01,133205000.00
2000-11-01,133237000.00
2000-12-01,133602000.00
2001-01-01,131945000.00
2001-02-01,132381000.00
2001-03-01,132904000.00
2001-04-01,132763000.00
2001-05-01,132878000.00
2001-06-01,133590000.00
2001-07-01,134092000.00
2001-08-01,132524000.00
2001-09-01,132523000.00
2001-10-01,132481000.00
2001-11-01,132119000.00
2001-12-01,131969000.00
2002-01-01,129964000.00
2002-02-01,131189000.00
2002-03-01,131315000.00
2002-04-01,131581000.00
2002-05-01,132190000.00
2002-06-01,132851000.00
2002-07-01,133180000.00
2002-08-01,132975000.00
2002-09-01,132974000.00
2002-10-01,133158000.00
2002-11-01,132426000.00
2002-12-01,132351000.00
2003-01-01,131390000.00
2003-02-01,131866000.00
2003-03-01,132159000.00
2003-04-01,132801000.00
2003-05-01,132926000.00
2003-06-01,133915000.00
2003-07-01,134028000.00
2003-08-01,133594000.00
2003-09-01,133048000.00
2003-10-01,133917000.00
2003-11-01,134042000.00
2003-12-01,133845000.00
2004-01-01,132266000.00
2004-02-01,132639000.00
2004-03-01,132852000.00
2004-04-01,133741000.00
2004-05-01,134066000.00
2004-06-01,135061000.00
2004-07-01,135927000.00
2004-08-01,135396000.00
2004-09-01,134691000.00
2004-10-01,135474000.00
2004-11-01,135709000.00
2004-12-01,135376000.00
2005-01-01,133945000.00
2005-02-01,134209000.00
2005-03-01,134837000.00
2005-04-01,135827000.00
2005-05-01,136409000.00
2005-06-01,137441000.00
2005-07-01,138198000.00
2005-08-01,138064000.00
2005-09-01,137326000.00
2005-10-01,137978000.00
2005-11-01,137738000.00
2005-12-01,137655000.00
2006-01-01,136320000.00
2006-02-01,136906000.00
2006-03-01,137613000.00
2006-04-01,138079000.00
2006-05-01,138638000.00
2006-06-01,140011000.00
2006-07-01,140508000.00
2006-08-01,140142000.00
2006-09-01,139580000.00
2006-10-01,140532000.00
2006-11-01,140434000.00
2006-12-01,140464000.00
2007-01-01,139026000.00
2007-02-01,139106000.00
2007-03-01,139776000.00
2007-04-01,139712000.00
2007-05-01,140204000.00
2007-06-01,141343000.00
2007-07-01,141737000.00
2007-08-01,140802000.00
2007-09-01,140674000.00
2007-10-01,140955000.00
2007-11-01,141312000.00
2007-12-01,140547000.00
2008-01-01,138891000.00
2008-02-01,138803000.00
2008-03-01,139297000.00
2008-04-01,139980000.00
2008-05-01,139963000.00
2008-06-01,140769000.00
2008-07-01,140814000.00
2008-08-01,139818000.00
2008-09-01,139160000.00
2008-10-01,139379000.00
2008-11-01,138458000.00
2008-12-01,137266000.00
2009-01-01,134306000.00
2009-02-01,134139000.00
2009-03-01,133778000.00
2009-04-01,134552000.00
2009-05-01,134231000.00
2009-06-01,134889000.00
2009-07-01,135079000.00
2009-08-01,133954000.00
2009-09-01,132863000.00
2009-10-01,132805000.00
2009-11-01,132810000.00
2009-12-01,131760000.00
2010-01-01,130617000.00
2010-02-01,131038000.00
2010-03-01,131791000.00
2010-04-01,133106000.00
2010-05-01,133209000.00
2010-06-01,133707000.00
2010-07-01,133993000.00
2010-08-01,133659000.00
2010-09-01,133266000.00
2010-10-01,133329000.00
2010-11-01,133049000.00
2010-12-01,132783000.00
2011-01-01,131179000.00
2011-02-01,131536000.00
2011-03-01,132400000.00
2011-04-01,132974000.00
2011-05-01,133359000.00
2011-06-01,133608000.00
2011-07-01,133852000.00
2011-08-01,133835000.00
2011-09-01,133767000.00
2011-10-01,134128000.00
2011-11-01,134240000.00
2011-12-01,133788000.00
2012-01-01,133008000.00
2012-02-01,133531000.00
2012-03-01,134188000.00
2012-04-01,134764000.00
2012-05-01,135427000.00
2012-06-01,136080000.00
2012-07-01,136073000.00
2012-08-01,135346000.00
2012-09-01,135929000.00
2012-10-01,136633000.00
2012-11-01,136061000.00
2012-12-01,135648000.00
2013-01-01,134190000.00
2013-02-01,134660000.00
2013-03-01,135122000.00
2013-04-01,135992000.00
2013-05-01,136534000.00
2013-06-01,137168000.00
2013-07-01,137571000.00
2013-08-01,136747000.00
2013-09-01,136872000.00
2013-10-01,136455000.00
2013-11-01,136990000.00
2013-12-01,136675000.00
2014-01-01,135652000.00
2014-02-01,136101000.00
2014-03-01,137186000.00
2014-04-01,137723000.00
2014-05-01,138354000.00
2014-06-01,139280000.00
2014-07-01,139469000.00
2014-08-01,138871000.00
2014-09-01,138909000.00
2014-10-01,139815000.00
2014-11-01,139603000.00
2014-12-01,139050000.00
2015-01-01,138317000.00
2015-02-01,138857000.00
2015-03-01,139157000.00
2015-04-01,140116000.00
2015-05-01,140804000.00
2015-06-01,141239000.00
2015-07-01,141339000.00
2015-08-01,140818000.00
2015-09-01,140490000.00
2015-10-01,140979000.00
2015-11-01,141159000.00
2015-12-01,141151000.00
2016-01-01,140494000.00
2016-02-01,141289000.00
2016-03-01,141814000.00
2016-04-01,142043000.00
2016-05-01,142602000.00
2016-06-01,143081000.00
2016-07-01,143497000.00
2016-08-01,142854000.00
2016-09-01,142921000.00
2016-10-01,143289000.00
2016-11-01,143374000.00
2016-12-01,142978000.00
2017-01-01,141589000.00
2017-02-01,142436000.00
2017-03-01,143462000.00
2017-04-01,143930000.00
2017-05-01,144056000.00
2017-06-01,144945000.00
2017-07-01,145325000.00
2017-08-01,144371000.00
2017-09-01,145033000.00
2017-10-01,144931000.00
2017-11-01,144810000.00
2017-12-01,144351000.00
2018-01-01,143685000.00
2018-02-01,145020000.00
2018-03-01,145299000.00
2018-04-01,145652000.00
2018-05-01,146198000.00
