Date,CPITRNNS
1935-03-01,14.20
1935-07-01,14.30
1935-10-01,14.10
1936-01-01,14.10
1936-04-01,14.30
1936-07-01,14.30
1936-09-01,14.30
1936-12-01,14.30
1937-03-01,14.50
1937-06-01,14.50
1937-09-01,14.60
1937-12-01,14.70
1938-03-01,14.70
1938-06-01,14.70
1938-09-01,14.70
1938-12-01,14.40
1939-03-01,14.30
1939-06-01,14.30
1939-09-01,14.30
1939-12-01,14.30
1940-03-01,14.30
1940-06-01,14.10
1940-09-01,14.20
1940-12-01,14.30
1941-03-01,14.30
1941-06-01,14.60
1941-09-01,14.80
1941-12-01,15.40
1942-03-01,16.00
1942-06-01,16.10
1942-09-01,16.00
1942-12-01,16.00
1943-03-01,16.00
1943-06-01,15.90
1943-09-01,15.90
1943-12-01,15.90
1944-03-01,15.90
1944-06-01,15.90
1944-09-01,15.90
1944-12-01,15.90
1945-03-01,15.90
1945-06-01,15.90
1945-09-01,15.90
1945-12-01,15.90
1946-03-01,16.00
1946-06-01,16.20
1946-09-01,17.50
1946-12-01,17.90
1947-01-01,17.90
1947-02-01,17.90
1947-03-01,18.10
1947-04-01,18.20
1947-05-01,18.30
1947-06-01,18.30
1947-07-01,18.40
1947-08-01,18.50
1947-09-01,18.70
1947-10-01,18.90
1947-11-01,19.00
1947-12-01,19.20
1948-01-01,19.50
1948-02-01,19.60
1948-03-01,19.60
1948-04-01,19.80
1948-05-01,19.80
1948-06-01,19.90
1948-07-01,21.00
1948-08-01,21.40
1948-09-01,21.50
1948-10-01,21.60
1948-11-01,21.60
1948-12-01,21.60
1949-01-01,21.60
1949-02-01,21.80
1949-03-01,21.90
1949-04-01,22.00
1949-05-01,22.10
1949-06-01,22.00
1949-07-01,22.10
1949-08-01,22.30
1949-09-01,22.30
1949-10-01,22.40
1949-11-01,22.40
1949-12-01,22.50
1950-01-01,22.50
1950-02-01,22.40
1950-03-01,22.40
1950-04-01,22.30
1950-05-01,22.40
1950-06-01,22.40
1950-07-01,22.70
1950-08-01,22.90
1950-09-01,23.00
1950-10-01,22.90
1950-11-01,23.00
1950-12-01,23.30
1951-01-01,23.40
1951-02-01,23.60
1951-03-01,23.80
1951-04-01,23.90
1951-05-01,24.00
1951-06-01,24.00
1951-07-01,24.00
1951-08-01,24.20
1951-09-01,24.40
1951-10-01,24.60
1951-11-01,24.90
1951-12-01,24.90
1952-01-01,25.00
1952-02-01,25.20
1952-03-01,25.40
1952-04-01,25.40
1952-05-01,25.50
1952-06-01,25.70
1952-07-01,25.90
1952-08-01,25.90
1952-09-01,26.00
1952-10-01,26.20
1952-11-01,26.30
1952-12-01,26.30
1953-01-01,26.40
1953-02-01,26.30
1953-03-01,26.40
1953-04-01,26.40
1953-05-01,26.40
1953-06-01,26.40
1953-07-01,26.50
1953-08-01,26.60
1953-09-01,26.70
1953-10-01,26.70
1953-11-01,26.50
1953-12-01,26.30
1954-01-01,26.60
1954-02-01,26.40
1954-03-01,26.30
1954-04-01,26.30
1954-05-01,26.30
1954-06-01,26.30
1954-07-01,25.80
1954-08-01,25.80
1954-09-01,25.80
1954-10-01,25.50
1954-11-01,26.00
1954-12-01,25.90
1955-01-01,26.00
1955-02-01,26.00
1955-03-01,25.90
1955-04-01,25.50
1955-05-01,25.60
1955-06-01,25.60
1955-07-01,25.60
1955-08-01,25.60
1955-09-01,25.50
1955-10-01,25.80
1955-11-01,26.20
1955-12-01,25.90
1956-01-01,25.90
1956-02-01,25.90
1956-03-01,25.80
1956-04-01,25.80
1956-05-01,25.90
1956-06-01,25.90
1956-07-01,26.00
1956-08-01,26.20
1956-09-01,26.20
1956-10-01,27.00
1956-11-01,27.10
1956-12-01,27.10
1957-01-01,27.20
1957-02-01,27.40
1957-03-01,27.50
1957-04-01,27.60
1957-05-01,27.50
1957-06-01,27.50
1957-07-01,27.70
1957-08-01,27.70
1957-09-01,27.70
1957-10-01,27.70
1957-11-01,28.50
1957-12-01,28.30
1958-01-01,28.20
1958-02-01,28.20
1958-03-01,28.20
1958-04-01,28.20
1958-05-01,28.20
1958-06-01,28.30
1958-07-01,28.60
1958-08-01,28.70
1958-09-01,28.80
1958-10-01,29.10
1958-11-01,29.40
1958-12-01,29.40
1959-01-01,29.40
1959-02-01,29.40
1959-03-01,29.50
1959-04-01,29.60
1959-05-01,29.60
1959-06-01,29.70
1959-07-01,29.80
1959-08-01,29.90
1959-09-01,29.80
1959-10-01,30.20
1959-11-01,30.30
1959-12-01,30.30
1960-01-01,30.10
1960-02-01,30.00
