Date,HOSINVUSM495N
2017-04-01,1920000.00
2017-05-01,1970000.00
2017-06-01,1940000.00
2017-07-01,1920000.00
2017-08-01,1870000.00
2017-09-01,1860000.00
2017-10-01,1800000.00
2017-11-01,1670000.00
2017-12-01,1460000.00
2018-01-01,1520000.00
2018-02-01,1580000.00
2018-03-01,1640000.00
2018-04-01,1800000.00
2018-05-01,1850000.00
