Date,U31ATI
1992-01-01,8351000000.00
1992-02-01,8268000000.00
1992-03-01,9643000000.00
1992-04-01,9593000000.00
1992-05-01,9650000000.00
1992-06-01,9615000000.00
1992-07-01,9777000000.00
1992-08-01,9819000000.00
1992-09-01,9741000000.00
1992-10-01,9663000000.00
1992-11-01,9679000000.00
1992-12-01,9806000000.00
1993-01-01,9563000000.00
1993-02-01,9325000000.00
1993-03-01,10207000000.00
1993-04-01,10012000000.00
1993-05-01,10017000000.00
1993-06-01,9809000000.00
1993-07-01,10073000000.00
1993-08-01,9914000000.00
1993-09-01,9743000000.00
1993-10-01,9741000000.00
1993-11-01,9726000000.00
1993-12-01,9786000000.00
1994-01-01,9813000000.00
1994-02-01,9746000000.00
1994-03-01,9511000000.00
1994-04-01,9536000000.00
1994-05-01,9721000000.00
1994-06-01,9721000000.00
1994-07-01,10096000000.00
1994-08-01,10038000000.00
1994-09-01,10064000000.00
1994-10-01,10312000000.00
1994-11-01,10477000000.00
1994-12-01,10642000000.00
1995-01-01,10751000000.00
1995-02-01,10882000000.00
1995-03-01,10687000000.00
1995-04-01,10937000000.00
1995-05-01,11002000000.00
1995-06-01,11038000000.00
1995-07-01,11395000000.00
1995-08-01,11326000000.00
1995-09-01,11277000000.00
1995-10-01,11267000000.00
1995-11-01,11271000000.00
1995-12-01,11516000000.00
1996-01-01,11610000000.00
1996-02-01,11424000000.00
1996-03-01,11390000000.00
1996-04-01,11194000000.00
1996-05-01,11115000000.00
1996-06-01,11072000000.00
1996-07-01,11312000000.00
1996-08-01,11328000000.00
1996-09-01,11508000000.00
1996-10-01,11524000000.00
1996-11-01,11710000000.00
1996-12-01,11929000000.00
1997-01-01,11773000000.00
1997-02-01,11704000000.00
1997-03-01,11663000000.00
1997-04-01,11621000000.00
1997-05-01,11785000000.00
1997-06-01,11665000000.00
1997-07-01,11860000000.00
1997-08-01,11937000000.00
1997-09-01,11973000000.00
1997-10-01,12089000000.00
1997-11-01,12266000000.00
1997-12-01,12534000000.00
1998-01-01,12479000000.00
1998-02-01,12278000000.00
1998-03-01,12088000000.00
1998-04-01,12106000000.00
1998-05-01,12267000000.00
1998-06-01,12338000000.00
1998-07-01,12725000000.00
1998-08-01,12855000000.00
1998-09-01,12825000000.00
1998-10-01,12694000000.00
1998-11-01,12615000000.00
1998-12-01,12654000000.00
