Date,UTCGUO
1992-01-01,338116000000.00
1992-02-01,335422000000.00
1992-03-01,333858000000.00
1992-04-01,332602000000.00
1992-05-01,333033000000.00
1992-06-01,330239000000.00
1992-07-01,324986000000.00
1992-08-01,319268000000.00
1992-09-01,315083000000.00
1992-10-01,317661000000.00
1992-11-01,315647000000.00
1992-12-01,318158000000.00
1993-01-01,317883000000.00
1993-02-01,318398000000.00
1993-03-01,316319000000.00
1993-04-01,313978000000.00
1993-05-01,308834000000.00
1993-06-01,307316000000.00
1993-07-01,306262000000.00
1993-08-01,305295000000.00
1993-09-01,301791000000.00
1993-10-01,300595000000.00
1993-11-01,298353000000.00
1993-12-01,298396000000.00
1994-01-01,305061000000.00
1994-02-01,303752000000.00
1994-03-01,301317000000.00
1994-04-01,298859000000.00
1994-05-01,296288000000.00
1994-06-01,296865000000.00
1994-07-01,295208000000.00
1994-08-01,292902000000.00
1994-09-01,291558000000.00
1994-10-01,293733000000.00
1994-11-01,294937000000.00
1994-12-01,298213000000.00
1995-01-01,300523000000.00
1995-02-01,302047000000.00
1995-03-01,304898000000.00
1995-04-01,303071000000.00
1995-05-01,302399000000.00
1995-06-01,300483000000.00
1995-07-01,298040000000.00
1995-08-01,296840000000.00
1995-09-01,301197000000.00
1995-10-01,302317000000.00
1995-11-01,304528000000.00
1995-12-01,312903000000.00
1996-01-01,321201000000.00
1996-02-01,323887000000.00
1996-03-01,335231000000.00
1996-04-01,333863000000.00
1996-05-01,335753000000.00
1996-06-01,335623000000.00
1996-07-01,335818000000.00
1996-08-01,330396000000.00
1996-09-01,330965000000.00
1996-10-01,334200000000.00
1996-11-01,340929000000.00
1996-12-01,345536000000.00
1997-01-01,350226000000.00
1997-02-01,352555000000.00
1997-03-01,352383000000.00
1997-04-01,351463000000.00
1997-05-01,347650000000.00
1997-06-01,345728000000.00
1997-07-01,345000000000.00
1997-08-01,344303000000.00
1997-09-01,344338000000.00
1997-10-01,347313000000.00
1997-11-01,359522000000.00
1997-12-01,359163000000.00
1998-01-01,365589000000.00
1998-02-01,364917000000.00
1998-03-01,361485000000.00
1998-04-01,362197000000.00
1998-05-01,360076000000.00
1998-06-01,356557000000.00
1998-07-01,353766000000.00
1998-08-01,352998000000.00
1998-09-01,354274000000.00
1998-10-01,350411000000.00
1998-11-01,347381000000.00
1998-12-01,347154000000.00
1999-01-01,354929000000.00
1999-02-01,354325000000.00
1999-03-01,355279000000.00
1999-04-01,350825000000.00
1999-05-01,347617000000.00
1999-06-01,342317000000.00
1999-07-01,342157000000.00
1999-08-01,337653000000.00
1999-09-01,338753000000.00
1999-10-01,340091000000.00
1999-11-01,338395000000.00
1999-12-01,348003000000.00
2000-01-01,357282000000.00
2000-02-01,357001000000.00
2000-03-01,357908000000.00
2000-04-01,355652000000.00
2000-05-01,352127000000.00
2000-06-01,377698000000.00
2000-07-01,376647000000.00
2000-08-01,374705000000.00
2000-09-01,378519000000.00
2000-10-01,376029000000.00
2000-11-01,377908000000.00
2000-12-01,383540000000.00
2001-01-01,384912000000.00
2001-02-01,383702000000.00
2001-03-01,386081000000.00
2001-04-01,382496000000.00
2001-05-01,379173000000.00
2001-06-01,372112000000.00
2001-07-01,365996000000.00
2001-08-01,359903000000.00
2001-09-01,355189000000.00
2001-10-01,359921000000.00
2001-11-01,355923000000.00
2001-12-01,356856000000.00
2002-01-01,353182000000.00
2002-02-01,354502000000.00
2002-03-01,353811000000.00
2002-04-01,350312000000.00
2002-05-01,346287000000.00
2002-06-01,337849000000.00
2002-07-01,333775000000.00
2002-08-01,334498000000.00
2002-09-01,330078000000.00
2002-10-01,326073000000.00
2002-11-01,322948000000.00
2002-12-01,327136000000.00
2003-01-01,330484000000.00
2003-02-01,332381000000.00
2003-03-01,336489000000.00
2003-04-01,338822000000.00
2003-05-01,338489000000.00
2003-06-01,336467000000.00
2003-07-01,333348000000.00
2003-08-01,333454000000.00
2003-09-01,332291000000.00
2003-10-01,334516000000.00
2003-11-01,335447000000.00
2003-12-01,344566000000.00
2004-01-01,349367000000.00
2004-02-01,352665000000.00
2004-03-01,359794000000.00
2004-04-01,361177000000.00
2004-05-01,359626000000.00
2004-06-01,360511000000.00
2004-07-01,364762000000.00
2004-08-01,361637000000.00
2004-09-01,363786000000.00
2004-10-01,365436000000.00
2004-11-01,371806000000.00
2004-12-01,379409000000.00
2005-01-01,384454000000.00
2005-02-01,388182000000.00
2005-03-01,389614000000.00
2005-04-01,388998000000.00
2005-05-01,398098000000.00
2005-06-01,407070000000.00
2005-07-01,409394000000.00
2005-08-01,413153000000.00
2005-09-01,412741000000.00
2005-10-01,418780000000.00
2005-11-01,435861000000.00
2005-12-01,454175000000.00
2006-01-01,457705000000.00
2006-02-01,464807000000.00
2006-03-01,480187000000.00
2006-04-01,485565000000.00
2006-05-01,486150000000.00
2006-06-01,493328000000.00
2006-07-01,496271000000.00
2006-08-01,495580000000.00
2006-09-01,519623000000.00
2006-10-01,528045000000.00
2006-11-01,540013000000.00
2006-12-01,562475000000.00
2007-01-01,570906000000.00
2007-02-01,579101000000.00
2007-03-01,594644000000.00
2007-04-01,605870000000.00
2007-05-01,608971000000.00
2007-06-01,617186000000.00
2007-07-01,630660000000.00
2007-08-01,635349000000.00
2007-09-01,639382000000.00
2007-10-01,645695000000.00
2007-11-01,655015000000.00
2007-12-01,687486000000.00
2008-01-01,701019000000.00
2008-02-01,712046000000.00
2008-03-01,725557000000.00
2008-04-01,729023000000.00
2008-05-01,732355000000.00
2008-06-01,736105000000.00
2008-07-01,737650000000.00
2008-08-01,737727000000.00
2008-09-01,739072000000.00
2008-10-01,735111000000.00
2008-11-01,730594000000.00
2008-12-01,738701000000.00
2009-01-01,725892000000.00
2009-02-01,710317000000.00
2009-03-01,697729000000.00
2009-04-01,681641000000.00
2009-05-01,672074000000.00
2009-06-01,658309000000.00
2009-07-01,651090000000.00
2009-08-01,641043000000.00
2009-09-01,631780000000.00
2009-10-01,622927000000.00
2009-11-01,611623000000.00
2009-12-01,608854000000.00
2010-01-01,610965000000.00
2010-02-01,615162000000.00
2010-03-01,616496000000.00
2010-04-01,616224000000.00
2010-05-01,617149000000.00
2010-06-01,618671000000.00
2010-07-01,616784000000.00
2010-08-01,616280000000.00
2010-09-01,625681000000.00
2010-10-01,628900000000.00
2010-11-01,629209000000.00
2010-12-01,635866000000.00
2011-01-01,644522000000.00
2011-02-01,649014000000.00
2011-03-01,658981000000.00
2011-04-01,659779000000.00
2011-05-01,664659000000.00
2011-06-01,666290000000.00
2011-07-01,669056000000.00
2011-08-01,674166000000.00
2011-09-01,679210000000.00
2011-10-01,678573000000.00
2011-11-01,684535000000.00
2011-12-01,706116000000.00
2012-01-01,718813000000.00
2012-02-01,734251000000.00
2012-03-01,739068000000.00
2012-04-01,737073000000.00
2012-05-01,734455000000.00
2012-06-01,737074000000.00
2012-07-01,745936000000.00
2012-08-01,731902000000.00
2012-09-01,735178000000.00
2012-10-01,736263000000.00
2012-11-01,731536000000.00
2012-12-01,756792000000.00
2013-01-01,757634000000.00
2013-02-01,770260000000.00
2013-03-01,764648000000.00
2013-04-01,762663000000.00
2013-05-01,766336000000.00
2013-06-01,784823000000.00
2013-07-01,783656000000.00
2013-08-01,776611000000.00
2013-09-01,785791000000.00
