Date,PCEDG
1959-01-01,42300000000.00
1959-02-01,44200000000.00
1959-03-01,44400000000.00
1959-04-01,45100000000.00
1959-05-01,45400000000.00
1959-06-01,46000000000.00
1959-07-01,45400000000.00
1959-08-01,46200000000.00
1959-09-01,47400000000.00
1959-10-01,44800000000.00
1959-11-01,44700000000.00
1959-12-01,42800000000.00
1960-01-01,43200000000.00
1960-02-01,45700000000.00
1960-03-01,47400000000.00
1960-04-01,49100000000.00
1960-05-01,45700000000.00
1960-06-01,44500000000.00
1960-07-01,44900000000.00
1960-08-01,45800000000.00
1960-09-01,47100000000.00
1960-10-01,46700000000.00
1960-11-01,45100000000.00
1960-12-01,42300000000.00
1961-01-01,41600000000.00
1961-02-01,41900000000.00
1961-03-01,43200000000.00
1961-04-01,42700000000.00
1961-05-01,43500000000.00
1961-06-01,43800000000.00
1961-07-01,44100000000.00
1961-08-01,44600000000.00
1961-09-01,45000000000.00
1961-10-01,45600000000.00
1961-11-01,46700000000.00
1961-12-01,47700000000.00
1962-01-01,47500000000.00
1962-02-01,47400000000.00
1962-03-01,48200000000.00
1962-04-01,48400000000.00
1962-05-01,49600000000.00
1962-06-01,49100000000.00
1962-07-01,49200000000.00
1962-08-01,49000000000.00
1962-09-01,50500000000.00
1962-10-01,49000000000.00
1962-11-01,52100000000.00
1962-12-01,53500000000.00
1963-01-01,53100000000.00
1963-02-01,52400000000.00
1963-03-01,52300000000.00
1963-04-01,53200000000.00
1963-05-01,53500000000.00
1963-06-01,55000000000.00
1963-07-01,55500000000.00
1963-08-01,54100000000.00
1963-09-01,54600000000.00
1963-10-01,54200000000.00
1963-11-01,55600000000.00
1963-12-01,57400000000.00
1964-01-01,57900000000.00
1964-02-01,58400000000.00
1964-03-01,57600000000.00
1964-04-01,58200000000.00
1964-05-01,59700000000.00
1964-06-01,60600000000.00
1964-07-01,61600000000.00
1964-08-01,62100000000.00
1964-09-01,60300000000.00
1964-10-01,61200000000.00
1964-11-01,58900000000.00
1964-12-01,58000000000.00
1965-01-01,61000000000.00
1965-02-01,65400000000.00
1965-03-01,68400000000.00
1965-04-01,67300000000.00
1965-05-01,65100000000.00
1965-06-01,62000000000.00
1965-07-01,63500000000.00
1965-08-01,66000000000.00
1965-09-01,70600000000.00
1965-10-01,69500000000.00
1965-11-01,69100000000.00
1965-12-01,68800000000.00
1966-01-01,70200000000.00
1966-02-01,72300000000.00
1966-03-01,74400000000.00
1966-04-01,72500000000.00
1966-05-01,68700000000.00
1966-06-01,68000000000.00
1966-07-01,69600000000.00
1966-08-01,72300000000.00
1966-09-01,75100000000.00
1966-10-01,73400000000.00
1966-11-01,72300000000.00
1966-12-01,72200000000.00
1967-01-01,72500000000.00
1967-02-01,69900000000.00
