Date,UCDGVS
1992-01-01,17289000000.00
1992-02-01,21175000000.00
1992-03-01,22313000000.00
1992-04-01,22057000000.00
1992-05-01,22826000000.00
1992-06-01,22361000000.00
1992-07-01,15871000000.00
1992-08-01,20869000000.00
1992-09-01,21786000000.00
1992-10-01,24118000000.00
1992-11-01,22433000000.00
1992-12-01,20013000000.00
1993-01-01,20595000000.00
1993-02-01,24238000000.00
1993-03-01,24511000000.00
1993-04-01,23674000000.00
1993-05-01,23778000000.00
1993-06-01,24426000000.00
1993-07-01,15778000000.00
1993-08-01,21004000000.00
1993-09-01,23605000000.00
1993-10-01,25909000000.00
1993-11-01,24873000000.00
1993-12-01,22422000000.00
1994-01-01,22876000000.00
1994-02-01,26767000000.00
1994-03-01,27428000000.00
1994-04-01,26882000000.00
1994-05-01,27252000000.00
1994-06-01,28076000000.00
1994-07-01,17914000000.00
1994-08-01,26820000000.00
1994-09-01,28138000000.00
1994-10-01,28643000000.00
1994-11-01,28419000000.00
1994-12-01,25716000000.00
1995-01-01,25356000000.00
1995-02-01,29321000000.00
1995-03-01,30088000000.00
1995-04-01,27700000000.00
1995-05-01,27616000000.00
1995-06-01,28392000000.00
1995-07-01,17888000000.00
1995-08-01,26807000000.00
1995-09-01,29104000000.00
1995-10-01,29743000000.00
1995-11-01,27552000000.00
1995-12-01,24469000000.00
1996-01-01,23719000000.00
1996-02-01,28548000000.00
1996-03-01,27641000000.00
1996-04-01,28855000000.00
1996-05-01,29394000000.00
1996-06-01,29135000000.00
1996-07-01,19696000000.00
1996-08-01,27491000000.00
1996-09-01,30277000000.00
1996-10-01,30314000000.00
1996-11-01,28706000000.00
1996-12-01,24626000000.00
1997-01-01,26258000000.00
1997-02-01,30530000000.00
1997-03-01,31084000000.00
1997-04-01,30929000000.00
1997-05-01,29811000000.00
1997-06-01,31700000000.00
1997-07-01,22231000000.00
1997-08-01,30267000000.00
1997-09-01,32843000000.00
1997-10-01,33945000000.00
1997-11-01,31600000000.00
1997-12-01,28995000000.00
1998-01-01,26600000000.00
1998-02-01,32973000000.00
1998-03-01,34457000000.00
1998-04-01,32365000000.00
1998-05-01,32103000000.00
1998-06-01,30502000000.00
1998-07-01,20115000000.00
1998-08-01,31026000000.00
1998-09-01,34093000000.00
1998-10-01,35418000000.00
1998-11-01,32927000000.00
1998-12-01,30825000000.00
1999-01-01,30261000000.00
1999-02-01,36523000000.00
1999-03-01,38857000000.00
1999-04-01,35408000000.00
1999-05-01,35497000000.00
1999-06-01,37534000000.00
1999-07-01,23248000000.00
1999-08-01,35614000000.00
1999-09-01,37009000000.00
1999-10-01,36577000000.00
1999-11-01,34683000000.00
1999-12-01,31435000000.00
2000-01-01,31331000000.00
2000-02-01,35037000000.00
2000-03-01,38255000000.00
2000-04-01,33521000000.00
2000-05-01,34301000000.00
2000-06-01,36803000000.00
2000-07-01,22397000000.00
2000-08-01,31621000000.00
2000-09-01,34911000000.00
2000-10-01,34389000000.00
2000-11-01,31253000000.00
2000-12-01,27644000000.00
2001-01-01,26615000000.00
2001-02-01,30515000000.00
2001-03-01,35263000000.00
2001-04-01,30073000000.00
2001-05-01,33461000000.00
2001-06-01,32803000000.00
2001-07-01,22137000000.00
2001-08-01,33072000000.00
2001-09-01,30030000000.00
2001-10-01,33104000000.00
2001-11-01,31625000000.00
2001-12-01,28824000000.00
2002-01-01,29914000000.00
2002-02-01,31368000000.00
2002-03-01,33040000000.00
2002-04-01,34240000000.00
2002-05-01,35787000000.00
2002-06-01,34148000000.00
2002-07-01,25238000000.00
2002-08-01,35429000000.00
2002-09-01,34691000000.00
2002-10-01,37973000000.00
2002-11-01,33638000000.00
2002-12-01,30487000000.00
2003-01-01,32842000000.00
2003-02-01,33879000000.00
2003-03-01,38050000000.00
2003-04-01,33593000000.00
2003-05-01,35844000000.00
2003-06-01,36252000000.00
2003-07-01,26553000000.00
2003-08-01,34502000000.00
2003-09-01,38808000000.00
2003-10-01,40200000000.00
2003-11-01,34437000000.00
2003-12-01,33861000000.00
2004-01-01,31375000000.00
2004-02-01,36218000000.00
2004-03-01,42467000000.00
2004-04-01,35247000000.00
2004-05-01,34226000000.00
2004-06-01,37222000000.00
2004-07-01,23405000000.00
2004-08-01,34979000000.00
2004-09-01,36815000000.00
2004-10-01,36386000000.00
2004-11-01,35092000000.00
2004-12-01,35750000000.00
2005-01-01,30355000000.00
2005-02-01,34457000000.00
2005-03-01,37898000000.00
2005-04-01,34387000000.00
2005-05-01,35453000000.00
2005-06-01,38146000000.00
2005-07-01,25244000000.00
2005-08-01,36948000000.00
2005-09-01,40043000000.00
2005-10-01,38278000000.00
2005-11-01,35538000000.00
2005-12-01,35808000000.00
2006-01-01,32145000000.00
2006-02-01,34997000000.00
2006-03-01,41815000000.00
2006-04-01,33182000000.00
2006-05-01,38497000000.00
2006-06-01,40180000000.00
2006-07-01,24016000000.00
2006-08-01,36280000000.00
2006-09-01,35033000000.00
2006-10-01,35938000000.00
2006-11-01,34169000000.00
2006-12-01,35608000000.00
2007-01-01,30415000000.00
2007-02-01,33473000000.00
2007-03-01,38876000000.00
2007-04-01,34385000000.00
2007-05-01,37688000000.00
2007-06-01,38650000000.00
2007-07-01,27258000000.00
2007-08-01,39021000000.00
2007-09-01,35452000000.00
2007-10-01,38324000000.00
2007-11-01,35113000000.00
2007-12-01,33167000000.00
2008-01-01,31143000000.00
2008-02-01,34261000000.00
2008-03-01,32908000000.00
2008-04-01,31105000000.00
2008-05-01,31520000000.00
2008-06-01,32403000000.00
2008-07-01,24005000000.00
2008-08-01,29616000000.00
2008-09-01,30605000000.00
2008-10-01,30086000000.00
2008-11-01,25280000000.00
2008-12-01,24614000000.00
2009-01-01,20171000000.00
2009-02-01,21376000000.00
2009-03-01,23978000000.00
2009-04-01,21858000000.00
2009-05-01,20977000000.00
2009-06-01,21008000000.00
2009-07-01,18097000000.00
2009-08-01,22917000000.00
2009-09-01,24209000000.00
2009-10-01,24880000000.00
2009-11-01,23780000000.00
2009-12-01,24785000000.00
2010-01-01,22897000000.00
2010-02-01,23396000000.00
2010-03-01,27728000000.00
2010-04-01,25656000000.00
2010-05-01,25929000000.00
2010-06-01,28722000000.00
2010-07-01,22863000000.00
2010-08-01,29545000000.00
2010-09-01,30832000000.00
2010-10-01,30007000000.00
2010-11-01,27333000000.00
2010-12-01,28524000000.00
2011-01-01,25248000000.00
2011-02-01,28300000000.00
2011-03-01,34480000000.00
2011-04-01,27632000000.00
2011-05-01,27928000000.00
2011-06-01,30585000000.00
2011-07-01,23968000000.00
2011-08-01,29774000000.00
2011-09-01,29376000000.00
2011-10-01,30777000000.00
2011-11-01,28360000000.00
2011-12-01,27871000000.00
2012-01-01,26604000000.00
2012-02-01,30584000000.00
2012-03-01,33672000000.00
2012-04-01,31701000000.00
2012-05-01,33280000000.00
2012-06-01,33908000000.00
2012-07-01,25760000000.00
2012-08-01,33289000000.00
2012-09-01,31700000000.00
2012-10-01,32700000000.00
2012-11-01,30973000000.00
2012-12-01,29181000000.00
2013-01-01,29387000000.00
2013-02-01,32768000000.00
2013-03-01,35326000000.00
2013-04-01,33526000000.00
2013-05-01,34594000000.00
2013-06-01,34257000000.00
2013-07-01,27390000000.00
2013-08-01,35191000000.00
2013-09-01,35119000000.00
2013-10-01,37861000000.00
2013-11-01,35599000000.00
2013-12-01,31787000000.00
2014-01-01,30423000000.00
2014-02-01,35003000000.00
2014-03-01,38461000000.00
2014-04-01,35581000000.00
2014-05-01,37676000000.00
2014-06-01,37233000000.00
2014-07-01,32636000000.00
2014-08-01,37435000000.00
2014-09-01,38617000000.00
2014-10-01,40721000000.00
2014-11-01,35070000000.00
2014-12-01,36733000000.00
2015-01-01,31986000000.00
2015-02-01,35311000000.00
2015-03-01,42249000000.00
2015-04-01,38811000000.00
2015-05-01,38386000000.00
2015-06-01,41256000000.00
2015-07-01,34379000000.00
2015-08-01,39688000000.00
2015-09-01,42236000000.00
2015-10-01,40791000000.00
2015-11-01,38279000000.00
2015-12-01,38251000000.00
2016-01-01,34917000000.00
2016-02-01,41299000000.00
2016-03-01,43891000000.00
2016-04-01,40147000000.00
2016-05-01,38567000000.00
2016-06-01,41844000000.00
2016-07-01,32534000000.00
2016-08-01,42209000000.00
2016-09-01,42684000000.00
2016-10-01,40770000000.00
2016-11-01,39057000000.00
2016-12-01,38904000000.00
2017-01-01,35525000000.00
2017-02-01,38474000000.00
2017-03-01,44133000000.00
2017-04-01,37819000000.00
2017-05-01,41124000000.00
2017-06-01,42323000000.00
2017-07-01,31393000000.00
2017-08-01,42454000000.00
2017-09-01,41301000000.00
2017-10-01,42018000000.00
2017-11-01,40827000000.00
2017-12-01,38368000000.00
2018-01-01,37020000000.00
2018-02-01,40990000000.00
2018-03-01,46106000000.00
2018-04-01,42984000000.00
