Date,U31AUO
1992-01-01,8115000000.00
1992-02-01,8260000000.00
1992-03-01,8747000000.00
1992-04-01,8697000000.00
1992-05-01,8526000000.00
1992-06-01,8506000000.00
1992-07-01,8662000000.00
1992-08-01,8515000000.00
1992-09-01,8125000000.00
1992-10-01,7727000000.00
1992-11-01,7563000000.00
1992-12-01,8621000000.00
1993-01-01,9907000000.00
1993-02-01,11046000000.00
1993-03-01,12632000000.00
1993-04-01,12464000000.00
1993-05-01,12298000000.00
1993-06-01,12168000000.00
1993-07-01,12160000000.00
1993-08-01,11798000000.00
1993-09-01,11484000000.00
1993-10-01,11414000000.00
1993-11-01,11409000000.00
1993-12-01,11569000000.00
1994-01-01,12252000000.00
1994-02-01,12843000000.00
1994-03-01,13342000000.00
1994-04-01,13452000000.00
1994-05-01,13170000000.00
1994-06-01,13025000000.00
1994-07-01,12964000000.00
1994-08-01,12568000000.00
1994-09-01,12499000000.00
1994-10-01,12247000000.00
1994-11-01,12133000000.00
1994-12-01,12101000000.00
1995-01-01,13182000000.00
1995-02-01,13700000000.00
1995-03-01,14211000000.00
1995-04-01,13942000000.00
1995-05-01,13505000000.00
1995-06-01,12975000000.00
1995-07-01,12682000000.00
1995-08-01,12783000000.00
1995-09-01,12118000000.00
1995-10-01,12055000000.00
1995-11-01,12273000000.00
1995-12-01,12682000000.00
1996-01-01,13669000000.00
1996-02-01,14078000000.00
1996-03-01,13932000000.00
1996-04-01,13580000000.00
1996-05-01,13653000000.00
1996-06-01,13372000000.00
1996-07-01,13475000000.00
1996-08-01,13419000000.00
1996-09-01,12916000000.00
1996-10-01,12517000000.00
1996-11-01,12121000000.00
1996-12-01,12169000000.00
1997-01-01,12983000000.00
1997-02-01,13293000000.00
1997-03-01,13108000000.00
1997-04-01,13321000000.00
1997-05-01,13217000000.00
1997-06-01,12966000000.00
1997-07-01,13219000000.00
1997-08-01,13110000000.00
1997-09-01,12853000000.00
1997-10-01,12953000000.00
1997-11-01,13300000000.00
1997-12-01,13846000000.00
1998-01-01,14414000000.00
1998-02-01,14895000000.00
1998-03-01,14843000000.00
1998-04-01,14338000000.00
1998-05-01,14068000000.00
1998-06-01,13445000000.00
1998-07-01,12708000000.00
1998-08-01,12079000000.00
1998-09-01,11094000000.00
1998-10-01,10013000000.00
1998-11-01,10036000000.00
1998-12-01,10353000000.00
1999-01-01,10463000000.00
1999-02-01,11162000000.00
1999-03-01,11299000000.00
1999-04-01,11513000000.00
1999-05-01,11488000000.00
1999-06-01,11344000000.00
1999-07-01,11419000000.00
1999-08-01,11424000000.00
1999-09-01,11067000000.00
1999-10-01,10809000000.00
1999-11-01,11045000000.00
1999-12-01,11190000000.00
2000-01-01,11802000000.00
2000-02-01,12194000000.00
2000-03-01,12157000000.00
2000-04-01,11853000000.00
2000-05-01,11337000000.00
2000-06-01,10746000000.00
2000-07-01,10318000000.00
2000-08-01,9953000000.00
2000-09-01,9631000000.00
2000-10-01,9046000000.00
2000-11-01,8833000000.00
2000-12-01,8901000000.00
2001-01-01,9247000000.00
2001-02-01,9582000000.00
2001-03-01,9657000000.00
2001-04-01,9672000000.00
2001-05-01,9753000000.00
2001-06-01,10224000000.00
2001-07-01,10140000000.00
2001-08-01,9873000000.00
2001-09-01,9783000000.00
2001-10-01,9049000000.00
2001-11-01,8948000000.00
2001-12-01,9491000000.00
2002-01-01,9948000000.00
2002-02-01,10672000000.00
2002-03-01,10939000000.00
2002-04-01,11318000000.00
2002-05-01,11744000000.00
2002-06-01,11866000000.00
2002-07-01,11828000000.00
2002-08-01,11889000000.00
2002-09-01,11640000000.00
2002-10-01,11158000000.00
2002-11-01,10618000000.00
2002-12-01,10579000000.00
2003-01-01,10704000000.00
2003-02-01,11442000000.00
2003-03-01,10680000000.00
2003-04-01,10513000000.00
2003-05-01,10607000000.00
2003-06-01,10727000000.00
2003-07-01,10812000000.00
2003-08-01,11522000000.00
2003-09-01,11251000000.00
2003-10-01,12082000000.00
2003-11-01,13028000000.00
2003-12-01,13522000000.00
2004-01-01,14050000000.00
2004-02-01,15128000000.00
2004-03-01,16062000000.00
2004-04-01,16139000000.00
2004-05-01,16695000000.00
2004-06-01,16600000000.00
2004-07-01,17422000000.00
2004-08-01,18289000000.00
2004-09-01,17867000000.00
2004-10-01,16176000000.00
2004-11-01,16289000000.00
2004-12-01,16508000000.00
2005-01-01,16125000000.00
2005-02-01,16761000000.00
2005-03-01,16758000000.00
2005-04-01,15609000000.00
2005-05-01,14966000000.00
2005-06-01,14249000000.00
2005-07-01,14396000000.00
2005-08-01,15924000000.00
2005-09-01,16974000000.00
2005-10-01,18017000000.00
2005-11-01,19563000000.00
2005-12-01,20849000000.00
2006-01-01,21646000000.00
2006-02-01,22033000000.00
2006-03-01,22478000000.00
2006-04-01,23131000000.00
2006-05-01,23520000000.00
2006-06-01,23458000000.00
2006-07-01,23520000000.00
2006-08-01,23402000000.00
2006-09-01,22463000000.00
2006-10-01,21731000000.00
2006-11-01,21590000000.00
2006-12-01,21668000000.00
2007-01-01,22661000000.00
2007-02-01,23157000000.00
2007-03-01,23928000000.00
2007-04-01,25260000000.00
2007-05-01,25156000000.00
2007-06-01,23145000000.00
2007-07-01,22492000000.00
2007-08-01,22649000000.00
2007-09-01,22471000000.00
2007-10-01,22259000000.00
2007-11-01,23483000000.00
2007-12-01,24560000000.00
2008-01-01,26477000000.00
2008-02-01,27460000000.00
2008-03-01,29319000000.00
2008-04-01,30648000000.00
2008-05-01,30830000000.00
2008-06-01,30946000000.00
2008-07-01,32293000000.00
2008-08-01,30633000000.00
2008-09-01,26977000000.00
2008-10-01,22095000000.00
2008-11-01,19276000000.00
2008-12-01,17319000000.00
2009-01-01,16308000000.00
2009-02-01,15386000000.00
2009-03-01,13600000000.00
2009-04-01,12835000000.00
2009-05-01,12633000000.00
2009-06-01,13825000000.00
2009-07-01,14518000000.00
2009-08-01,15153000000.00
2009-09-01,14786000000.00
2009-10-01,14058000000.00
2009-11-01,13802000000.00
2009-12-01,13648000000.00
2010-01-01,15541000000.00
2010-02-01,16918000000.00
2010-03-01,17619000000.00
2010-04-01,18077000000.00
2010-05-01,18249000000.00
2010-06-01,17443000000.00
2010-07-01,18970000000.00
2010-08-01,19237000000.00
2010-09-01,18536000000.00
2010-10-01,17253000000.00
2010-11-01,19170000000.00
2010-12-01,20283000000.00
2011-01-01,22275000000.00
2011-02-01,21867000000.00
2011-03-01,22094000000.00
2011-04-01,21208000000.00
2011-05-01,20993000000.00
2011-06-01,18936000000.00
2011-07-01,19027000000.00
2011-08-01,19020000000.00
2011-09-01,18958000000.00
2011-10-01,18234000000.00
2011-11-01,19434000000.00
2011-12-01,20899000000.00
2012-01-01,21799000000.00
2012-02-01,21999000000.00
2012-03-01,21829000000.00
2012-04-01,21634000000.00
2012-05-01,19776000000.00
2012-06-01,19008000000.00
2012-07-01,18652000000.00
2012-08-01,17529000000.00
2012-09-01,16728000000.00
2012-10-01,16854000000.00
2012-11-01,16970000000.00
2012-12-01,17410000000.00
2013-01-01,17254000000.00
2013-02-01,18466000000.00
2013-03-01,18096000000.00
2013-04-01,18115000000.00
2013-05-01,17827000000.00
2013-06-01,17566000000.00
2013-07-01,17240000000.00
2013-08-01,16302000000.00
2013-09-01,15770000000.00
2013-10-01,15649000000.00
2013-11-01,16139000000.00
2013-12-01,15791000000.00
2014-01-01,16528000000.00
2014-02-01,16916000000.00
2014-03-01,17519000000.00
2014-04-01,17422000000.00
2014-05-01,17358000000.00
2014-06-01,17856000000.00
2014-07-01,17844000000.00
2014-08-01,17024000000.00
2014-09-01,16985000000.00
2014-10-01,16696000000.00
2014-11-01,16539000000.00
2014-12-01,16431000000.00
2015-01-01,16487000000.00
2015-02-01,16350000000.00
2015-03-01,15827000000.00
2015-04-01,15694000000.00
2015-05-01,15343000000.00
2015-06-01,15064000000.00
2015-07-01,14428000000.00
2015-08-01,13787000000.00
2015-09-01,12712000000.00
2015-10-01,12503000000.00
2015-11-01,12362000000.00
2015-12-01,12376000000.00
2016-01-01,12998000000.00
2016-02-01,13282000000.00
2016-03-01,13438000000.00
2016-04-01,13761000000.00
2016-05-01,13714000000.00
2016-06-01,13445000000.00
2016-07-01,13235000000.00
2016-08-01,12762000000.00
2016-09-01,12213000000.00
2016-10-01,12224000000.00
2016-11-01,12616000000.00
2016-12-01,12854000000.00
2017-01-01,13177000000.00
2017-02-01,13457000000.00
2017-03-01,13671000000.00
2017-04-01,13657000000.00
2017-05-01,13604000000.00
2017-06-01,13821000000.00
2017-07-01,13936000000.00
2017-08-01,13898000000.00
2017-09-01,13351000000.00
2017-10-01,13368000000.00
2017-11-01,13816000000.00
2017-12-01,14218000000.00
2018-01-01,14887000000.00
2018-02-01,15688000000.00
2018-03-01,16404000000.00
2018-04-01,16904000000.00
