Date,PAYNSA
1939-01-01,29296000.00
1939-02-01,29394000.00
1939-03-01,29804000.00
1939-04-01,29786000.00
1939-05-01,30145000.00
1939-06-01,30520000.00
1939-07-01,30472000.00
1939-08-01,30870000.00
1939-09-01,31608000.00
1939-10-01,31975000.00
1939-11-01,31837000.00
1939-12-01,32037000.00
1940-01-01,30966000.00
1940-02-01,30995000.00
1940-03-01,31328000.00
1940-04-01,31397000.00
1940-05-01,31738000.00
1940-06-01,32016000.00
1940-07-01,32019000.00
1940-08-01,32586000.00
1940-09-01,33379000.00
1940-10-01,33806000.00
1940-11-01,34000000.00
1940-12-01,34653000.00
1941-01-01,33833000.00
1941-02-01,34119000.00
1941-03-01,34592000.00
1941-04-01,35197000.00
1941-05-01,36062000.00
1941-06-01,36736000.00
1941-07-01,37262000.00
1941-08-01,37799000.00
1941-09-01,38354000.00
1941-10-01,38407000.00
1941-11-01,38293000.00
1941-12-01,38548000.00
1942-01-01,37706000.00
1942-02-01,37833000.00
1942-03-01,38488000.00
1942-04-01,39138000.00
1942-05-01,39686000.00
1942-06-01,40172000.00
1942-07-01,40625000.00
1942-08-01,41226000.00
1942-09-01,41663000.00
1942-10-01,41832000.00
1942-11-01,41863000.00
1942-12-01,42322000.00
1943-01-01,41578000.00
1943-02-01,41810000.00
1943-03-01,42216000.00
1943-04-01,42507000.00
1943-05-01,42542000.00
1943-06-01,42974000.00
1943-07-01,42868000.00
1943-08-01,42720000.00
1943-09-01,42753000.00
1943-10-01,42827000.00
1943-11-01,42945000.00
1943-12-01,43153000.00
1944-01-01,42135000.00
1944-02-01,42075000.00
1944-03-01,42076000.00
1944-04-01,41983000.00
1944-05-01,41951000.00
1944-06-01,42135000.00
1944-07-01,42023000.00
1944-08-01,41963000.00
1944-09-01,41855000.00
1944-10-01,41758000.00
1944-11-01,41800000.00
1944-12-01,42320000.00
1945-01-01,41444000.00
1945-02-01,41516000.00
1945-03-01,41653000.00
1945-04-01,41393000.00
1945-05-01,41249000.00
1945-06-01,41276000.00
1945-07-01,40909000.00
1945-08-01,40544000.00
1945-09-01,38680000.00
1945-10-01,38659000.00
1945-11-01,39110000.00
1945-12-01,39692000.00
1946-01-01,39413000.00
1946-02-01,38865000.00
1946-03-01,40033000.00
1946-04-01,40816000.00
1946-05-01,41211000.00
1946-06-01,41763000.00
1946-07-01,42082000.00
1946-08-01,42724000.00
1946-09-01,43176000.00
1946-10-01,43275000.00
1946-11-01,43612000.00
1946-12-01,44140000.00
1947-01-01,43108000.00
1947-02-01,43100000.00
1947-03-01,43349000.00
1947-04-01,43309000.00
1947-05-01,43392000.00
1947-06-01,43764000.00
1947-07-01,43604000.00
1947-08-01,44066000.00
1947-09-01,44591000.00
1947-10-01,44741000.00
1947-11-01,44807000.00
1947-12-01,45514000.00
1948-01-01,44224000.00
1948-02-01,43956000.00
1948-03-01,44291000.00
1948-04-01,44082000.00
1948-05-01,44471000.00
1948-06-01,44951000.00
1948-07-01,44989000.00
1948-08-01,45338000.00
1948-09-01,45796000.00
1948-10-01,45693000.00
1948-11-01,45588000.00
1948-12-01,46074000.00
1949-01-01,44159000.00
1949-02-01,43821000.00
1949-03-01,43747000.00
1949-04-01,43881000.00
1949-05-01,43636000.00
1949-06-01,43668000.00
1949-07-01,43352000.00
1949-08-01,43823000.00
1949-09-01,44335000.00
1949-10-01,43447000.00
1949-11-01,43653000.00
1949-12-01,44596000.00
1950-01-01,42976000.00
1950-02-01,42573000.00
1950-03-01,43410000.00
1950-04-01,44011000.00
1950-05-01,44377000.00
1950-06-01,45044000.00
1950-07-01,45272000.00
1950-08-01,46401000.00
1950-09-01,47005000.00
1950-10-01,47239000.00
1950-11-01,47207000.00
1950-12-01,47931000.00
1951-01-01,46686000.00
1951-02-01,46833000.00
1951-03-01,47312000.00
1951-04-01,47505000.00
1951-05-01,47624000.00
1951-06-01,48059000.00
1951-07-01,47888000.00
1951-08-01,48195000.00
1951-09-01,48486000.00
1951-10-01,48550000.00
1951-11-01,48621000.00
1951-12-01,49397000.00
1952-01-01,47659000.00
1952-02-01,47765000.00
1952-03-01,47931000.00
1952-04-01,48268000.00
1952-05-01,48319000.00
1952-06-01,48305000.00
1952-07-01,47977000.00
1952-08-01,49077000.00
1952-09-01,49829000.00
1952-10-01,50156000.00
1952-11-01,50346000.00
1952-12-01,51274000.00
1953-01-01,49470000.00
1953-02-01,49541000.00
1953-03-01,49878000.00
1953-04-01,50071000.00
1953-05-01,50182000.00
1953-06-01,50575000.00
1953-07-01,50390000.00
1953-08-01,50631000.00
1953-09-01,50867000.00
1953-10-01,50807000.00
1953-11-01,50472000.00
1953-12-01,50833000.00
1954-01-01,48766000.00
1954-02-01,48543000.00
1954-03-01,48519000.00
1954-04-01,48787000.00
1954-05-01,48679000.00
1954-06-01,48999000.00
1954-07-01,48704000.00
1954-08-01,48974000.00
1954-09-01,49391000.00
1954-10-01,49515000.00
1954-11-01,49765000.00
1954-12-01,50473000.00
1955-01-01,48764000.00
1955-02-01,48764000.00
1955-03-01,49269000.00
1955-04-01,49822000.00
1955-05-01,50254000.00
1955-06-01,50957000.00
1955-07-01,50868000.00
1955-08-01,51270000.00
1955-09-01,51791000.00
1955-10-01,52021000.00
1955-11-01,52193000.00
1955-12-01,52950000.00
1956-01-01,51249000.00
1956-02-01,51255000.00
1956-03-01,51531000.00
1956-04-01,51897000.00
1956-05-01,52245000.00
1956-06-01,52778000.00
1956-07-01,51847000.00
1956-08-01,52802000.00
1956-09-01,53165000.00
1956-10-01,53409000.00
1956-11-01,53435000.00
1956-12-01,54068000.00
1957-01-01,52168000.00
1957-02-01,52146000.00
1957-03-01,52336000.00
1957-04-01,52713000.00
1957-05-01,52896000.00
1957-06-01,53298000.00
1957-07-01,53041000.00
1957-08-01,53326000.00
1957-09-01,53536000.00
1957-10-01,53412000.00
1957-11-01,53161000.00
1957-12-01,53479000.00
1958-01-01,51353000.00
1958-02-01,50588000.00
1958-03-01,50418000.00
1958-04-01,50477000.00
1958-05-01,50703000.00
1958-06-01,51197000.00
1958-07-01,51013000.00
1958-08-01,51470000.00
1958-09-01,52141000.00
1958-10-01,52134000.00
1958-11-01,52511000.00
1958-12-01,53103000.00
1959-01-01,51721000.00
1959-02-01,51642000.00
1959-03-01,52087000.00
1959-04-01,52774000.00
1959-05-01,53384000.00
1959-06-01,54038000.00
1959-07-01,53843000.00
1959-08-01,53636000.00
1959-09-01,54082000.00
1959-10-01,53991000.00
1959-11-01,54168000.00
1959-12-01,55124000.00
1960-01-01,53448000.00
1960-02-01,53422000.00
1960-03-01,53494000.00
1960-04-01,54285000.00
1960-05-01,54349000.00
1960-06-01,54768000.00
1960-07-01,54412000.00
1960-08-01,54610000.00
1960-09-01,54906000.00
1960-10-01,54779000.00
1960-11-01,54478000.00
1960-12-01,54601000.00
1961-01-01,52780000.00
1961-02-01,52414000.00
1961-03-01,52694000.00
1961-04-01,53135000.00
1961-05-01,53690000.00
1961-06-01,54455000.00
1961-07-01,54288000.00
1961-08-01,54662000.00
1961-09-01,55074000.00
1961-10-01,55160000.00
1961-11-01,55243000.00
1961-12-01,55665000.00
1962-01-01,53922000.00
1962-02-01,54022000.00
1962-03-01,54297000.00
1962-04-01,55139000.00
1962-05-01,55559000.00
1962-06-01,56157000.00
1962-07-01,55946000.00
1962-08-01,56193000.00
1962-09-01,56667000.00
1962-10-01,56688000.00
1962-11-01,56540000.00
1962-12-01,56775000.00
1963-01-01,55108000.00
1963-02-01,55054000.00
1963-03-01,55356000.00
1963-04-01,56152000.00
1963-05-01,56572000.00
1963-06-01,57206000.00
1963-07-01,57013000.00
1963-08-01,57232000.00
1963-09-01,57735000.00
1963-10-01,57907000.00
1963-11-01,57721000.00
1963-12-01,58109000.00
