Date,CPALWE01USM661N
1955-07-01,12.62
1955-09-01,12.62
1955-10-01,12.62
1955-12-01,12.62
1956-01-01,12.62
1956-02-01,12.62
1956-03-01,12.62
1956-04-01,12.62
1956-06-01,12.76
1959-05-01,13.65
1960-01-01,13.79
1960-02-01,13.79
1960-03-01,13.79
1960-04-01,13.88
1960-05-01,13.88
1960-06-01,13.93
1960-07-01,13.93
1960-08-01,13.93
1960-09-01,13.93
1960-10-01,13.97
1960-11-01,14.02
1960-12-01,14.02
1961-01-01,14.02
1961-02-01,14.02
1961-03-01,14.02
1961-04-01,14.02
1961-05-01,14.02
1961-06-01,14.02
1961-07-01,14.07
1961-08-01,14.07
1961-09-01,14.11
1961-10-01,14.11
1961-11-01,14.11
1961-12-01,14.11
1962-01-01,14.11
1962-02-01,14.11
1962-03-01,14.16
1962-04-01,14.21
1962-05-01,14.21
1962-06-01,14.21
1962-07-01,14.21
1962-08-01,14.21
1962-09-01,14.30
1962-10-01,14.30
1962-11-01,14.30
1962-12-01,14.30
1963-01-01,14.30
1963-02-01,14.30
1963-03-01,14.35
1963-04-01,14.35
1963-05-01,14.35
1963-06-01,14.39
1963-07-01,14.44
1963-08-01,14.44
1963-09-01,14.44
1963-10-01,14.49
1963-11-01,14.49
1963-12-01,14.53
1964-01-01,14.53
1964-02-01,14.53
1964-03-01,14.53
1964-04-01,14.53
1964-05-01,14.53
1964-06-01,14.58
1964-07-01,14.63
1964-08-01,14.58
1964-09-01,14.63
1964-10-01,14.63
1964-11-01,14.68
1964-12-01,14.68
1965-01-01,14.68
1965-02-01,14.68
1965-03-01,14.72
1965-04-01,14.77
1965-05-01,14.77
1965-06-01,14.86
1965-07-01,14.86
1965-08-01,14.86
1965-09-01,14.86
1965-10-01,14.91
1965-11-01,14.91
1965-12-01,14.96
1966-01-01,14.96
1966-02-01,15.05
1966-03-01,15.10
1966-04-01,15.19
1966-05-01,15.19
1966-06-01,15.24
1966-07-01,15.28
1966-08-01,15.38
1966-09-01,15.38
1966-10-01,15.47
1966-11-01,15.47
1966-12-01,15.47
1967-01-01,15.47
1967-02-01,15.47
1967-03-01,15.52
1967-04-01,15.56
1967-05-01,15.61
1967-06-01,15.66
1967-07-01,15.70
1967-08-01,15.75
1967-09-01,15.80
1967-10-01,15.84
1967-11-01,15.89
1967-12-01,15.94
1968-01-01,15.98
1968-02-01,16.03
1968-03-01,16.12
1968-04-01,16.17
1968-05-01,16.22
1968-06-01,16.31
1968-07-01,16.40
1968-08-01,16.45
1968-09-01,16.50
1968-10-01,16.59
1968-11-01,16.64
1968-12-01,16.68
1969-01-01,16.73
1969-02-01,16.83
1969-03-01,16.97
1969-04-01,17.06
1969-05-01,17.11
1969-06-01,17.20
1969-07-01,17.29
1969-08-01,17.39
1969-09-01,17.43
1969-10-01,17.53
1969-11-01,17.62
1969-12-01,17.71
1970-01-01,17.76
1970-02-01,17.85
1970-03-01,17.95
1970-04-01,18.09
1970-05-01,18.13
1970-06-01,18.23
1970-07-01,18.32
1970-08-01,18.32
1970-09-01,18.41
1970-10-01,18.51
1970-11-01,18.60
1970-12-01,18.69
1971-01-01,18.69
1971-02-01,18.74
1971-03-01,18.79
1971-04-01,18.88
1971-05-01,18.97
1971-06-01,19.07
1971-07-01,19.12
1971-08-01,19.16
1971-09-01,19.16
1971-10-01,19.21
1971-11-01,19.26
1971-12-01,19.30
1972-01-01,19.35
1972-02-01,19.44
1972-03-01,19.44
1972-04-01,19.49
1972-05-01,19.58
1972-06-01,19.63
1972-07-01,19.68
1972-08-01,19.72
1972-09-01,19.82
1972-10-01,19.86
1972-11-01,19.91
1972-12-01,19.96
1973-01-01,20.05
1973-02-01,20.19
1973-03-01,20.38
1973-04-01,20.52
1973-05-01,20.61
1973-06-01,20.75
1973-07-01,20.80
1973-08-01,21.22
1973-09-01,21.26
1973-10-01,21.45
1973-11-01,21.59
1973-12-01,21.73
1974-01-01,21.92
1974-02-01,22.20
1974-03-01,22.43
1974-04-01,22.57
1974-05-01,22.81
1974-06-01,23.04
1974-07-01,23.23
1974-08-01,23.51
1974-09-01,23.79
1974-10-01,24.02
1974-11-01,24.21
1974-12-01,24.40
1975-01-01,24.49
1975-02-01,24.68
1975-03-01,24.77
1975-04-01,24.86
1975-05-01,25.00
1975-06-01,25.19
1975-07-01,25.47
1975-08-01,25.56
1975-09-01,25.66
1975-10-01,25.85
1975-11-01,25.99
1975-12-01,26.08
1976-01-01,26.17
1976-02-01,26.22
1976-03-01,26.27
1976-04-01,26.41
1976-05-01,26.55
1976-06-01,26.69
1976-07-01,26.83
1976-08-01,26.97
1976-09-01,27.06
1976-10-01,27.20
1976-11-01,27.25
1976-12-01,27.34
1977-01-01,27.53
1977-02-01,27.81
1977-03-01,27.95
1977-04-01,28.18
1977-05-01,28.32
1977-06-01,28.51
1977-07-01,28.65
1977-08-01,28.74
1977-09-01,28.88
1977-10-01,28.93
1977-11-01,29.07
1977-12-01,29.21
1978-01-01,29.35
1978-02-01,29.54
1978-03-01,29.77
1978-04-01,30.05
1978-05-01,30.33
1978-06-01,30.66
1978-07-01,30.85
1978-08-01,31.03
1978-09-01,31.22
1978-10-01,31.50
1978-11-01,31.64
1978-12-01,31.83
1979-01-01,32.11
1979-02-01,32.48
1979-03-01,32.86
1979-04-01,33.23
1979-05-01,33.60
1979-06-01,34.02
1979-07-01,34.44
1979-08-01,34.77
1979-09-01,35.10
1979-10-01,35.38
1979-11-01,35.71
1979-12-01,36.08
1980-01-01,36.59
1980-02-01,37.11
1980-03-01,37.62
1980-04-01,38.04
1980-05-01,38.46
1980-06-01,38.88
1980-07-01,38.93
