Date,RTWVDMA684NMFRBDAL
1988-01-01,100.00
1988-02-01,101.05
1988-03-01,99.48
1988-04-01,98.37
1988-05-01,98.66
1988-06-01,100.65
1988-07-01,103.80
1988-08-01,104.99
1988-09-01,105.29
1988-10-01,102.67
1988-11-01,99.65
1988-12-01,99.33
1989-01-01,101.68
1989-02-01,102.23
1989-03-01,103.68
1989-04-01,103.62
1989-05-01,106.59
1989-06-01,108.89
1989-07-01,105.97
1989-08-01,106.83
1989-09-01,107.84
1989-10-01,105.65
1989-11-01,105.51
1989-12-01,103.70
1990-01-01,103.03
1990-02-01,102.92
1990-03-01,104.63
1990-04-01,103.71
1990-05-01,102.40
1990-06-01,103.03
1990-07-01,101.03
1990-08-01,98.97
1990-09-01,98.68
1990-10-01,96.44
1990-11-01,95.72
1990-12-01,96.74
1991-01-01,96.37
1991-02-01,95.19
1991-03-01,99.32
1991-04-01,100.67
1991-05-01,101.12
1991-06-01,102.85
1991-07-01,102.62
1991-08-01,101.36
1991-09-01,99.98
1991-10-01,99.12
1991-11-01,97.35
1991-12-01,96.34
1992-01-01,96.46
1992-02-01,98.11
1992-03-01,100.14
1992-04-01,99.27
1992-05-01,98.30
1992-06-01,96.89
1992-07-01,94.78
1992-08-01,93.98
1992-09-01,94.90
1992-10-01,97.57
1992-11-01,101.47
1992-12-01,101.48
1993-01-01,102.67
1993-02-01,103.40
1993-03-01,102.79
1993-04-01,100.87
1993-05-01,100.89
1993-06-01,102.11
1993-07-01,103.54
1993-08-01,103.72
1993-09-01,102.65
1993-10-01,103.64
1993-11-01,104.74
1993-12-01,104.90
1994-01-01,105.51
1994-02-01,105.58
1994-03-01,105.44
1994-04-01,105.58
1994-05-01,104.53
1994-06-01,103.77
1994-07-01,102.28
1994-08-01,102.11
1994-09-01,100.90
1994-10-01,99.92
1994-11-01,100.54
1994-12-01,102.25
1995-01-01,102.38
1995-02-01,101.65
1995-03-01,99.65
1995-04-01,97.11
1995-05-01,97.28
1995-06-01,97.36
1995-07-01,97.02
1995-08-01,99.04
1995-09-01,99.85
1995-10-01,99.25
1995-11-01,99.67
1995-12-01,100.39
1996-01-01,101.54
1996-02-01,101.61
1996-03-01,101.85
1996-04-01,102.23
1996-05-01,102.71
1996-06-01,102.80
1996-07-01,102.67
1996-08-01,102.08
1996-09-01,102.69
1996-10-01,103.05
1996-11-01,102.19
1996-12-01,103.35
1997-01-01,104.72
1997-02-01,106.99
1997-03-01,108.06
1997-04-01,108.63
1997-05-01,107.28
1997-06-01,107.05
1997-07-01,108.19
1997-08-01,110.44
1997-09-01,110.42
1997-10-01,110.74
1997-11-01,111.99
1997-12-01,115.92
1998-01-01,118.52
1998-02-01,117.07
1998-03-01,116.69
1998-04-01,116.71
1998-05-01,117.16
1998-06-01,119.06
1998-07-01,119.82
1998-08-01,121.57
1998-09-01,118.36
1998-10-01,115.46
1998-11-01,115.90
1998-12-01,115.16
1999-01-01,115.32
1999-02-01,117.10
1999-03-01,119.13
1999-04-01,119.24
1999-05-01,118.96
1999-06-01,120.00
1999-07-01,120.75
1999-08-01,119.10
1999-09-01,118.65
1999-10-01,117.73
1999-11-01,118.92
1999-12-01,119.13
2000-01-01,118.96
2000-02-01,121.08
2000-03-01,122.43
2000-04-01,123.06
2000-05-01,126.23
2000-06-01,124.41
2000-07-01,125.26
2000-08-01,126.61
2000-09-01,128.81
2000-10-01,130.80
2000-11-01,131.66
2000-12-01,129.69
2001-01-01,129.42
2001-02-01,130.67
2001-03-01,132.92
2001-04-01,134.27
2001-05-01,134.73
2001-06-01,136.31
2001-07-01,136.34
2001-08-01,133.36
2001-09-01,133.37
2001-10-01,134.07
2001-11-01,135.26
2001-12-01,134.72
2002-01-01,136.28
2002-02-01,137.21
2002-03-01,136.65
2002-04-01,136.08
2002-05-01,133.26
2002-06-01,130.81
2002-07-01,128.25
2002-08-01,129.97
2002-09-01,130.42
2002-10-01,131.40
2002-11-01,129.68
2002-12-01,128.30
2003-01-01,125.95
2003-02-01,125.94
2003-03-01,126.01
2003-04-01,124.93
2003-05-01,120.31
2003-06-01,119.70
2003-07-01,121.47
2003-08-01,123.07
2003-09-01,121.80
2003-10-01,118.62
2003-11-01,118.09
2003-12-01,115.43
2004-01-01,113.66
2004-02-01,114.17
2004-03-01,116.30
2004-04-01,117.28
2004-05-01,119.12
2004-06-01,118.16
2004-07-01,116.84
2004-08-01,117.05
2004-09-01,116.66
2004-10-01,115.18
2004-11-01,111.83
2004-12-01,109.63
2005-01-01,110.93
2005-02-01,111.42
2005-03-01,110.88
2005-04-01,112.65
2005-05-01,113.41
2005-06-01,115.60
2005-07-01,116.82
2005-08-01,115.26
2005-09-01,116.28
2005-10-01,118.08
2005-11-01,118.67
2005-12-01,117.26
2006-01-01,116.01
2006-02-01,116.61
2006-03-01,116.86
2006-04-01,115.98
2006-05-01,112.96
2006-06-01,114.52
2006-07-01,114.60
2006-08-01,113.54
2006-09-01,113.50
2006-10-01,113.64
2006-11-01,112.06
2006-12-01,110.63
2007-01-01,112.20
2007-02-01,111.98
2007-03-01,111.94
2007-04-01,110.48
2007-05-01,110.21
2007-06-01,110.18
2007-07-01,108.20
2007-08-01,108.17
2007-09-01,106.73
2007-10-01,104.32
