Date,UCDGNO
1992-02-01,21474000000.00
1992-03-01,22230000000.00
1992-04-01,22649000000.00
1992-05-01,22808000000.00
1992-06-01,22105000000.00
1992-07-01,16158000000.00
1992-08-01,20582000000.00
1992-09-01,21461000000.00
1992-10-01,23889000000.00
1992-11-01,22069000000.00
1992-12-01,19620000000.00
1993-01-01,21735000000.00
1993-02-01,24466000000.00
1993-03-01,24615000000.00
1993-04-01,24355000000.00
1993-05-01,23858000000.00
1993-06-01,24231000000.00
1993-07-01,16163000000.00
1993-08-01,20967000000.00
1993-09-01,23217000000.00
1993-10-01,25574000000.00
1993-11-01,24287000000.00
1993-12-01,22163000000.00
1994-01-01,23665000000.00
1994-02-01,26894000000.00
1994-03-01,27485000000.00
1994-04-01,27167000000.00
1994-05-01,27781000000.00
1994-06-01,27937000000.00
1994-07-01,18242000000.00
1994-08-01,26840000000.00
1994-09-01,27935000000.00
1994-10-01,28342000000.00
1994-11-01,27944000000.00
1994-12-01,25185000000.00
1995-01-01,26128000000.00
1995-02-01,29330000000.00
1995-03-01,30271000000.00
1995-04-01,27804000000.00
1995-05-01,28166000000.00
1995-06-01,28233000000.00
1995-07-01,18552000000.00
1995-08-01,26761000000.00
1995-09-01,28509000000.00
1995-10-01,29446000000.00
1995-11-01,27075000000.00
1995-12-01,23871000000.00
1996-01-01,24795000000.00
1996-02-01,28657000000.00
1996-03-01,28026000000.00
1996-04-01,29316000000.00
1996-05-01,29629000000.00
1996-06-01,28642000000.00
1996-07-01,19779000000.00
1996-08-01,27383000000.00
1996-09-01,29930000000.00
1996-10-01,30529000000.00
1996-11-01,28172000000.00
1996-12-01,24126000000.00
1997-01-01,26726000000.00
1997-02-01,30791000000.00
1997-03-01,30889000000.00
1997-04-01,31231000000.00
1997-05-01,30359000000.00
1997-06-01,31506000000.00
1997-07-01,22823000000.00
1997-08-01,29970000000.00
1997-09-01,32828000000.00
1997-10-01,34422000000.00
1997-11-01,31463000000.00
1997-12-01,28679000000.00
1998-01-01,27157000000.00
1998-02-01,32754000000.00
1998-03-01,33748000000.00
1998-04-01,32030000000.00
1998-05-01,32561000000.00
1998-06-01,30801000000.00
1998-07-01,20497000000.00
1998-08-01,31280000000.00
1998-09-01,34090000000.00
1998-10-01,36126000000.00
1998-11-01,32692000000.00
1998-12-01,30564000000.00
1999-01-01,30887000000.00
1999-02-01,37161000000.00
1999-03-01,39212000000.00
1999-04-01,35437000000.00
1999-05-01,34967000000.00
1999-06-01,36973000000.00
1999-07-01,23718000000.00
1999-08-01,35330000000.00
1999-09-01,37144000000.00
1999-10-01,37787000000.00
1999-11-01,34055000000.00
1999-12-01,30764000000.00
2000-01-01,31974000000.00
2000-02-01,35588000000.00
2000-03-01,38071000000.00
2000-04-01,33506000000.00
2000-05-01,34835000000.00
2000-06-01,35361000000.00
2000-07-01,22699000000.00
2000-08-01,31337000000.00
2000-09-01,35196000000.00
2000-10-01,35098000000.00
2000-11-01,31792000000.00
2000-12-01,27284000000.00
2001-01-01,26642000000.00
2001-02-01,30134000000.00
2001-03-01,33803000000.00
2001-04-01,29243000000.00
2001-05-01,32905000000.00
2001-06-01,32213000000.00
2001-07-01,22511000000.00
2001-08-01,33024000000.00
2001-09-01,29892000000.00
2001-10-01,33073000000.00
2001-11-01,32016000000.00
2001-12-01,28772000000.00
2002-01-01,30174000000.00
2002-02-01,31235000000.00
2002-03-01,32796000000.00
2002-04-01,34177000000.00
2002-05-01,35677000000.00
2002-06-01,33717000000.00
2002-07-01,25461000000.00
2002-08-01,35219000000.00
2002-09-01,34762000000.00
2002-10-01,38359000000.00
2002-11-01,33686000000.00
2002-12-01,30221000000.00
2003-01-01,33121000000.00
2003-02-01,34192000000.00
2003-03-01,37513000000.00
2003-04-01,34026000000.00
2003-05-01,35694000000.00
2003-06-01,35978000000.00
2003-07-01,26856000000.00
2003-08-01,34273000000.00
2003-09-01,38674000000.00
2003-10-01,40668000000.00
2003-11-01,34966000000.00
2003-12-01,33560000000.00
2004-01-01,31722000000.00
2004-02-01,36089000000.00
2004-03-01,42574000000.00
2004-04-01,35025000000.00
2004-05-01,34589000000.00
2004-06-01,36897000000.00
2004-07-01,23742000000.00
2004-08-01,35106000000.00
2004-09-01,36913000000.00
2004-10-01,36352000000.00
2004-11-01,35847000000.00
2004-12-01,35056000000.00
2005-01-01,30468000000.00
2005-02-01,34511000000.00
2005-03-01,37455000000.00
2005-04-01,34316000000.00
2005-05-01,35680000000.00
2005-06-01,37536000000.00
2005-07-01,25508000000.00
2005-08-01,37594000000.00
2005-09-01,39933000000.00
2005-10-01,38566000000.00
2005-11-01,35430000000.00
2005-12-01,34460000000.00
2006-01-01,32554000000.00
2006-02-01,35468000000.00
2006-03-01,41195000000.00
2006-04-01,33285000000.00
2006-05-01,38504000000.00
2006-06-01,39565000000.00
2006-07-01,24696000000.00
2006-08-01,35830000000.00
2006-09-01,34740000000.00
2006-10-01,36231000000.00
2006-11-01,34291000000.00
2006-12-01,34635000000.00
2007-01-01,31168000000.00
2007-02-01,33632000000.00
2007-03-01,38555000000.00
2007-04-01,34713000000.00
2007-05-01,37854000000.00
2007-06-01,37904000000.00
2007-07-01,27714000000.00
2007-08-01,38664000000.00
2007-09-01,35372000000.00
2007-10-01,38619000000.00
2007-11-01,35008000000.00
2007-12-01,32322000000.00
2008-01-01,31220000000.00
2008-02-01,34516000000.00
2008-03-01,32838000000.00
2008-04-01,31286000000.00
2008-05-01,31235000000.00
2008-06-01,32052000000.00
2008-07-01,24170000000.00
2008-08-01,29312000000.00
2008-09-01,30584000000.00
2008-10-01,29711000000.00
2008-11-01,25149000000.00
2008-12-01,24190000000.00
2009-01-01,20325000000.00
2009-02-01,21405000000.00
2009-03-01,23873000000.00
2009-04-01,21795000000.00
2009-05-01,20769000000.00
2009-06-01,20641000000.00
2009-07-01,18329000000.00
2009-08-01,22848000000.00
2009-09-01,24164000000.00
2009-10-01,24943000000.00
2009-11-01,23858000000.00
2009-12-01,24666000000.00
2010-01-01,23381000000.00
2010-02-01,23577000000.00
2010-03-01,27670000000.00
2010-04-01,25667000000.00
2010-05-01,25805000000.00
2010-06-01,28276000000.00
2010-07-01,22847000000.00
2010-08-01,29195000000.00
2010-09-01,30777000000.00
2010-10-01,30006000000.00
2010-11-01,27471000000.00
2010-12-01,28412000000.00
2011-01-01,25374000000.00
2011-02-01,28639000000.00
2011-03-01,34593000000.00
2011-04-01,27618000000.00
2011-05-01,27774000000.00
2011-06-01,30297000000.00
2011-07-01,24091000000.00
2011-08-01,29509000000.00
2011-09-01,29322000000.00
2011-10-01,30893000000.00
2011-11-01,28630000000.00
2011-12-01,27764000000.00
2012-01-01,26740000000.00
2012-02-01,30845000000.00
2012-03-01,33617000000.00
2012-04-01,31737000000.00
2012-05-01,33314000000.00
2012-06-01,33550000000.00
2012-07-01,25915000000.00
2012-08-01,33149000000.00
2012-09-01,31790000000.00
2012-10-01,32851000000.00
2012-11-01,31219000000.00
2012-12-01,28957000000.00
2013-01-01,29484000000.00
2013-02-01,32874000000.00
2013-03-01,35264000000.00
2013-04-01,33648000000.00
2013-05-01,34644000000.00
2013-06-01,34059000000.00
2013-07-01,27546000000.00
2013-08-01,35101000000.00
2013-09-01,35079000000.00
2013-10-01,37843000000.00
2013-11-01,35817000000.00
2013-12-01,31744000000.00
2014-01-01,30503000000.00
2014-02-01,34930000000.00
2014-03-01,38507000000.00
2014-04-01,35635000000.00
2014-05-01,37625000000.00
2014-06-01,37148000000.00
2014-07-01,32534000000.00
2014-08-01,37211000000.00
2014-09-01,38834000000.00
2014-10-01,40727000000.00
2014-11-01,35204000000.00
2014-12-01,36818000000.00
2015-01-01,32003000000.00
2015-02-01,35256000000.00
2015-03-01,42400000000.00
2015-04-01,39018000000.00
2015-05-01,38283000000.00
2015-06-01,41027000000.00
2015-07-01,34222000000.00
2015-08-01,39576000000.00
2015-09-01,42276000000.00
2015-10-01,40875000000.00
2015-11-01,38480000000.00
2015-12-01,38135000000.00
2016-01-01,35091000000.00
2016-02-01,41443000000.00
2016-03-01,43973000000.00
2016-04-01,40092000000.00
2016-05-01,38516000000.00
2016-06-01,41602000000.00
2016-07-01,32564000000.00
2016-08-01,42224000000.00
2016-09-01,42817000000.00
2016-10-01,40827000000.00
2016-11-01,39114000000.00
2016-12-01,38743000000.00
2017-01-01,35729000000.00
2017-02-01,38749000000.00
2017-03-01,44149000000.00
2017-04-01,37846000000.00
2017-05-01,41026000000.00
2017-06-01,42072000000.00
2017-07-01,31446000000.00
2017-08-01,42506000000.00
2017-09-01,41380000000.00
2017-10-01,42026000000.00
2017-11-01,41049000000.00
2017-12-01,38026000000.00
2018-01-01,37382000000.00
2018-02-01,40960000000.00
2018-03-01,46316000000.00
2018-04-01,42931000000.00
