Date,LREM25TTUSM156N
1960-01-01,64.54
1960-02-01,64.87
1960-03-01,64.71
1960-04-01,66.03
1960-05-01,66.73
1960-06-01,66.45
1960-07-01,65.85
1960-08-01,65.76
1960-09-01,66.86
1960-10-01,66.59
1960-11-01,66.35
1960-12-01,65.09
1961-01-01,63.98
1961-02-01,63.91
1961-03-01,64.82
1961-04-01,65.33
1961-05-01,65.83
1961-06-01,65.91
1961-07-01,65.03
1961-08-01,64.94
1961-09-01,65.83
1961-10-01,66.63
1961-11-01,66.06
1961-12-01,65.31
1962-01-01,64.55
1962-02-01,65.04
1962-03-01,65.39
1962-04-01,65.85
1962-05-01,66.65
1962-06-01,66.20
1962-07-01,65.60
1962-08-01,65.93
1962-09-01,66.88
1962-10-01,67.24
1962-11-01,66.70
1962-12-01,65.95
1963-01-01,64.92
1963-02-01,65.20
1963-03-01,65.93
1963-04-01,66.63
1963-05-01,67.08
1963-06-01,66.77
1963-07-01,66.12
1963-08-01,65.97
1963-09-01,67.06
1963-10-01,67.64
1963-11-01,67.34
1963-12-01,66.66
1964-01-01,65.60
1964-02-01,66.07
1964-03-01,66.43
1964-04-01,67.26
1964-05-01,67.97
1964-06-01,67.31
1964-07-01,66.59
1964-08-01,66.58
1964-09-01,67.36
1964-10-01,67.74
1964-11-01,67.57
1964-12-01,67.11
1965-01-01,66.40
1965-02-01,66.53
1965-03-01,67.02
1965-04-01,67.57
1965-05-01,68.11
1965-06-01,68.04
1965-07-01,67.37
1965-08-01,67.36
1965-09-01,68.07
1965-10-01,68.65
1965-11-01,68.56
1965-12-01,68.22
1966-01-01,67.30
1966-02-01,67.57
1966-03-01,67.86
1966-04-01,68.42
1966-05-01,68.85
1966-06-01,68.36
1966-07-01,67.71
1966-08-01,67.84
1966-09-01,69.16
1966-10-01,69.64
1966-11-01,69.69
1966-12-01,69.21
1967-01-01,68.39
1967-02-01,68.46
1967-03-01,68.50
1967-04-01,68.98
1967-05-01,69.04
1967-06-01,68.51
1967-07-01,68.30
1967-08-01,68.43
1967-09-01,69.35
1967-10-01,69.90
1967-11-01,69.87
1967-12-01,69.93
1968-01-01,68.58
1968-02-01,69.04
1968-03-01,69.32
1968-04-01,69.54
1968-05-01,70.03
1968-06-01,69.49
1968-07-01,68.69
1968-08-01,68.61
1968-09-01,69.67
1968-10-01,70.06
1968-11-01,70.26
1968-12-01,70.23
1969-01-01,69.40
1969-02-01,69.81
1969-03-01,69.80
1969-04-01,69.88
1969-05-01,70.12
1969-06-01,69.62
1969-07-01,69.10
1969-08-01,69.28
1969-09-01,70.23
1969-10-01,70.83
1969-11-01,70.76
1969-12-01,70.80
1970-01-01,69.80
1970-02-01,69.74
1970-03-01,69.87
1970-04-01,70.18
1970-05-01,69.88
1970-06-01,69.38
1970-07-01,68.81
1970-08-01,68.68
1970-09-01,69.42
1970-10-01,70.01
1970-11-01,69.96
1970-12-01,69.53
1971-01-01,68.72
1971-02-01,68.86
1971-03-01,68.80
1971-04-01,68.98
1971-05-01,69.32
1971-06-01,68.79
1971-07-01,68.08
1971-08-01,68.16
1971-09-01,69.27
1971-10-01,69.77
1971-11-01,69.92
1971-12-01,69.58
1972-01-01,68.85
1972-02-01,69.11
1972-03-01,69.54
1972-04-01,69.56
1972-05-01,69.71
1972-06-01,69.13
1972-07-01,68.72
1972-08-01,68.83
1972-09-01,69.84
1972-10-01,70.27
1972-11-01,70.31
1972-12-01,70.35
1973-01-01,69.26
1973-02-01,69.75
1973-03-01,70.03
1973-04-01,70.37
1973-05-01,70.63
1973-06-01,70.19
1973-07-01,69.97
1973-08-01,69.83
1973-09-01,71.10
1973-10-01,71.82
1973-11-01,71.76
1973-12-01,71.39
1974-01-01,70.53
1974-02-01,70.57
1974-03-01,70.73
1974-04-01,70.71
1974-05-01,71.26
1974-06-01,70.72
1974-07-01,70.45
1974-08-01,70.34
1974-09-01,71.22
1974-10-01,71.60
1974-11-01,71.11
1974-12-01,70.42
1975-01-01,68.85
1975-02-01,68.61
1975-03-01,68.81
1975-04-01,69.04
1975-05-01,69.21
1975-06-01,68.80
1975-07-01,68.57
1975-08-01,69.05
1975-09-01,69.97
1975-10-01,70.68
1975-11-01,70.37
1975-12-01,70.09
1976-01-01,69.57
1976-02-01,69.69
1976-03-01,70.19
1976-04-01,70.66
1976-05-01,70.89
1976-06-01,70.36
1976-07-01,69.84
1976-08-01,70.22
1976-09-01,71.24
1976-10-01,71.70
1976-11-01,71.55
1976-12-01,71.35
1977-01-01,70.44
1977-02-01,70.69
1977-03-01,71.21
1977-04-01,71.68
1977-05-01,72.09
1977-06-01,71.56
1977-07-01,71.13
1977-08-01,71.32
1977-09-01,72.69
1977-10-01,73.08
1977-11-01,73.29
1977-12-01,73.25
1978-01-01,72.52
1978-02-01,72.83
1978-03-01,73.19
1978-04-01,73.58
1978-05-01,73.63
1978-06-01,73.25
1978-07-01,72.74
1978-08-01,72.75
1978-09-01,74.38
1978-10-01,74.92
1978-11-01,74.85
1978-12-01,74.62
1979-01-01,73.66
1979-02-01,74.01
1979-03-01,74.35
1979-04-01,74.28
1979-05-01,74.60
1979-06-01,74.13
1979-07-01,74.06
1979-08-01,74.07
1979-09-01,75.46
1979-10-01,75.68
1979-11-01,75.37
1979-12-01,75.57
1980-01-01,74.55
1980-02-01,74.65
1980-03-01,74.69
1980-04-01,74.55
1980-05-01,74.40
1980-06-01,73.67
1980-07-01,73.14
1980-08-01,73.27
1980-09-01,74.61
1980-10-01,74.88
1980-11-01,74.93
1980-12-01,74.68
1981-01-01,73.93
1981-02-01,74.24
1981-03-01,74.77
1981-04-01,75.14
1981-05-01,75.37
1981-06-01,74.53
1981-07-01,74.19
1981-08-01,74.25
1981-09-01,74.96
1981-10-01,75.27
1981-11-01,75.07
1981-12-01,74.29
1982-01-01,73.41
1982-02-01,73.69
1982-03-01,73.67
1982-04-01,73.68
1982-05-01,74.08
1982-06-01,73.43
1982-07-01,73.05
1982-08-01,73.18
1982-09-01,73.69
1982-10-01,73.78
1982-11-01,73.37
1982-12-01,72.98
1983-01-01,72.19
1983-02-01,72.23
1983-03-01,72.65
1983-04-01,73.13
1983-05-01,73.42
1983-06-01,73.37
1983-07-01,73.40
1983-08-01,73.85
1983-09-01,74.85
1983-10-01,75.15
1983-11-01,75.28
1983-12-01,75.03
1984-01-01,74.25
1984-02-01,74.72
1984-03-01,75.20
1984-04-01,75.53
1984-05-01,76.28
1984-06-01,76.02
1984-07-01,75.59
1984-08-01,75.87
1984-09-01,76.47
1984-10-01,76.85
1984-11-01,76.68
1984-12-01,76.45
1985-01-01,75.70
1985-02-01,75.98
1985-03-01,76.43
1985-04-01,76.55
1985-05-01,76.84
1985-06-01,76.35
1985-07-01,76.11
1985-08-01,76.38
1985-09-01,77.36
1985-10-01,77.67
1985-11-01,77.58
1985-12-01,77.33
1986-01-01,76.70
1986-02-01,76.36
1986-03-01,76.76
1986-04-01,77.03
1986-05-01,77.28
1986-06-01,77.12
1986-07-01,76.95
1986-08-01,77.18
1986-09-01,77.98
1986-10-01,78.30
1986-11-01,78.10
1986-12-01,78.04
1987-01-01,77.08
1987-02-01,77.40
1987-03-01,77.75
1987-04-01,78.22
1987-05-01,78.74
1987-06-01,78.28
1987-07-01,78.12
1987-08-01,78.22
1987-09-01,78.98
1987-10-01,79.34
1987-11-01,79.28
1987-12-01,79.01
1988-01-01,78.22
1988-02-01,78.37
1988-03-01,78.78
1988-04-01,79.20
1988-05-01,79.36
1988-06-01,78.93
1988-07-01,78.88
1988-08-01,78.91
1988-09-01,79.56
1988-10-01,80.05
1988-11-01,80.10
1988-12-01,79.80
1989-01-01,79.35
1989-02-01,79.41
1989-03-01,79.54
1989-04-01,79.75
1989-05-01,80.08
1989-06-01,79.82
1989-07-01,79.51
1989-08-01,79.62
1989-09-01,80.31
1989-10-01,80.61
1989-11-01,80.65
1989-12-01,80.31
1990-01-01,79.42
1990-02-01,79.54
1990-03-01,79.67
1990-04-01,79.83
1990-05-01,80.27
1990-06-01,79.92
1990-07-01,79.48
1990-08-01,79.37
1990-09-01,79.81
1990-10-01,80.09
1990-11-01,79.59
1990-12-01,79.10
