Date,CPIEDUNS
1993-01-01,84.30
1993-02-01,84.30
1993-03-01,84.40
1993-04-01,84.30
1993-05-01,84.50
1993-06-01,84.50
1993-07-01,84.80
1993-08-01,85.60
1993-09-01,87.00
1993-10-01,87.20
1993-11-01,87.30
1993-12-01,87.40
1994-01-01,87.50
1994-02-01,87.90
1994-03-01,87.80
1994-04-01,87.80
1994-05-01,87.90
1994-06-01,88.10
1994-07-01,88.20
1994-08-01,89.00
1994-09-01,90.20
1994-10-01,90.30
1994-11-01,90.30
1994-12-01,90.30
1995-01-01,91.30
1995-02-01,91.30
1995-03-01,91.20
1995-04-01,91.20
1995-05-01,91.10
1995-06-01,91.30
1995-07-01,91.50
1995-08-01,92.40
1995-09-01,93.70
1995-10-01,93.70
1995-11-01,93.70
1995-12-01,93.90
1996-01-01,94.10
1996-02-01,94.20
1996-03-01,94.40
1996-04-01,93.90
1996-05-01,94.40
1996-06-01,94.60
1996-07-01,94.70
1996-08-01,95.70
1996-09-01,96.80
1996-10-01,97.00
1996-11-01,97.00
1996-12-01,97.10
1997-01-01,97.40
1997-02-01,97.50
1997-03-01,97.50
1997-04-01,97.50
1997-05-01,97.60
1997-06-01,97.70
1997-07-01,97.90
1997-08-01,98.60
1997-09-01,99.70
1997-10-01,99.90
1997-11-01,100.00
1997-12-01,100.00
1998-01-01,99.90
1998-02-01,99.80
1998-03-01,99.90
1998-04-01,99.90
1998-05-01,100.10
1998-06-01,100.10
1998-07-01,100.00
1998-08-01,100.10
1998-09-01,100.90
1998-10-01,101.00
1998-11-01,101.00
1998-12-01,100.70
1999-01-01,100.90
1999-02-01,100.90
1999-03-01,100.80
1999-04-01,100.70
1999-05-01,100.40
1999-06-01,100.30
1999-07-01,100.40
1999-08-01,101.20
1999-09-01,101.90
1999-10-01,102.10
1999-11-01,102.20
1999-12-01,102.30
2000-01-01,102.70
2000-02-01,102.20
2000-03-01,102.00
2000-04-01,101.80
2000-05-01,101.80
2000-06-01,101.50
2000-07-01,102.00
2000-08-01,102.80
2000-09-01,102.90
2000-10-01,103.60
2000-11-01,103.20
2000-12-01,103.60
2001-01-01,103.90
2001-02-01,104.00
2001-03-01,104.30
2001-04-01,104.10
2001-05-01,104.00
2001-06-01,104.40
2001-07-01,104.80
2001-08-01,105.80
2001-09-01,106.60
2001-10-01,107.10
2001-11-01,107.00
2001-12-01,106.90
2002-01-01,107.20
2002-02-01,107.30
2002-03-01,106.60
2002-04-01,106.20
2002-05-01,106.60
2002-06-01,106.90
2002-07-01,107.60
2002-08-01,108.90
2002-09-01,109.50
2002-10-01,109.40
2002-11-01,109.30
2002-12-01,109.20
2003-01-01,109.70
2003-02-01,109.70
2003-03-01,109.40
2003-04-01,109.00
2003-05-01,108.60
2003-06-01,108.50
2003-07-01,108.90
2003-08-01,110.10
2003-09-01,110.90
2003-10-01,110.90
2003-11-01,110.80
2003-12-01,110.90
2004-01-01,111.10
2004-02-01,111.20
2004-03-01,111.10
2004-04-01,110.90
2004-05-01,110.60
2004-06-01,110.80
2004-07-01,110.90
2004-08-01,111.70
2004-09-01,112.90
2004-10-01,112.50
2004-11-01,112.70
2004-12-01,112.60
2005-01-01,112.70
2005-02-01,112.80
2005-03-01,112.70
2005-04-01,112.90
2005-05-01,112.70
2005-06-01,112.80
2005-07-01,112.90
2005-08-01,113.70
2005-09-01,115.30
2005-10-01,115.10
2005-11-01,115.30
2005-12-01,115.30
2006-01-01,115.70
2006-02-01,115.70
2006-03-01,115.60
2006-04-01,115.80
2006-05-01,115.70
2006-06-01,115.90
2006-07-01,116.30
2006-08-01,117.50
2006-09-01,118.40
2006-10-01,118.50
2006-11-01,118.10
2006-12-01,118.00
2007-01-01,117.82
2007-02-01,117.97
2007-03-01,118.23
2007-04-01,118.30
2007-05-01,118.79
2007-06-01,118.73
2007-07-01,119.03
2007-08-01,120.31
2007-09-01,121.27
2007-10-01,121.56
2007-11-01,121.41
2007-12-01,121.51
2008-01-01,121.76
2008-02-01,121.77
2008-03-01,121.83
2008-04-01,122.07
2008-05-01,122.35
2008-06-01,122.83
2008-07-01,123.45
2008-08-01,124.65
2008-09-01,125.51
2008-10-01,125.69
2008-11-01,125.76
2008-12-01,125.92
2009-01-01,126.15
2009-02-01,126.19
2009-03-01,126.19
2009-04-01,126.27
2009-05-01,126.47
2009-06-01,126.52
2009-07-01,126.91
2009-08-01,128.13
2009-09-01,129.04
2009-10-01,129.13
2009-11-01,128.85
2009-12-01,128.88
2010-01-01,129.07
2010-02-01,129.11
2010-03-01,129.24
2010-04-01,129.34
2010-05-01,129.27
2010-06-01,129.26
2010-07-01,129.59
2010-08-01,130.60
2010-09-01,131.15
2010-10-01,130.96
2010-11-01,130.89
2010-12-01,130.55
2011-01-01,130.67
2011-02-01,130.69
2011-03-01,130.68
2011-04-01,130.64
2011-05-01,130.60
2011-06-01,130.57
2011-07-01,130.86
2011-08-01,132.03
2011-09-01,132.63
2011-10-01,132.76
2011-11-01,132.75
2011-12-01,132.73
2012-01-01,133.07
2012-02-01,133.20
2012-03-01,133.24
2012-04-01,133.28
2012-05-01,133.47
2012-06-01,133.46
2012-07-01,133.55
2012-08-01,134.04
2012-09-01,134.64
2012-10-01,134.77
2012-11-01,134.74
2012-12-01,134.69
2013-01-01,135.23
2013-02-01,135.52
2013-03-01,135.63
2013-04-01,135.23
2013-05-01,135.20
2013-06-01,135.10
2013-07-01,135.33
2013-08-01,136.12
2013-09-01,136.72
2013-10-01,136.86
2013-11-01,136.84
2013-12-01,136.86
2014-01-01,137.01
2014-02-01,137.05
