Date,TTLCON
1993-01-01,31283000000.00
1993-02-01,30264000000.00
1993-03-01,33794000000.00
1993-04-01,37257000000.00
1993-05-01,40124000000.00
1993-06-01,43842000000.00
1993-07-01,44682000000.00
1993-08-01,46866000000.00
1993-09-01,47755000000.00
1993-10-01,45361000000.00
1993-11-01,44786000000.00
1993-12-01,39535000000.00
1994-01-01,34917000000.00
1994-02-01,33222000000.00
1994-03-01,38215000000.00
1994-04-01,41754000000.00
1994-05-01,45711000000.00
1994-06-01,49032000000.00
1994-07-01,49545000000.00
1994-08-01,51516000000.00
1994-09-01,51718000000.00
1994-10-01,49135000000.00
1994-11-01,46719000000.00
1994-12-01,40406000000.00
1995-01-01,37206000000.00
1995-02-01,35250000000.00
1995-03-01,40016000000.00
1995-04-01,42824000000.00
1995-05-01,46615000000.00
1995-06-01,49804000000.00
1995-07-01,50219000000.00
1995-08-01,52628000000.00
1995-09-01,53028000000.00
1995-10-01,51372000000.00
1995-11-01,48163000000.00
1995-12-01,41542000000.00
1996-01-01,39356000000.00
1996-02-01,37391000000.00
1996-03-01,42052000000.00
1996-04-01,46865000000.00
1996-05-01,51598000000.00
1996-06-01,54703000000.00
1996-07-01,55430000000.00
1996-08-01,57488000000.00
1996-09-01,58544000000.00
1996-10-01,57456000000.00
1996-11-01,53498000000.00
1996-12-01,45313000000.00
1997-01-01,41882000000.00
1997-02-01,40788000000.00
1997-03-01,45704000000.00
1997-04-01,48998000000.00
1997-05-01,53617000000.00
1997-06-01,56977000000.00
1997-07-01,58826000000.00
1997-08-01,60682000000.00
1997-09-01,61323000000.00
1997-10-01,60053000000.00
1997-11-01,54968000000.00
1997-12-01,48031000000.00
1998-01-01,44409000000.00
1998-02-01,43150000000.00
1998-03-01,49602000000.00
1998-04-01,54017000000.00
1998-05-01,57723000000.00
1998-06-01,64393000000.00
1998-07-01,64381000000.00
1998-08-01,66137000000.00
1998-09-01,66544000000.00
1998-10-01,64600000000.00
1998-11-01,60469000000.00
1998-12-01,53095000000.00
1999-01-01,48746000000.00
1999-02-01,48824000000.00
1999-03-01,55607000000.00
1999-04-01,58654000000.00
1999-05-01,62209000000.00
1999-06-01,67545000000.00
1999-07-01,68522000000.00
1999-08-01,69975000000.00
1999-09-01,70034000000.00
1999-10-01,68669000000.00
1999-11-01,66684000000.00
1999-12-01,59082000000.00
2000-01-01,53782000000.00
2000-02-01,53993000000.00
2000-03-01,61295000000.00
2000-04-01,64524000000.00
2000-05-01,69253000000.00
2000-06-01,72715000000.00
2000-07-01,71774000000.00
2000-08-01,76132000000.00
2000-09-01,75153000000.00
2000-10-01,73550000000.00
2000-11-01,69677000000.00
2000-12-01,60910000000.00
2001-01-01,56855000000.00
2001-02-01,55529000000.00
2001-03-01,62808000000.00
2001-04-01,67787000000.00
2001-05-01,72920000000.00
2001-06-01,78004000000.00
2001-07-01,78281000000.00
2001-08-01,79916000000.00
2001-09-01,76605000000.00
2001-10-01,76302000000.00
2001-11-01,71543000000.00
2001-12-01,63697000000.00
2002-01-01,59516000000.00
2002-02-01,58588000000.00
2002-03-01,63782000000.00
2002-04-01,69504000000.00
2002-05-01,73384000000.00
2002-06-01,77182000000.00
2002-07-01,78863000000.00
2002-08-01,79460000000.00
2002-09-01,76542000000.00
2002-10-01,75710000000.00
2002-11-01,71362000000.00
2002-12-01,63984000000.00
2003-01-01,59877000000.00
2003-02-01,58526000000.00
2003-03-01,64506000000.00
2003-04-01,69638000000.00
2003-05-01,74473000000.00
2003-06-01,80377000000.00
2003-07-01,82971000000.00
2003-08-01,85191000000.00
2003-09-01,83841000000.00
2003-10-01,83133000000.00
2003-11-01,77915000000.00
2003-12-01,71050000000.00
2004-01-01,64934000000.00
2004-02-01,64138000000.00
2004-03-01,73238000000.00
2004-04-01,78354000000.00
2004-05-01,83736000000.00
2004-06-01,89932000000.00
2004-07-01,93614000000.00
2004-08-01,96164000000.00
2004-09-01,92538000000.00
2004-10-01,90582000000.00
2004-11-01,86394000000.00
2004-12-01,77733000000.00
2005-01-01,72458000000.00
2005-02-01,73094000000.00
2005-03-01,81791000000.00
2005-04-01,88032000000.00
2005-05-01,93704000000.00
2005-06-01,100678000000.00
2005-07-01,103875000000.00
2005-08-01,107453000000.00
2005-09-01,104682000000.00
2005-10-01,104039000000.00
2005-11-01,98348000000.00
2005-12-01,88657000000.00
2006-01-01,82400000000.00
2006-02-01,82381000000.00
2006-03-01,92354000000.00
2006-04-01,97056000000.00
2006-05-01,101862000000.00
2006-06-01,106777000000.00
2006-07-01,107150000000.00
2006-08-01,108598000000.00
2006-09-01,103102000000.00
2006-10-01,100721000000.00
2006-11-01,93850000000.00
2006-12-01,85031000000.00
2007-01-01,79009000000.00
2007-02-01,78501000000.00
2007-03-01,87421000000.00
2007-04-01,93644000000.00
2007-05-01,99690000000.00
2007-06-01,105020000000.00
2007-07-01,106779000000.00
2007-08-01,109573000000.00
2007-09-01,104744000000.00
2007-10-01,104313000000.00
2007-11-01,94934000000.00
2007-12-01,84325000000.00
2008-01-01,78039000000.00
2008-02-01,77921000000.00
2008-03-01,83384000000.00
2008-04-01,89092000000.00
2008-05-01,93316000000.00
2008-06-01,97882000000.00
2008-07-01,100234000000.00
2008-08-01,100366000000.00
2008-09-01,97303000000.00
2008-10-01,96609000000.00
2008-11-01,86093000000.00
2008-12-01,77112000000.00
2009-01-01,67301000000.00
2009-02-01,67030000000.00
2009-03-01,71985000000.00
2009-04-01,75043000000.00
2009-05-01,76661000000.00
2009-06-01,82089000000.00
2009-07-01,83885000000.00
2009-08-01,84426000000.00
2009-09-01,82037000000.00
2009-10-01,79952000000.00
2009-11-01,71527000000.00
2009-12-01,64608000000.00
2010-01-01,55362000000.00
2010-02-01,54986000000.00
2010-03-01,60990000000.00
2010-04-01,66565000000.00
2010-05-01,68903000000.00
2010-06-01,74806000000.00
2010-07-01,73918000000.00
2010-08-01,76554000000.00
2010-09-01,75818000000.00
2010-10-01,73386000000.00
2010-11-01,67318000000.00
2010-12-01,60648000000.00
2011-01-01,50973000000.00
2011-02-01,51017000000.00
2011-03-01,57148000000.00
2011-04-01,61590000000.00
2011-05-01,65430000000.00
2011-06-01,72495000000.00
2011-07-01,72253000000.00
2011-08-01,76986000000.00
2011-09-01,75871000000.00
2011-10-01,73783000000.00
2011-11-01,68203000000.00
2011-12-01,62582000000.00
2012-01-01,56608000000.00
2012-02-01,56994000000.00
2012-03-01,61803000000.00
2012-04-01,67002000000.00
2012-05-01,72228000000.00
2012-06-01,77580000000.00
2012-07-01,78305000000.00
2012-08-01,81152000000.00
2012-09-01,79404000000.00
2012-10-01,80287000000.00
2012-11-01,73071000000.00
2012-12-01,66022000000.00
2013-01-01,58821000000.00
2013-02-01,58898000000.00
2013-03-01,64190000000.00
2013-04-01,70601000000.00
2013-05-01,75775000000.00
2013-06-01,80997000000.00
2013-07-01,84346000000.00
2013-08-01,86776000000.00
2013-09-01,85825000000.00
2013-10-01,86551000000.00
2013-11-01,79695000000.00
2013-12-01,73876000000.00
2014-01-01,67391000000.00
2014-02-01,66916000000.00
2014-03-01,73899000000.00
2014-04-01,80749000000.00
2014-05-01,85599000000.00
2014-06-01,90712000000.00
2014-07-01,92585000000.00
2014-08-01,93261000000.00
2014-09-01,93193000000.00
2014-10-01,94888000000.00
2014-11-01,86262000000.00
2014-12-01,80174000000.00
2015-01-01,72124000000.00
2015-02-01,72862000000.00
2015-03-01,81867000000.00
2015-04-01,89457000000.00
2015-05-01,95890000000.00
2015-06-01,104275000000.00
2015-07-01,105018000000.00
2015-08-01,105830000000.00
2015-09-01,104823000000.00
2015-10-01,102145000000.00
2015-11-01,93367000000.00
2015-12-01,85989000000.00
2016-01-01,77886000000.00
2016-02-01,80321000000.00
2016-03-01,89865000000.00
2016-04-01,94102000000.00
2016-05-01,100249000000.00
2016-06-01,108110000000.00
2016-07-01,109320000000.00
2016-08-01,110020000000.00
2016-09-01,109711000000.00
2016-10-01,109196000000.00
2016-11-01,103126000000.00
2016-12-01,93776000000.00
2017-01-01,83821000000.00
2017-02-01,85095000000.00
2017-03-01,95617000000.00
2017-04-01,98545000000.00
2017-05-01,106360000000.00
2017-06-01,112282000000.00
2017-07-01,111869000000.00
2017-08-01,113101000000.00
2017-09-01,112977000000.00
2017-10-01,111287000000.00
2017-11-01,105773000000.00
2017-12-01,97357000000.00
2018-01-01,89239000000.00
2018-02-01,91038000000.00
2018-03-01,99991000000.00
2018-04-01,106736000000.00
2018-05-01,95198166666.67
2018-06-01,93715705128.21
2018-06-29,92282658974.36
