Date,W006RC1Q027SBEA
1947-01-01,36924000000.00
1947-04-01,36372000000.00
1947-07-01,36336000000.00
1947-10-01,38852000000.00
1948-01-01,39088000000.00
1948-04-01,37832000000.00
1948-07-01,36912000000.00
1948-10-01,36740000000.00
1949-01-01,34632000000.00
1949-04-01,32716000000.00
1949-07-01,32508000000.00
1949-10-01,31520000000.00
1950-01-01,36052000000.00
1950-04-01,40224000000.00
1950-07-01,46316000000.00
1950-10-01,50692000000.00
1951-01-01,57860000000.00
1951-04-01,54904000000.00
1951-07-01,54284000000.00
1951-10-01,57916000000.00
1952-01-01,57760000000.00
1952-04-01,57956000000.00
1952-07-01,58376000000.00
1952-10-01,61352000000.00
1953-01-01,63036000000.00
1953-04-01,63308000000.00
1953-07-01,62356000000.00
1953-10-01,57264000000.00
1954-01-01,53544000000.00
1954-04-01,53652000000.00
1954-07-01,54272000000.00
1954-10-01,56236000000.00
1955-01-01,59440000000.00
1955-04-01,61252000000.00
1955-07-01,62760000000.00
1955-10-01,64432000000.00
1956-01-01,64292000000.00
1956-04-01,65568000000.00
1956-07-01,65372000000.00
1956-10-01,68080000000.00
1957-01-01,69008000000.00
1957-04-01,68456000000.00
1957-07-01,68356000000.00
1957-10-01,65772000000.00
1958-01-01,62224000000.00
1958-04-01,62204000000.00
1958-07-01,65280000000.00
1958-10-01,68864000000.00
1959-01-01,71336000000.00
1959-04-01,74828000000.00
1959-07-01,73160000000.00
1959-10-01,73656000000.00
1960-01-01,78124000000.00
1960-04-01,76764000000.00
1960-07-01,76132000000.00
1960-10-01,74788000000.00
1961-01-01,74520000000.00
1961-04-01,76328000000.00
1961-07-01,77992000000.00
1961-10-01,80992000000.00
1962-01-01,80896000000.00
1962-04-01,82124000000.00
1962-07-01,84460000000.00
1962-10-01,85620000000.00
1963-01-01,86284000000.00
1963-04-01,88348000000.00
1963-07-01,89244000000.00
1963-10-01,90484000000.00
1964-01-01,89068000000.00
1964-04-01,85212000000.00
1964-07-01,87568000000.00
1964-10-01,89084000000.00
1965-01-01,94564000000.00
1965-04-01,96100000000.00
1965-07-01,94240000000.00
1965-10-01,97496000000.00
1966-01-01,100152000000.00
1966-04-01,104552000000.00
1966-07-01,106012000000.00
1966-10-01,108112000000.00
1967-01-01,107656000000.00
1967-04-01,107428000000.00
1967-07-01,110248000000.00
1967-10-01,113964000000.00
1968-01-01,120500000000.00
1968-04-01,124336000000.00
1968-07-01,134700000000.00
1968-10-01,139188000000.00
1969-01-01,145780000000.00
1969-04-01,148024000000.00
1969-07-01,144724000000.00
1969-10-01,145352000000.00
1970-01-01,139140000000.00
1970-04-01,140368000000.00
1970-07-01,136380000000.00
1970-10-01,135808000000.00
1971-01-01,136688000000.00
1971-04-01,138124000000.00
1971-07-01,138640000000.00
1971-10-01,141020000000.00
1972-01-01,153860000000.00
1972-04-01,156280000000.00
1972-07-01,158284000000.00
1972-10-01,164568000000.00
1973-01-01,167436000000.00
1973-04-01,170628000000.00
1973-07-01,173268000000.00
1973-10-01,180740000000.00
1974-01-01,182184000000.00
1974-04-01,190048000000.00
1974-07-01,199644000000.00
1974-10-01,196408000000.00
1975-01-01,189424000000.00
1975-04-01,155924000000.00
1975-07-01,197800000000.00
1975-10-01,204200000000.00
1976-01-01,210159000000.00
1976-04-01,215555000000.00
1976-07-01,221339000000.00
1976-10-01,225995000000.00
1977-01-01,234816000000.00
1977-04-01,245872000000.00
1977-07-01,250332000000.00
1977-10-01,259292000000.00
1978-01-01,258928000000.00
1978-04-01,282060000000.00
1978-07-01,295708000000.00
1978-10-01,310628000000.00
1979-01-01,313295000000.00
1979-04-01,322303000000.00
1979-07-01,330783000000.00
1979-10-01,338183000000.00
1980-01-01,345997000000.00
1980-04-01,341449000000.00
1980-07-01,357557000000.00
1980-10-01,379797000000.00
1981-01-01,402119000000.00
1981-04-01,406643000000.00
1981-07-01,419239000000.00
1981-10-01,405247000000.00
1982-01-01,388629000000.00
1982-04-01,393405000000.00
1982-07-01,381929000000.00
1982-10-01,383921000000.00
1983-01-01,379954000000.00
1983-04-01,401942000000.00
1983-07-01,391610000000.00
1983-10-01,401346000000.00
1984-01-01,416448000000.00
1984-04-01,422936000000.00
1984-07-01,426120000000.00
1984-10-01,437436000000.00
1985-01-01,476710000000.00
1985-04-01,429574000000.00
1985-07-01,467346000000.00
1985-10-01,469206000000.00
1986-01-01,469533000000.00
1986-04-01,470269000000.00
1986-07-01,479397000000.00
1986-10-01,500153000000.00
1987-01-01,497528000000.00
1987-04-01,562988000000.00
1987-07-01,552560000000.00
1987-10-01,563543000000.00
1988-01-01,555608000000.00
1988-04-01,559325000000.00
1988-07-01,570456000000.00
1988-10-01,583299000000.00
1989-01-01,619393000000.00
1989-04-01,616629000000.00
1989-07-01,622908000000.00
1989-10-01,632230000000.00
1990-01-01,629758000000.00
1990-04-01,643548000000.00
1990-07-01,652821000000.00
1990-10-01,650557000000.00
