Date,LFWA25TTUSM647N
1960-01-01,65931000.00
1960-02-01,65952000.00
1960-03-01,65975000.00
1960-04-01,65974000.00
1960-05-01,65989000.00
1960-06-01,66017000.00
1960-07-01,66034000.00
1960-08-01,66069000.00
1960-09-01,66073000.00
1960-10-01,66091000.00
1960-11-01,66146000.00
1960-12-01,66194000.00
1961-01-01,66237000.00
1961-02-01,66243000.00
1961-03-01,66253000.00
1961-04-01,66274000.00
1961-05-01,66301000.00
1961-06-01,66328000.00
1961-07-01,66348000.00
1961-08-01,66362000.00
1961-09-01,66373000.00
1961-10-01,66380000.00
1961-11-01,66324000.00
1961-12-01,66316000.00
1962-01-01,66277000.00
1962-02-01,66272000.00
1962-03-01,66290000.00
1962-04-01,66023000.00
1962-05-01,66043000.00
1962-06-01,66069000.00
1962-07-01,66167000.00
1962-08-01,66204000.00
1962-09-01,66282000.00
1962-10-01,66318000.00
1962-11-01,66334000.00
1962-12-01,66349000.00
1963-01-01,66390000.00
1963-02-01,66405000.00
1963-03-01,66422000.00
1963-04-01,66437000.00
1963-05-01,66440000.00
1963-06-01,66461000.00
1963-07-01,66509000.00
1963-08-01,66551000.00
1963-09-01,66547000.00
1963-10-01,66572000.00
1963-11-01,66596000.00
1963-12-01,66613000.00
1964-01-01,66653000.00
1964-02-01,66666000.00
1964-03-01,66679000.00
1964-04-01,66702000.00
1964-05-01,66724000.00
1964-06-01,66749000.00
1964-07-01,66774000.00
1964-08-01,66789000.00
1964-09-01,66814000.00
1964-10-01,66838000.00
1964-11-01,66862000.00
1964-12-01,66885000.00
1965-01-01,66911000.00
1965-02-01,66929000.00
1965-03-01,66951000.00
1965-04-01,66977000.00
1965-05-01,66996000.00
1965-06-01,67021000.00
1965-07-01,66934000.00
1965-08-01,66975000.00
1965-09-01,67005000.00
1965-10-01,67013000.00
1965-11-01,67019000.00
1965-12-01,67024000.00
1966-01-01,67022000.00
1966-02-01,67029000.00
1966-03-01,67002000.00
1966-04-01,67037000.00
1966-05-01,67096000.00
1966-06-01,67098000.00
1966-07-01,67105000.00
1966-08-01,67129000.00
1966-09-01,67144000.00
1966-10-01,67162000.00
1966-11-01,67179000.00
1966-12-01,67212000.00
1967-01-01,67275000.00
1967-02-01,67318000.00
1967-03-01,67348000.00
1967-04-01,67357000.00
1967-05-01,67398000.00
1967-06-01,67475000.00
1967-07-01,67579000.00
1967-08-01,67788000.00
1967-09-01,67908000.00
1967-10-01,67973000.00
1967-11-01,68036000.00
1967-12-01,68102000.00
1968-01-01,68170000.00
1968-02-01,68232000.00
1968-03-01,68293000.00
1968-04-01,68356000.00
1968-05-01,68418000.00
1968-06-01,68473000.00
1968-07-01,68522000.00
1968-08-01,68557000.00
1968-09-01,68607000.00
