Date,CPILEGNS
1957-01-01,28.40
1957-02-01,28.50
1957-03-01,28.50
1957-04-01,28.60
1957-05-01,28.70
1957-06-01,28.90
1957-07-01,29.10
1957-08-01,29.10
1957-09-01,29.10
1957-10-01,29.10
1957-11-01,29.20
1957-12-01,29.20
1958-01-01,29.40
1958-02-01,29.50
1958-03-01,29.70
1958-04-01,29.70
1958-05-01,29.70
1958-06-01,29.80
1958-07-01,29.80
1958-08-01,29.70
1958-09-01,29.70
1958-10-01,29.70
1958-11-01,29.80
1958-12-01,29.80
1959-01-01,29.80
1959-02-01,29.70
1959-03-01,29.70
1959-04-01,29.80
1959-05-01,29.80
1959-06-01,30.00
1959-07-01,30.10
1959-08-01,30.00
1959-09-01,30.10
1959-10-01,30.20
1959-11-01,30.20
1959-12-01,30.20
1960-01-01,30.10
1960-02-01,30.20
1960-03-01,30.20
1960-04-01,30.40
1960-05-01,30.40
1960-06-01,30.40
1960-07-01,30.40
1960-08-01,30.40
1960-09-01,30.40
1960-10-01,30.60
1960-11-01,30.60
1960-12-01,30.60
1961-01-01,30.60
1961-02-01,30.60
1961-03-01,30.60
1961-04-01,30.70
1961-05-01,30.70
1961-06-01,30.70
1961-07-01,30.80
1961-08-01,30.80
1961-09-01,30.80
1961-10-01,30.80
1961-11-01,30.80
1961-12-01,30.80
1962-01-01,30.80
1962-02-01,30.90
1962-03-01,31.00
1962-04-01,31.10
1962-05-01,31.10
1962-06-01,31.10
1962-07-01,31.20
1962-08-01,31.20
1962-09-01,31.30
1962-10-01,31.30
1962-11-01,31.30
1962-12-01,31.20
1963-01-01,31.30
1963-02-01,31.30
1963-03-01,31.40
1963-04-01,31.40
1963-05-01,31.40
1963-06-01,31.50
1963-07-01,31.60
1963-08-01,31.60
1963-09-01,31.60
1963-10-01,31.70
1963-11-01,31.70
1963-12-01,31.80
1964-01-01,31.80
1964-02-01,31.80
1964-03-01,31.80
1964-04-01,31.90
1964-05-01,31.90
1964-06-01,31.90
1964-07-01,32.00
1964-08-01,32.00
1964-09-01,32.00
1964-10-01,32.10
1964-11-01,32.20
1964-12-01,32.20
1965-01-01,32.20
1965-02-01,32.20
1965-03-01,32.20
1965-04-01,32.30
1965-05-01,32.40
1965-06-01,32.60
1965-07-01,32.60
1965-08-01,32.50
1965-09-01,32.60
1965-10-01,32.60
1965-11-01,32.70
1965-12-01,32.80
1966-01-01,32.80
1966-02-01,33.00
1966-03-01,33.20
1966-04-01,33.30
1966-05-01,33.30
1966-06-01,33.40
1966-07-01,33.50
1966-08-01,33.70
1966-09-01,33.80
1966-10-01,33.90
1966-11-01,33.90
1966-12-01,33.90
1967-01-01,33.90
1967-02-01,34.00
1967-03-01,34.00
1967-04-01,34.10
1967-05-01,34.20
1967-06-01,34.30
1967-07-01,34.50
1967-08-01,34.60
1967-09-01,34.70
1967-10-01,34.80
1967-11-01,34.90
1967-12-01,35.00
1968-01-01,35.10
1968-02-01,35.30
1968-03-01,35.40
1968-04-01,35.60
1968-05-01,35.70
1968-06-01,35.90
1968-07-01,36.00
1968-08-01,36.10
1968-09-01,36.30
1968-10-01,36.50
1968-11-01,36.60
1968-12-01,36.70
1969-01-01,36.80
1969-02-01,37.00
1969-03-01,37.30
1969-04-01,37.50
1969-05-01,37.70
1969-06-01,37.90
1969-07-01,38.10
1969-08-01,38.30
1969-09-01,38.50
1969-10-01,38.60
1969-11-01,38.80
1969-12-01,39.10
1970-01-01,39.20
1970-02-01,39.40
1970-03-01,39.70
1970-04-01,39.90
1970-05-01,40.10
1970-06-01,40.30
1970-07-01,40.40
1970-08-01,40.50
1970-09-01,40.70
1970-10-01,40.90
1970-11-01,41.00
1970-12-01,41.20
1971-01-01,41.20
1971-02-01,41.30
1971-03-01,41.50
1971-04-01,41.70
1971-05-01,41.90
1971-06-01,42.10
1971-07-01,42.20
1971-08-01,42.30
1971-09-01,42.30
1971-10-01,42.40
1971-11-01,42.50
1971-12-01,42.60
1972-01-01,42.70
1972-02-01,42.90
1972-03-01,43.00
1972-04-01,43.10
1972-05-01,43.20
1972-06-01,43.30
1972-07-01,43.50
1972-08-01,43.70
1972-09-01,43.70
1972-10-01,43.90
1972-11-01,44.00
1972-12-01,44.10
1973-01-01,44.20
1973-02-01,44.50
1973-03-01,45.00
1973-04-01,45.30
1973-05-01,45.50
1973-06-01,45.80
1973-07-01,45.90
1973-08-01,46.80
1973-09-01,47.00
1973-10-01,47.30
1973-11-01,47.50
1973-12-01,47.70
1974-01-01,48.00
1974-02-01,48.50
1974-03-01,49.00
1974-04-01,49.20
1974-05-01,49.70
1974-06-01,50.20
1974-07-01,50.60
1974-08-01,51.30
1974-09-01,51.90
1974-10-01,52.40
1974-11-01,52.90
1974-12-01,53.30
1975-01-01,53.50
1975-02-01,53.90
1975-03-01,54.10
1975-04-01,54.30
1975-05-01,54.50
1975-06-01,54.90
1975-07-01,55.50
1975-08-01,55.60
1975-09-01,55.90
1975-10-01,56.20
1975-11-01,56.60
1975-12-01,56.80
1976-01-01,57.00
1976-02-01,57.10
1976-03-01,57.30
1976-04-01,57.50
1976-05-01,57.90
1976-06-01,58.10
1976-07-01,58.50
1976-08-01,58.70
1976-09-01,59.00
1976-10-01,59.20
1976-11-01,59.30
1976-12-01,59.50
1977-01-01,59.80
1977-02-01,60.40
1977-03-01,60.80
1977-04-01,61.20
1977-05-01,61.60
1977-06-01,62.00
1977-07-01,62.20
1977-08-01,62.50
1977-09-01,62.70
1977-10-01,62.90
1977-11-01,63.20
1977-12-01,63.50
1978-01-01,63.90
1978-02-01,64.30
1978-03-01,64.80
1978-04-01,65.40
1978-05-01,66.00
1978-06-01,66.60
1978-07-01,67.10
1978-08-01,67.50
1978-09-01,68.00
1978-10-01,68.60
1978-11-01,69.00
1978-12-01,69.30
1979-01-01,69.80
1979-02-01,70.60
1979-03-01,71.20
1979-04-01,71.90
1979-05-01,72.50
1979-06-01,73.00
1979-07-01,73.60
1979-08-01,74.20
1979-09-01,74.80
1979-10-01,75.50
1979-11-01,76.20
1979-12-01,77.00
1980-01-01,77.80
1980-02-01,78.50
1980-03-01,79.50
1980-04-01,80.30
