Date,CNP16OV
1948-01-01,102603000.00
1948-02-01,102698000.00
1948-03-01,102771000.00
1948-04-01,102831000.00
1948-05-01,102923000.00
1948-06-01,102992000.00
1948-07-01,103216000.00
1948-08-01,103240000.00
1948-09-01,103291000.00
1948-10-01,103361000.00
1948-11-01,103424000.00
1948-12-01,103468000.00
1949-01-01,103529000.00
1949-02-01,103559000.00
1949-03-01,103665000.00
1949-04-01,103739000.00
1949-05-01,103845000.00
1949-06-01,103930000.00
1949-07-01,104042000.00
1949-08-01,104121000.00
1949-09-01,104219000.00
1949-10-01,104338000.00
1949-11-01,104421000.00
1949-12-01,104524000.00
1950-01-01,104619000.00
1950-02-01,104737000.00
1950-03-01,104844000.00
1950-04-01,104943000.00
1950-05-01,105014000.00
1950-06-01,105104000.00
1950-07-01,105194000.00
1950-08-01,105282000.00
1950-09-01,105269000.00
1950-10-01,105096000.00
1950-11-01,104979000.00
1950-12-01,104872000.00
1951-01-01,104844000.00
1951-02-01,104604000.00
1951-03-01,104629000.00
1951-04-01,104541000.00
1951-05-01,104491000.00
1951-06-01,104488000.00
1951-07-01,104504000.00
1951-08-01,104536000.00
1951-09-01,104588000.00
1951-10-01,104690000.00
1951-11-01,104740000.00
1951-12-01,104810000.00
1952-01-01,104862000.00
1952-02-01,104868000.00
1952-03-01,104860000.00
1952-04-01,104906000.00
1952-05-01,104996000.00
1952-06-01,105118000.00
1952-07-01,105246000.00
1952-08-01,105346000.00
1952-09-01,105436000.00
1952-10-01,105591000.00
1952-11-01,105706000.00
1952-12-01,105812000.00
1953-01-01,106594000.00
1953-02-01,106678000.00
1953-03-01,106744000.00
1953-04-01,106826000.00
1953-05-01,106910000.00
1953-06-01,106978000.00
1953-07-01,107034000.00
1953-08-01,107132000.00
1953-09-01,107253000.00
1953-10-01,107383000.00
1953-11-01,107504000.00
1953-12-01,107623000.00
1954-01-01,107763000.00
1954-02-01,107880000.00
1954-03-01,107987000.00
1954-04-01,108080000.00
1954-05-01,108184000.00
1954-06-01,108267000.00
1954-07-01,108344000.00
1954-08-01,108440000.00
1954-09-01,108546000.00
1954-10-01,108668000.00
1954-11-01,108798000.00
1954-12-01,108892000.00
1955-01-01,109059000.00
1955-02-01,109078000.00
1955-03-01,109254000.00
1955-04-01,109377000.00
1955-05-01,109544000.00
1955-06-01,109680000.00
1955-07-01,109792000.00
1955-08-01,109882000.00
1955-09-01,109977000.00
1955-10-01,110085000.00
1955-11-01,110177000.00
1955-12-01,110296000.00
1956-01-01,110390000.00
1956-02-01,110478000.00
1956-03-01,110582000.00
1956-04-01,110650000.00
1956-05-01,110810000.00
1956-06-01,110903000.00
1956-07-01,111019000.00
1956-08-01,111099000.00
1956-09-01,111222000.00
1956-10-01,111335000.00
1956-11-01,111432000.00
1956-12-01,111526000.00
1957-01-01,111626000.00
1957-02-01,111711000.00
1957-03-01,111824000.00
1957-04-01,111933000.00
1957-05-01,112031000.00
1957-06-01,112172000.00
1957-07-01,112317000.00
1957-08-01,112421000.00
1957-09-01,112554000.00
1957-10-01,112710000.00
1957-11-01,112874000.00
1957-12-01,113013000.00
1958-01-01,113138000.00
1958-02-01,113234000.00
1958-03-01,113337000.00
1958-04-01,113415000.00
1958-05-01,113534000.00
1958-06-01,113647000.00
1958-07-01,113727000.00
1958-08-01,113835000.00
1958-09-01,113977000.00
1958-10-01,114138000.00
1958-11-01,114283000.00
1958-12-01,114429000.00
1959-01-01,114582000.00
1959-02-01,114712000.00
1959-03-01,114849000.00
1959-04-01,114986000.00
1959-05-01,115144000.00
1959-06-01,115287000.00
1959-07-01,115429000.00
1959-08-01,115555000.00
1959-09-01,115668000.00
1959-10-01,115798000.00
1959-11-01,115916000.00
1959-12-01,116040000.00
1960-01-01,116594000.00
1960-02-01,116702000.00
1960-03-01,116827000.00
1960-04-01,116910000.00
1960-05-01,117033000.00
1960-06-01,117167000.00
1960-07-01,117281000.00
1960-08-01,117431000.00
1960-09-01,117521000.00
