Date,UCMSNO
1992-02-01,21819000000.00
1992-03-01,22965000000.00
1992-04-01,23448000000.00
1992-05-01,24023000000.00
1992-06-01,25776000000.00
1992-07-01,22949000000.00
1992-08-01,24124000000.00
1992-09-01,24992000000.00
1992-10-01,24818000000.00
1992-11-01,22584000000.00
1992-12-01,21737000000.00
1993-01-01,21953000000.00
1993-02-01,24418000000.00
1993-03-01,25537000000.00
1993-04-01,25241000000.00
1993-05-01,25152000000.00
1993-06-01,27001000000.00
1993-07-01,23871000000.00
1993-08-01,26199000000.00
1993-09-01,27291000000.00
1993-10-01,27247000000.00
1993-11-01,25610000000.00
1993-12-01,24744000000.00
1994-01-01,24297000000.00
1994-02-01,26296000000.00
1994-03-01,28241000000.00
1994-04-01,27661000000.00
1994-05-01,28518000000.00
1994-06-01,30566000000.00
1994-07-01,26703000000.00
1994-08-01,29507000000.00
1994-09-01,29666000000.00
1994-10-01,29713000000.00
1994-11-01,28358000000.00
1994-12-01,26436000000.00
1995-01-01,27436000000.00
1995-02-01,29268000000.00
1995-03-01,30120000000.00
1995-04-01,28858000000.00
1995-05-01,30418000000.00
1995-06-01,31283000000.00
1995-07-01,27834000000.00
1995-08-01,31245000000.00
1995-09-01,31343000000.00
1995-10-01,31299000000.00
1995-11-01,29216000000.00
1995-12-01,26841000000.00
1996-01-01,27400000000.00
1996-02-01,28540000000.00
1996-03-01,30152000000.00
1996-04-01,30923000000.00
1996-05-01,32123000000.00
1996-06-01,33895000000.00
1996-07-01,30937000000.00
1996-08-01,33461000000.00
1996-09-01,33625000000.00
1996-10-01,33608000000.00
1996-11-01,30866000000.00
1996-12-01,28006000000.00
1997-01-01,29205000000.00
1997-02-01,32125000000.00
1997-03-01,32827000000.00
1997-04-01,34924000000.00
1997-05-01,34512000000.00
1997-06-01,36640000000.00
1997-07-01,33463000000.00
1997-08-01,34721000000.00
1997-09-01,36232000000.00
1997-10-01,36021000000.00
1997-11-01,32513000000.00
1997-12-01,30677000000.00
1998-01-01,31312000000.00
1998-02-01,34230000000.00
1998-03-01,35535000000.00
1998-04-01,35813000000.00
1998-05-01,35542000000.00
1998-06-01,38247000000.00
1998-07-01,34686000000.00
1998-08-01,35865000000.00
1998-09-01,36416000000.00
1998-10-01,35565000000.00
1998-11-01,34361000000.00
1998-12-01,31758000000.00
1999-01-01,31040000000.00
1999-02-01,34681000000.00
1999-03-01,36903000000.00
1999-04-01,36649000000.00
1999-05-01,36937000000.00
1999-06-01,39612000000.00
1999-07-01,36162000000.00
1999-08-01,38254000000.00
1999-09-01,37885000000.00
1999-10-01,37108000000.00
1999-11-01,35831000000.00
1999-12-01,33972000000.00
2000-01-01,34204000000.00
2000-02-01,36377000000.00
2000-03-01,39650000000.00
2000-04-01,37944000000.00
2000-05-01,39389000000.00
2000-06-01,40884000000.00
2000-07-01,36320000000.00
2000-08-01,39161000000.00
2000-09-01,38270000000.00
2000-10-01,38087000000.00
2000-11-01,34538000000.00
2000-12-01,31968000000.00
2001-01-01,31969000000.00
2001-02-01,33379000000.00
2001-03-01,36486000000.00
2001-04-01,35009000000.00
2001-05-01,39715000000.00
2001-06-01,38644000000.00
2001-07-01,35607000000.00
2001-08-01,38126000000.00
2001-09-01,34185000000.00
2001-10-01,35575000000.00
2001-11-01,32269000000.00
2001-12-01,29853000000.00
2002-01-01,31340000000.00
2002-02-01,32571000000.00
2002-03-01,35028000000.00
2002-04-01,36242000000.00
2002-05-01,38493000000.00
2002-06-01,37626000000.00
2002-07-01,36791000000.00
2002-08-01,37662000000.00
2002-09-01,36653000000.00
2002-10-01,37327000000.00
2002-11-01,33290000000.00
2002-12-01,30538000000.00
2003-01-01,31083000000.00
2003-02-01,34514000000.00
2003-03-01,35844000000.00
2003-04-01,35023000000.00
2003-05-01,36813000000.00
2003-06-01,37875000000.00
2003-07-01,36787000000.00
2003-08-01,37672000000.00
2003-09-01,38811000000.00
2003-10-01,39774000000.00
2003-11-01,34397000000.00
2003-12-01,32976000000.00
2004-01-01,32779000000.00
2004-02-01,34561000000.00
2004-03-01,41425000000.00
2004-04-01,41122000000.00
2004-05-01,40312000000.00
2004-06-01,41303000000.00
2004-07-01,38125000000.00
2004-08-01,42700000000.00
2004-09-01,40378000000.00
2004-10-01,40903000000.00
2004-11-01,38166000000.00
2004-12-01,36972000000.00
2005-01-01,35913000000.00
2005-02-01,38261000000.00
2005-03-01,43521000000.00
2005-04-01,42673000000.00
2005-05-01,44911000000.00
2005-06-01,46374000000.00
2005-07-01,41178000000.00
2005-08-01,46523000000.00
2005-09-01,47037000000.00
2005-10-01,46006000000.00
2005-11-01,43397000000.00
2005-12-01,41003000000.00
2006-01-01,41191000000.00
