Date,UTCGTI
1992-01-01,122827000000.00
1992-02-01,123299000000.00
1992-03-01,121946000000.00
1992-04-01,123238000000.00
1992-05-01,123102000000.00
1992-06-01,120474000000.00
1992-07-01,121229000000.00
1992-08-01,123020000000.00
1992-09-01,120745000000.00
1992-10-01,120936000000.00
1992-11-01,120847000000.00
1992-12-01,116720000000.00
1993-01-01,117592000000.00
1993-02-01,119627000000.00
1993-03-01,118997000000.00
1993-04-01,120881000000.00
1993-05-01,122174000000.00
1993-06-01,120293000000.00
1993-07-01,120506000000.00
1993-08-01,120613000000.00
1993-09-01,120344000000.00
1993-10-01,120410000000.00
1993-11-01,120432000000.00
1993-12-01,114645000000.00
1994-01-01,117845000000.00
1994-02-01,119638000000.00
1994-03-01,119462000000.00
1994-04-01,121289000000.00
1994-05-01,123236000000.00
1994-06-01,121704000000.00
1994-07-01,123760000000.00
1994-08-01,125531000000.00
1994-09-01,122899000000.00
1994-10-01,123972000000.00
1994-11-01,124430000000.00
1994-12-01,119285000000.00
1995-01-01,121976000000.00
1995-02-01,124088000000.00
1995-03-01,123633000000.00
1995-04-01,125123000000.00
1995-05-01,127381000000.00
1995-06-01,125278000000.00
1995-07-01,127598000000.00
1995-08-01,129006000000.00
1995-09-01,128117000000.00
1995-10-01,129979000000.00
1995-11-01,130226000000.00
1995-12-01,125244000000.00
1996-01-01,129087000000.00
1996-02-01,131435000000.00
1996-03-01,129732000000.00
1996-04-01,131963000000.00
1996-05-01,133519000000.00
1996-06-01,131107000000.00
1996-07-01,133142000000.00
1996-08-01,134587000000.00
1996-09-01,132356000000.00
1996-10-01,134038000000.00
1996-11-01,135243000000.00
1996-12-01,128240000000.00
1997-01-01,132692000000.00
1997-02-01,135163000000.00
1997-03-01,132362000000.00
1997-04-01,135710000000.00
1997-05-01,137418000000.00
1997-06-01,135024000000.00
1997-07-01,138034000000.00
1997-08-01,139685000000.00
1997-09-01,136550000000.00
1997-10-01,139350000000.00
1997-11-01,139687000000.00
1997-12-01,132746000000.00
1998-01-01,138187000000.00
1998-02-01,141304000000.00
1998-03-01,139673000000.00
1998-04-01,144025000000.00
1998-05-01,146075000000.00
1998-06-01,143839000000.00
1998-07-01,146786000000.00
1998-08-01,149496000000.00
1998-09-01,146436000000.00
1998-10-01,149345000000.00
1998-11-01,148684000000.00
1998-12-01,140190000000.00
1999-01-01,142304000000.00
1999-02-01,145694000000.00
1999-03-01,144505000000.00
