Date,U33HUO
1992-01-01,3689000000.00
1992-02-01,3782000000.00
1992-03-01,3672000000.00
1992-04-01,3712000000.00
1992-05-01,3591000000.00
1992-06-01,3569000000.00
1992-07-01,3329000000.00
1992-08-01,3175000000.00
1992-09-01,3106000000.00
1992-10-01,2967000000.00
1992-11-01,3017000000.00
1992-12-01,3178000000.00
1993-01-01,3656000000.00
1993-02-01,3820000000.00
1993-03-01,3760000000.00
1993-04-01,3696000000.00
1993-05-01,3439000000.00
1993-06-01,3313000000.00
1993-07-01,3257000000.00
1993-08-01,3276000000.00
1993-09-01,3310000000.00
1993-10-01,3383000000.00
1993-11-01,3618000000.00
1993-12-01,4024000000.00
1994-01-01,4329000000.00
1994-02-01,4602000000.00
1994-03-01,4714000000.00
1994-04-01,4686000000.00
1994-05-01,4597000000.00
1994-06-01,4689000000.00
1994-07-01,4697000000.00
1994-08-01,4635000000.00
1994-09-01,4556000000.00
1994-10-01,4550000000.00
1994-11-01,4656000000.00
1994-12-01,4941000000.00
1995-01-01,5177000000.00
1995-02-01,5119000000.00
1995-03-01,5159000000.00
1995-04-01,5092000000.00
1995-05-01,5194000000.00
1995-06-01,5194000000.00
1995-07-01,5110000000.00
1995-08-01,5125000000.00
1995-09-01,5107000000.00
1995-10-01,4904000000.00
1995-11-01,5265000000.00
1995-12-01,5351000000.00
1996-01-01,5735000000.00
1996-02-01,5687000000.00
1996-03-01,5597000000.00
1996-04-01,5571000000.00
1996-05-01,5433000000.00
1996-06-01,5450000000.00
1996-07-01,5311000000.00
1996-08-01,5238000000.00
1996-09-01,5142000000.00
1996-10-01,4899000000.00
1996-11-01,4937000000.00
1996-12-01,4991000000.00
1997-01-01,5071000000.00
1997-02-01,5170000000.00
1997-03-01,4950000000.00
1997-04-01,5072000000.00
1997-05-01,5370000000.00
1997-06-01,5315000000.00
1997-07-01,5237000000.00
1997-08-01,5145000000.00
1997-09-01,5138000000.00
1997-10-01,5034000000.00
1997-11-01,5073000000.00
1997-12-01,5129000000.00
1998-01-01,5302000000.00
1998-02-01,5318000000.00
1998-03-01,5394000000.00
1998-04-01,5452000000.00
1998-05-01,5489000000.00
1998-06-01,5389000000.00
1998-07-01,5273000000.00
1998-08-01,5122000000.00
1998-09-01,5013000000.00
1998-10-01,4618000000.00
1998-11-01,4616000000.00
1998-12-01,4652000000.00
1999-01-01,4760000000.00
1999-02-01,4835000000.00
1999-03-01,5022000000.00
1999-04-01,5206000000.00
1999-05-01,5164000000.00
1999-06-01,5028000000.00
1999-07-01,4849000000.00
1999-08-01,4940000000.00
1999-09-01,4826000000.00
1999-10-01,4704000000.00
1999-11-01,4793000000.00
1999-12-01,4643000000.00
2000-01-01,4868000000.00
2000-02-01,4908000000.00
2000-03-01,4977000000.00
2000-04-01,5056000000.00
2000-05-01,5183000000.00
2000-06-01,5175000000.00
2000-07-01,5220000000.00
2000-08-01,5165000000.00
2000-09-01,5140000000.00
2000-10-01,5000000000.00
2000-11-01,4892000000.00
2000-12-01,4796000000.00
2001-01-01,5042000000.00
2001-02-01,5045000000.00
2001-03-01,5048000000.00
2001-04-01,5045000000.00
2001-05-01,4733000000.00
2001-06-01,4591000000.00
2001-07-01,4576000000.00
2001-08-01,4510000000.00
2001-09-01,4201000000.00
2001-10-01,3945000000.00
2001-11-01,3810000000.00
2001-12-01,3611000000.00
2002-01-01,3785000000.00
2002-02-01,3747000000.00
2002-03-01,3672000000.00
2002-04-01,3758000000.00
2002-05-01,3740000000.00
2002-06-01,3467000000.00
2002-07-01,3423000000.00
2002-08-01,3249000000.00
2002-09-01,3020000000.00
2002-10-01,2999000000.00
2002-11-01,3028000000.00
2002-12-01,2905000000.00
2003-01-01,2930000000.00
2003-02-01,2961000000.00
2003-03-01,2951000000.00
2003-04-01,3046000000.00
2003-05-01,3010000000.00
2003-06-01,2841000000.00
2003-07-01,2887000000.00
2003-08-01,2956000000.00
2003-09-01,2862000000.00
2003-10-01,2813000000.00
2003-11-01,2736000000.00
2003-12-01,2615000000.00
2004-01-01,2606000000.00
2004-02-01,2690000000.00
2004-03-01,2717000000.00
2004-04-01,2837000000.00
2004-05-01,2991000000.00
2004-06-01,2808000000.00
2004-07-01,2742000000.00
2004-08-01,2659000000.00
2004-09-01,2548000000.00
2004-10-01,2455000000.00
2004-11-01,2457000000.00
2004-12-01,2611000000.00
2005-01-01,2634000000.00
2005-02-01,2626000000.00
2005-03-01,2730000000.00
2005-04-01,2759000000.00
2005-05-01,2776000000.00
2005-06-01,2757000000.00
2005-07-01,2725000000.00
2005-08-01,2972000000.00
2005-09-01,3023000000.00
2005-10-01,3024000000.00
2005-11-01,3398000000.00
2005-12-01,3466000000.00
2006-01-01,3639000000.00
2006-02-01,3515000000.00
2006-03-01,3714000000.00
2006-04-01,3809000000.00
2006-05-01,3967000000.00
2006-06-01,3875000000.00
2006-07-01,3997000000.00
2006-08-01,4052000000.00
2006-09-01,4046000000.00
2006-10-01,4112000000.00
2006-11-01,4058000000.00
2006-12-01,3987000000.00
