Date,CPIHOSNS
1967-01-01,30.50
1967-02-01,30.50
1967-03-01,30.50
1967-04-01,30.60
1967-05-01,30.70
1967-06-01,30.70
1967-07-01,30.80
1967-08-01,30.90
1967-09-01,30.90
1967-10-01,31.00
1967-11-01,31.10
1967-12-01,31.20
1968-01-01,31.30
1968-02-01,31.50
1968-03-01,31.50
1968-04-01,31.60
1968-05-01,31.70
1968-06-01,31.90
1968-07-01,32.10
1968-08-01,32.30
1968-09-01,32.40
1968-10-01,32.50
1968-11-01,32.70
1968-12-01,32.90
1969-01-01,32.90
1969-02-01,33.10
1969-03-01,33.40
1969-04-01,33.60
1969-05-01,33.80
1969-06-01,33.90
1969-07-01,34.10
1969-08-01,34.30
1969-09-01,34.50
1969-10-01,34.60
1969-11-01,34.80
1969-12-01,35.00
1970-01-01,35.10
1970-02-01,35.40
1970-03-01,35.80
1970-04-01,36.00
1970-05-01,36.20
1970-06-01,36.30
1970-07-01,36.50
1970-08-01,36.70
1970-09-01,36.90
1970-10-01,37.10
1970-11-01,37.30
1970-12-01,37.50
1971-01-01,37.50
1971-02-01,37.50
1971-03-01,37.40
1971-04-01,37.40
1971-05-01,37.70
1971-06-01,37.90
1971-07-01,38.10
1971-08-01,38.20
1971-09-01,38.30
1971-10-01,38.50
1971-11-01,38.60
1971-12-01,38.70
1972-01-01,38.90
1972-02-01,39.00
1972-03-01,39.10
1972-04-01,39.20
1972-05-01,39.30
1972-06-01,39.40
1972-07-01,39.50
1972-08-01,39.70
1972-09-01,39.80
1972-10-01,39.80
1972-11-01,39.90
1972-12-01,40.10
1973-01-01,40.10
1973-02-01,40.30
1973-03-01,40.40
1973-04-01,40.50
1973-05-01,40.70
1973-06-01,40.80
1973-07-01,40.90
1973-08-01,41.20
1973-09-01,41.60
1973-10-01,42.10
1973-11-01,42.50
1973-12-01,42.80
1974-01-01,43.30
1974-02-01,43.70
1974-03-01,44.10
1974-04-01,44.50
1974-05-01,44.90
1974-06-01,45.40
1974-07-01,45.90
1974-08-01,46.50
1974-09-01,47.10
1974-10-01,47.60
1974-11-01,48.10
1974-12-01,48.60
1975-01-01,49.00
1975-02-01,49.50
1975-03-01,49.70
1975-04-01,50.00
1975-05-01,50.20
1975-06-01,50.50
1975-07-01,50.70
1975-08-01,50.90
1975-09-01,51.30
1975-10-01,51.50
1975-11-01,52.00
1975-12-01,52.30
1976-01-01,52.60
1976-02-01,52.70
1976-03-01,53.00
1976-04-01,53.10
1976-05-01,53.30
1976-06-01,53.50
1976-07-01,53.90
1976-08-01,54.10
1976-09-01,54.40
1976-10-01,54.60
1976-11-01,54.80
1976-12-01,55.10
1977-01-01,55.50
1977-02-01,55.90
1977-03-01,56.20
1977-04-01,56.60
1977-05-01,56.80
1977-06-01,57.30
1977-07-01,57.70
1977-08-01,58.00
1977-09-01,58.40
1977-10-01,58.60
1977-11-01,58.90
1977-12-01,59.20
1978-01-01,59.70
1978-02-01,60.00
1978-03-01,60.60
1978-04-01,61.10
1978-05-01,61.60
1978-06-01,62.20
1978-07-01,62.80
1978-08-01,63.20
1978-09-01,63.90
1978-10-01,64.50
1978-11-01,64.90
1978-12-01,65.10
1979-01-01,65.60
1979-02-01,66.40
1979-03-01,67.00
1979-04-01,67.70
1979-05-01,68.50
1979-06-01,69.40
1979-07-01,70.30
1979-08-01,71.30
1979-09-01,72.20
1979-10-01,73.20
1979-11-01,74.10
1979-12-01,75.00
1980-01-01,76.20
1980-02-01,77.10
1980-03-01,78.40
1980-04-01,79.40
1980-05-01,80.60
1980-06-01,82.10
1980-07-01,81.60
1980-08-01,81.80
1980-09-01,82.40
1980-10-01,83.50
1980-11-01,84.30
1980-12-01,85.30
1981-01-01,85.90
1981-02-01,86.50
1981-03-01,87.00
1981-04-01,87.70
1981-05-01,88.80
1981-06-01,90.00
1981-07-01,91.50
1981-08-01,92.30
1981-09-01,93.50
1981-10-01,93.50
1981-11-01,93.70
1981-12-01,94.00
1982-01-01,94.30
1982-02-01,94.60
1982-03-01,94.40
1982-04-01,95.30
1982-05-01,96.60
1982-06-01,97.80
1982-07-01,98.30
1982-08-01,98.60
1982-09-01,98.40
1982-10-01,98.80
1982-11-01,98.20
1982-12-01,97.40
1983-01-01,97.90
1983-02-01,98.10
1983-03-01,98.10
1983-04-01,98.60
1983-05-01,99.10
1983-06-01,99.50
1983-07-01,99.90
1983-08-01,100.00
1983-09-01,100.50
1983-10-01,100.60
1983-11-01,100.70
1983-12-01,100.80
1984-01-01,101.40
1984-02-01,101.90
1984-03-01,102.10
1984-04-01,102.60
1984-05-01,103.00
1984-06-01,103.50
