Date,U12BTI
1992-01-01,7000000000.00
1992-02-01,7027000000.00
1992-03-01,6608000000.00
1992-04-01,6855000000.00
1992-05-01,6697000000.00
1992-06-01,6079000000.00
1992-07-01,6351000000.00
1992-08-01,6739000000.00
1992-09-01,6471000000.00
1992-10-01,6871000000.00
1992-11-01,6658000000.00
1992-12-01,6871000000.00
1993-01-01,7167000000.00
1993-02-01,7211000000.00
1993-03-01,6869000000.00
1993-04-01,6734000000.00
1993-05-01,6564000000.00
1993-06-01,6460000000.00
1993-07-01,6374000000.00
1993-08-01,6531000000.00
1993-09-01,6644000000.00
1993-10-01,6680000000.00
1993-11-01,6631000000.00
1993-12-01,6574000000.00
1994-01-01,6470000000.00
1994-02-01,6327000000.00
1994-03-01,6242000000.00
1994-04-01,6070000000.00
1994-05-01,5889000000.00
1994-06-01,5691000000.00
1994-07-01,5591000000.00
1994-08-01,5528000000.00
1994-09-01,5656000000.00
1994-10-01,5672000000.00
1994-11-01,5731000000.00
1994-12-01,6063000000.00
1995-01-01,6133000000.00
1995-02-01,6232000000.00
1995-03-01,5666000000.00
1995-04-01,5519000000.00
1995-05-01,5270000000.00
1995-06-01,5131000000.00
1995-07-01,5154000000.00
1995-08-01,5409000000.00
1995-09-01,5777000000.00
1995-10-01,5815000000.00
1995-11-01,5740000000.00
1995-12-01,6101000000.00
1996-01-01,6266000000.00
1996-02-01,6230000000.00
1996-03-01,5805000000.00
1996-04-01,5564000000.00
1996-05-01,5363000000.00
1996-06-01,5206000000.00
1996-07-01,5042000000.00
1996-08-01,5292000000.00
1996-09-01,5585000000.00
1996-10-01,5869000000.00
1996-11-01,5997000000.00
1996-12-01,6257000000.00
1997-01-01,6353000000.00
1997-02-01,6310000000.00
1997-03-01,5930000000.00
1997-04-01,5907000000.00
1997-05-01,5736000000.00
1997-06-01,5537000000.00
1997-07-01,5546000000.00
1997-08-01,5720000000.00
1997-09-01,5836000000.00
1997-10-01,6229000000.00
1997-11-01,6402000000.00
1997-12-01,6566000000.00
1998-01-01,6920000000.00
1998-02-01,6728000000.00
1998-03-01,6316000000.00
1998-04-01,6010000000.00
1998-05-01,5816000000.00
1998-06-01,5525000000.00
1998-07-01,5442000000.00
1998-08-01,5456000000.00
1998-09-01,5803000000.00
1998-10-01,6390000000.00
1998-11-01,6360000000.00
1998-12-01,6498000000.00
1999-01-01,6427000000.00
1999-02-01,6293000000.00
1999-03-01,5768000000.00
1999-04-01,5603000000.00
1999-05-01,5449000000.00
1999-06-01,5155000000.00
1999-07-01,5070000000.00
1999-08-01,5274000000.00
1999-09-01,5533000000.00
1999-10-01,5952000000.00
1999-11-01,5918000000.00
1999-12-01,6161000000.00
2000-01-01,6323000000.00
2000-02-01,6398000000.00
2000-03-01,5956000000.00
2000-04-01,5782000000.00
2000-05-01,5537000000.00
2000-06-01,5399000000.00
2000-07-01,5265000000.00
2000-08-01,5368000000.00
2000-09-01,5706000000.00
2000-10-01,5807000000.00
2000-11-01,5839000000.00
2000-12-01,5660000000.00
2001-01-01,5639000000.00
2001-02-01,5563000000.00
2001-03-01,5201000000.00
2001-04-01,5109000000.00
2001-05-01,4973000000.00
2001-06-01,4873000000.00
2001-07-01,4899000000.00
2001-08-01,5005000000.00
2001-09-01,5104000000.00
2001-10-01,5203000000.00
2001-11-01,5231000000.00
2001-12-01,5319000000.00
2002-01-01,5333000000.00
2002-02-01,5326000000.00
2002-03-01,5216000000.00
2002-04-01,5012000000.00
2002-05-01,4872000000.00
2002-06-01,4858000000.00
2002-07-01,4851000000.00
2002-08-01,4996000000.00
2002-09-01,5115000000.00
2002-10-01,5237000000.00
2002-11-01,5232000000.00
2002-12-01,5163000000.00
2003-01-01,5221000000.00
2003-02-01,5211000000.00
2003-03-01,5050000000.00
2003-04-01,4949000000.00
2003-05-01,4786000000.00
2003-06-01,4693000000.00
2003-07-01,4630000000.00
2003-08-01,4738000000.00
2003-09-01,4959000000.00
2003-10-01,5034000000.00
2003-11-01,5048000000.00
2003-12-01,5047000000.00
2004-01-01,5083000000.00
2004-02-01,5023000000.00
2004-03-01,4690000000.00
2004-04-01,4654000000.00
2004-05-01,4574000000.00
2004-06-01,4494000000.00
2004-07-01,4424000000.00
2004-08-01,4606000000.00
2004-09-01,4856000000.00
2004-10-01,4869000000.00
2004-11-01,4833000000.00
2004-12-01,4882000000.00
2005-01-01,4951000000.00
2005-02-01,4842000000.00
2005-03-01,4573000000.00
2005-04-01,4671000000.00
2005-05-01,4498000000.00
2005-06-01,4402000000.00
2005-07-01,4327000000.00
2005-08-01,4424000000.00
2005-09-01,4552000000.00
2005-10-01,4612000000.00
2005-11-01,4582000000.00
2005-12-01,4548000000.00
2006-01-01,4660000000.00
2006-02-01,4582000000.00
2006-03-01,4447000000.00
2006-04-01,4353000000.00
2006-05-01,4220000000.00
2006-06-01,4224000000.00
2006-07-01,4130000000.00
2006-08-01,4228000000.00
2006-09-01,4338000000.00
2006-10-01,4407000000.00
2006-11-01,4425000000.00
2006-12-01,4420000000.00
2007-01-01,4533000000.00
2007-02-01,4432000000.00
2007-03-01,4308000000.00
2007-04-01,4151000000.00
2007-05-01,4010000000.00
2007-06-01,3876000000.00
2007-07-01,3730000000.00
2007-08-01,3702000000.00
2007-09-01,3779000000.00
2007-10-01,3920000000.00
2007-11-01,3995000000.00
2007-12-01,3984000000.00
2008-01-01,4071000000.00
2008-02-01,4094000000.00
2008-03-01,3837000000.00
2008-04-01,3766000000.00
2008-05-01,3652000000.00
2008-06-01,3530000000.00
2008-07-01,3420000000.00
2008-08-01,3397000000.00
2008-09-01,3542000000.00
2008-10-01,3692000000.00
