Date,UMXTNO
1992-02-01,194444000000.00
1992-03-01,207106000000.00
1992-04-01,198190000000.00
1992-05-01,201020000000.00
1992-06-01,218175000000.00
1992-07-01,192300000000.00
1992-08-01,200723000000.00
1992-09-01,219544000000.00
1992-10-01,208649000000.00
1992-11-01,205542000000.00
1992-12-01,207627000000.00
1993-01-01,193050000000.00
1993-02-01,205510000000.00
1993-03-01,221197000000.00
1993-04-01,206985000000.00
1993-05-01,206874000000.00
1993-06-01,222738000000.00
1993-07-01,196488000000.00
1993-08-01,210275000000.00
1993-09-01,225775000000.00
1993-10-01,218673000000.00
1993-11-01,212176000000.00
1993-12-01,212308000000.00
1994-01-01,199020000000.00
1994-02-01,215063000000.00
1994-03-01,230123000000.00
1994-04-01,217226000000.00
1994-05-01,221189000000.00
1994-06-01,239917000000.00
1994-07-01,210059000000.00
1994-08-01,230206000000.00
1994-09-01,243658000000.00
1994-10-01,237654000000.00
1994-11-01,233092000000.00
1994-12-01,235226000000.00
1995-01-01,223798000000.00
1995-02-01,237677000000.00
1995-03-01,252098000000.00
1995-04-01,235654000000.00
1995-05-01,241800000000.00
1995-06-01,256305000000.00
1995-07-01,222902000000.00
1995-08-01,245925000000.00
1995-09-01,259761000000.00
1995-10-01,253400000000.00
1995-11-01,244708000000.00
1995-12-01,244342000000.00
1996-01-01,226536000000.00
1996-02-01,243371000000.00
1996-03-01,257262000000.00
1996-04-01,245262000000.00
1996-05-01,251388000000.00
1996-06-01,264313000000.00
1996-07-01,237069000000.00
1996-08-01,253837000000.00
1996-09-01,266832000000.00
1996-10-01,263613000000.00
1996-11-01,255310000000.00
1996-12-01,250567000000.00
1997-01-01,239591000000.00
1997-02-01,260335000000.00
1997-03-01,273537000000.00
1997-04-01,262811000000.00
1997-05-01,261260000000.00
1997-06-01,281542000000.00
1997-07-01,253115000000.00
1997-08-01,266199000000.00
1997-09-01,289741000000.00
1997-10-01,276756000000.00
1997-11-01,264935000000.00
1997-12-01,268233000000.00
1998-01-01,248413000000.00
1998-02-01,267982000000.00
1998-03-01,283722000000.00
1998-04-01,263871000000.00
1998-05-01,264988000000.00
1998-06-01,288007000000.00
1998-07-01,249189000000.00
1998-08-01,263423000000.00
1998-09-01,283779000000.00
1998-10-01,267853000000.00
1998-11-01,259756000000.00
1998-12-01,266955000000.00
1999-01-01,241374000000.00
1999-02-01,264056000000.00
1999-03-01,285177000000.00
1999-04-01,266141000000.00
1999-05-01,267035000000.00
1999-06-01,289277000000.00
1999-07-01,259016000000.00
1999-08-01,277294000000.00
1999-09-01,297227000000.00
1999-10-01,285580000000.00
1999-11-01,279369000000.00
1999-12-01,285481000000.00
2000-01-01,265244000000.00
2000-02-01,283329000000.00
2000-03-01,309747000000.00
2000-04-01,286276000000.00
2000-05-01,291946000000.00
2000-06-01,316463000000.00
2000-07-01,273967000000.00
2000-08-01,293621000000.00
2000-09-01,310639000000.00
2000-10-01,295535000000.00
2000-11-01,285837000000.00
2000-12-01,285542000000.00
2001-01-01,267932000000.00
2001-02-01,276569000000.00
2001-03-01,292530000000.00
2001-04-01,266271000000.00
2001-05-01,282327000000.00
2001-06-01,285955000000.00
2001-07-01,256148000000.00
2001-08-01,277967000000.00
2001-09-01,274626000000.00
2001-10-01,270063000000.00
2001-11-01,259099000000.00
2001-12-01,260700000000.00
2002-01-01,242680000000.00
2002-02-01,250238000000.00
2002-03-01,272472000000.00
2002-04-01,265138000000.00
2002-05-01,274157000000.00
2002-06-01,275948000000.00
2002-07-01,255007000000.00
2002-08-01,270230000000.00
2002-09-01,279439000000.00
2002-10-01,276995000000.00
2002-11-01,262554000000.00
2002-12-01,263945000000.00
2003-01-01,253700000000.00
2003-02-01,261456000000.00
2003-03-01,286347000000.00
2003-04-01,265698000000.00
