Date,UMXTNO
2003-05-01,272054000000.00
2003-06-01,284082000000.00
2003-07-01,266760000000.00
2003-08-01,278190000000.00
2003-09-01,291534000000.00
2003-10-01,293012000000.00
2003-11-01,272168000000.00
2003-12-01,281969000000.00
2004-01-01,264744000000.00
2004-02-01,274892000000.00
2004-03-01,314181000000.00
2004-04-01,292437000000.00
2004-05-01,297700000000.00
2004-06-01,312285000000.00
2004-07-01,288103000000.00
2004-08-01,308471000000.00
2004-09-01,317186000000.00
2004-10-01,314871000000.00
2004-11-01,308991000000.00
2004-12-01,313145000000.00
2005-01-01,297055000000.00
2005-02-01,305596000000.00
2005-03-01,344119000000.00
2005-04-01,324328000000.00
2005-05-01,332146000000.00
2005-06-01,349441000000.00
2005-07-01,316323000000.00
2005-08-01,352433000000.00
2005-09-01,356749000000.00
2005-10-01,349569000000.00
2005-11-01,339818000000.00
2005-12-01,341200000000.00
2006-01-01,332631000000.00
2006-02-01,329501000000.00
2006-03-01,376003000000.00
2006-04-01,348432000000.00
2006-05-01,373429000000.00
2006-06-01,381447000000.00
2006-07-01,351336000000.00
2006-08-01,374055000000.00
2006-09-01,364338000000.00
2006-10-01,359666000000.00
2006-11-01,345613000000.00
2006-12-01,353251000000.00
2007-01-01,337304000000.00
2007-02-01,339231000000.00
2007-03-01,384373000000.00
2007-04-01,369203000000.00
2007-05-01,388856000000.00
2007-06-01,390077000000.00
2007-07-01,370563000000.00
2007-08-01,391737000000.00
2007-09-01,385106000000.00
2007-10-01,399741000000.00
2007-11-01,384765000000.00
2007-12-01,385022000000.00
2008-01-01,378356000000.00
2008-02-01,380209000000.00
2008-03-01,414004000000.00
2008-04-01,416318000000.00
2008-05-01,427806000000.00
2008-06-01,442864000000.00
2008-07-01,425748000000.00
2008-08-01,418077000000.00
2008-09-01,403763000000.00
2008-10-01,379229000000.00
2008-11-01,325258000000.00
2008-12-01,314586000000.00
2009-01-01,285621000000.00
2009-02-01,288054000000.00
2009-03-01,314336000000.00
2009-04-01,299456000000.00
2009-05-01,307567000000.00
2009-06-01,331197000000.00
2009-07-01,314213000000.00
2009-08-01,322902000000.00
2009-09-01,333892000000.00
2009-10-01,332591000000.00
2009-11-01,317424000000.00
2009-12-01,328765000000.00
2010-01-01,311803000000.00
2010-02-01,317564000000.00
2010-03-01,373234000000.00
2010-04-01,352773000000.00
2010-05-01,357525000000.00
2010-06-01,370142000000.00
2010-07-01,347446000000.00
2010-08-01,364609000000.00
2010-09-01,370744000000.00
2010-10-01,359657000000.00
2010-11-01,359349000000.00
2010-12-01,372859000000.00
2011-01-01,356326000000.00
2011-02-01,356347000000.00
2011-03-01,419950000000.00
2011-04-01,398169000000.00
2011-05-01,409235000000.00
2011-06-01,418572000000.00
2011-07-01,393914000000.00
2011-08-01,415839000000.00
2011-09-01,413665000000.00
2011-10-01,404988000000.00
2011-11-01,392101000000.00
2011-12-01,397994000000.00
2012-01-01,381085000000.00
2012-02-01,397258000000.00
2012-03-01,433809000000.00
2012-04-01,408634000000.00
2012-05-01,419897000000.00
2012-06-01,406318000000.00
2012-07-01,390411000000.00
2012-08-01,413384000000.00
2012-09-01,406078000000.00
2012-10-01,416500000000.00
2012-11-01,392508000000.00
2012-12-01,389111000000.00
2013-01-01,390468000000.00
2013-02-01,388214000000.00
2013-03-01,419844000000.00
2013-04-01,409820000000.00
2013-05-01,423805000000.00
2013-06-01,414267000000.00
2013-07-01,407491000000.00
2013-08-01,418498000000.00
2013-09-01,414993000000.00
2013-10-01,418356000000.00
2013-11-01,393456000000.00
2013-12-01,399301000000.00
2014-01-01,390474000000.00
2014-02-01,388334000000.00
2014-03-01,431633000000.00
2014-04-01,420437000000.00
2014-05-01,425934000000.00
2014-06-01,432963000000.00
2014-07-01,411767000000.00
2014-08-01,419698000000.00
2014-09-01,426286000000.00
2014-10-01,415295000000.00
2014-11-01,377978000000.00
2014-12-01,383743000000.00
2015-01-01,356472000000.00
2015-02-01,357222000000.00
2015-03-01,399184000000.00
2015-04-01,385668000000.00
2015-05-01,384135000000.00
2015-06-01,401768000000.00
2015-07-01,375601000000.00
2015-08-01,378705000000.00
2015-09-01,383424000000.00
2015-10-01,375655000000.00
2015-11-01,350801000000.00
2015-12-01,355498000000.00
2016-01-01,330909000000.00
2016-02-01,344694000000.00
2016-03-01,380224000000.00
2016-04-01,359881000000.00
2016-05-01,369372000000.00
2016-06-01,382302000000.00
2016-07-01,351223000000.00
2016-08-01,375723000000.00
2016-09-01,375426000000.00
2016-10-01,368747000000.00
2016-11-01,356199000000.00
2016-12-01,365696000000.00
2017-01-01,353093000000.00
2017-02-01,353373000000.00
2017-03-01,400480000000.00
2017-04-01,374907000000.00
2017-05-01,392982000000.00
2017-06-01,397986000000.00
2017-07-01,372167000000.00
2017-08-01,398653000000.00
2017-09-01,397307000000.00
2017-10-01,400733000000.00
2017-11-01,387470000000.00
2017-12-01,386924000000.00
2018-01-01,381365000000.00
2018-02-01,377277000000.00
2018-03-01,424101000000.00
2018-04-01,407409000000.00
