Date,GASDESW
1994-03-21,1.11
1994-03-28,1.11
1994-04-04,1.11
1994-04-11,1.11
1994-04-18,1.11
1994-04-25,1.11
1994-05-02,1.10
1994-05-09,1.10
1994-05-16,1.10
1994-05-23,1.10
1994-05-30,1.10
1994-06-06,1.10
1994-06-13,1.10
1994-06-20,1.10
1994-06-27,1.11
1994-07-04,1.11
1994-07-11,1.11
1994-07-18,1.11
1994-07-25,1.11
1994-08-01,1.12
1994-08-08,1.13
1994-08-15,1.13
1994-08-22,1.12
1994-08-29,1.12
1994-09-05,1.13
1994-09-12,1.13
1994-09-19,1.13
1994-09-26,1.12
1994-10-03,1.12
1994-10-10,1.12
1994-10-17,1.12
1994-10-24,1.12
1994-10-31,1.13
1994-11-07,1.13
1994-11-14,1.14
1994-11-21,1.13
1994-11-28,1.13
1994-12-05,1.12
1994-12-12,1.11
1994-12-19,1.11
1994-12-26,1.11
1995-01-02,1.10
1995-01-09,1.10
1995-01-16,1.10
1995-01-23,1.10
1995-01-30,1.09
1995-02-06,1.09
1995-02-13,1.09
1995-02-20,1.09
1995-02-27,1.09
1995-03-06,1.09
1995-03-13,1.09
1995-03-20,1.09
1995-03-27,1.09
1995-04-03,1.09
1995-04-10,1.10
1995-04-17,1.11
1995-04-24,1.12
1995-05-01,1.12
1995-05-08,1.13
1995-05-15,1.13
1995-05-22,1.12
1995-05-29,1.13
1995-06-05,1.12
1995-06-12,1.12
1995-06-19,1.12
1995-06-26,1.11
1995-07-03,1.11
1995-07-10,1.10
1995-07-17,1.10
1995-07-24,1.10
1995-07-31,1.09
1995-08-07,1.10
1995-08-14,1.11
1995-08-21,1.11
1995-08-28,1.11
1995-09-04,1.12
1995-09-11,1.12
1995-09-18,1.12
1995-09-25,1.12
1995-10-02,1.12
1995-10-09,1.12
1995-10-16,1.12
1995-10-23,1.11
1995-10-30,1.11
1995-11-06,1.12
1995-11-13,1.12
1995-11-20,1.12
1995-11-27,1.12
1995-12-04,1.12
1995-12-11,1.12
1995-12-18,1.13
1995-12-25,1.14
1996-01-01,1.15
1996-01-08,1.15
1996-01-15,1.15
1996-01-22,1.14
1996-01-29,1.14
1996-02-05,1.13
1996-02-12,1.13
1996-02-19,1.15
1996-02-26,1.16
1996-03-04,1.18
1996-03-11,1.17
1996-03-18,1.17
1996-03-25,1.21
1996-04-01,1.22
1996-04-08,1.25
1996-04-15,1.31
1996-04-22,1.30
1996-04-29,1.29
1996-05-06,1.29
1996-05-13,1.29
1996-05-20,1.27
1996-05-27,1.25
1996-06-03,1.24
1996-06-10,1.22
1996-06-17,1.19
1996-06-24,1.18
1996-07-01,1.17
1996-07-08,1.17
1996-07-15,1.18
1996-07-22,1.18
1996-07-29,1.18
1996-08-05,1.18
1996-08-12,1.19
1996-08-19,1.21
1996-08-26,1.22
1996-09-02,1.23
1996-09-09,1.25
1996-09-16,1.28
1996-09-23,1.28
1996-09-30,1.29
1996-10-07,1.31
1996-10-14,1.33
1996-10-21,1.33
1996-10-28,1.33
1996-11-04,1.32
1996-11-11,1.32
1996-11-18,1.32
1996-11-25,1.33
1996-12-02,1.32
1996-12-09,1.32
1996-12-16,1.31
1996-12-23,1.30
1996-12-30,1.30
1997-01-06,1.29
1997-01-13,1.30
1997-01-20,1.29
1997-01-27,1.28
1997-02-03,1.29
1997-02-10,1.29
1997-02-17,1.28
1997-02-24,1.27
1997-03-03,1.25
1997-03-10,1.23
1997-03-17,1.22
1997-03-24,1.22
1997-03-31,1.23
1997-04-07,1.22
1997-04-14,1.22
1997-04-21,1.21
1997-04-28,1.21
1997-05-05,1.21
1997-05-12,1.19
1997-05-19,1.19
1997-05-26,1.20
1997-06-02,1.19
1997-06-09,1.19
1997-06-16,1.17
1997-06-23,1.16
1997-06-30,1.15
1997-07-07,1.16
1997-07-14,1.15
1997-07-21,1.15
1997-07-28,1.15
1997-08-04,1.16
1997-08-11,1.17
1997-08-18,1.17
1997-08-25,1.17
1997-09-01,1.17
1997-09-08,1.16
1997-09-15,1.16
1997-09-22,1.15
1997-09-29,1.16
1997-10-06,1.18
1997-10-13,1.19
1997-10-20,1.19
1997-10-27,1.19
1997-11-03,1.19
1997-11-10,1.19
1997-11-17,1.20
1997-11-24,1.19
1997-12-01,1.19
1997-12-08,1.17
1997-12-15,1.16
1997-12-22,1.16
1997-12-29,1.15
1998-01-05,1.15
1998-01-12,1.13
1998-01-19,1.11
1998-01-26,1.10
1998-02-02,1.09
1998-02-09,1.09
1998-02-16,1.08
1998-02-23,1.08
1998-03-02,1.07
1998-03-09,1.07
1998-03-16,1.06
1998-03-23,1.05
1998-03-30,1.07
1998-04-06,1.07
1998-04-13,1.07
1998-04-20,1.07
1998-04-27,1.07
1998-05-04,1.07
1998-05-11,1.08
1998-05-18,1.07
1998-05-25,1.06
1998-06-01,1.05
1998-06-08,1.05
1998-06-15,1.04
1998-06-22,1.03
1998-06-29,1.03
1998-07-06,1.04
1998-07-13,1.03
1998-07-20,1.03
1998-07-27,1.02
1998-08-03,1.02
1998-08-10,1.01
1998-08-17,1.01
1998-08-24,1.00
1998-08-31,1.00
1998-09-07,1.01
1998-09-14,1.02
1998-09-21,1.03
1998-09-28,1.04
