Date,UNXAVS
1992-01-01,30614000000.00
1992-02-01,33575000000.00
1992-03-01,39465000000.00
1992-04-01,34380000000.00
1992-05-01,34483000000.00
1992-06-01,40854000000.00
1992-07-01,32714000000.00
1992-08-01,34586000000.00
1992-09-01,40702000000.00
1992-10-01,36282000000.00
1992-11-01,36005000000.00
1992-12-01,42036000000.00
1993-01-01,32191000000.00
1993-02-01,35862000000.00
1993-03-01,42239000000.00
1993-04-01,35878000000.00
1993-05-01,36597000000.00
1993-06-01,42503000000.00
1993-07-01,33882000000.00
1993-08-01,36769000000.00
1993-09-01,43462000000.00
1993-10-01,38783000000.00
1993-11-01,39857000000.00
1993-12-01,45730000000.00
1994-01-01,34416000000.00
1994-02-01,39894000000.00
1994-03-01,45322000000.00
1994-04-01,39733000000.00
1994-05-01,41199000000.00
1994-06-01,47804000000.00
1994-07-01,37140000000.00
1994-08-01,41586000000.00
1994-09-01,48003000000.00
1994-10-01,42689000000.00
1994-11-01,43991000000.00
1994-12-01,50550000000.00
1995-01-01,38762000000.00
1995-02-01,44524000000.00
1995-03-01,51206000000.00
1995-04-01,43269000000.00
1995-05-01,45465000000.00
1995-06-01,53611000000.00
1995-07-01,39876000000.00
1995-08-01,45368000000.00
1995-09-01,53053000000.00
1995-10-01,46780000000.00
1995-11-01,47843000000.00
1995-12-01,55972000000.00
1996-01-01,40668000000.00
1996-02-01,48098000000.00
1996-03-01,56062000000.00
1996-04-01,46347000000.00
1996-05-01,48286000000.00
1996-06-01,57536000000.00
1996-07-01,43379000000.00
1996-08-01,48294000000.00
1996-09-01,57047000000.00
1996-10-01,49428000000.00
1996-11-01,50932000000.00
1996-12-01,59218000000.00
1997-01-01,43109000000.00
1997-02-01,51166000000.00
1997-03-01,60538000000.00
1997-04-01,50904000000.00
1997-05-01,52133000000.00
1997-06-01,64107000000.00
1997-07-01,49402000000.00
1997-08-01,53363000000.00
1997-09-01,64795000000.00
1997-10-01,55763000000.00
1997-11-01,54583000000.00
1997-12-01,65211000000.00
1998-01-01,47574000000.00
1998-02-01,55869000000.00
1998-03-01,67166000000.00
1998-04-01,53659000000.00
1998-05-01,54764000000.00
1998-06-01,68387000000.00
1998-07-01,50353000000.00
1998-08-01,53882000000.00
1998-09-01,65745000000.00
1998-10-01,56213000000.00
1998-11-01,56359000000.00
1998-12-01,65746000000.00
1999-01-01,47952000000.00
1999-02-01,55409000000.00
1999-03-01,66687000000.00
1999-04-01,55071000000.00
1999-05-01,56941000000.00
1999-06-01,68843000000.00
1999-07-01,53735000000.00
1999-08-01,57524000000.00
1999-09-01,67842000000.00
1999-10-01,58346000000.00
1999-11-01,57899000000.00
1999-12-01,66793000000.00
2000-01-01,52427000000.00
2000-02-01,57961000000.00
2000-03-01,70985000000.00
2000-04-01,59095000000.00
2000-05-01,61049000000.00
2000-06-01,72777000000.00
2000-07-01,56170000000.00
2000-08-01,60482000000.00
2000-09-01,72932000000.00
2000-10-01,61746000000.00
2000-11-01,60419000000.00
2000-12-01,71574000000.00
2001-01-01,53844000000.00
2001-02-01,57923000000.00
2001-03-01,69500000000.00
2001-04-01,54942000000.00
2001-05-01,56257000000.00
2001-06-01,64937000000.00
2001-07-01,49904000000.00
2001-08-01,53282000000.00
2001-09-01,58938000000.00
2001-10-01,51625000000.00
2001-11-01,49137000000.00
2001-12-01,57999000000.00
2002-01-01,43611000000.00
2002-02-01,47730000000.00
2002-03-01,57027000000.00
2002-04-01,48850000000.00
2002-05-01,50932000000.00
2002-06-01,57098000000.00
2002-07-01,46450000000.00
2002-08-01,50252000000.00
2002-09-01,56197000000.00
2002-10-01,49462000000.00
2002-11-01,48121000000.00
2002-12-01,53865000000.00
2003-01-01,43534000000.00
2003-02-01,45534000000.00
2003-03-01,55469000000.00
2003-04-01,47266000000.00
2003-05-01,48734000000.00
2003-06-01,55862000000.00
2003-07-01,45980000000.00
2003-08-01,47496000000.00
2003-09-01,56286000000.00
2003-10-01,50376000000.00
2003-11-01,47768000000.00
2003-12-01,56311000000.00
2004-01-01,44408000000.00
2004-02-01,46904000000.00
2004-03-01,58350000000.00
2004-04-01,50409000000.00
2004-05-01,49697000000.00
2004-06-01,58179000000.00
2004-07-01,48389000000.00
2004-08-01,51341000000.00
2004-09-01,58057000000.00
2004-10-01,53012000000.00
2004-11-01,50811000000.00
2004-12-01,59589000000.00
2005-01-01,49768000000.00
2005-02-01,51535000000.00
2005-03-01,62156000000.00
2005-04-01,54792000000.00
2005-05-01,55737000000.00
2005-06-01,63409000000.00
2005-07-01,51268000000.00
2005-08-01,56699000000.00
2005-09-01,63212000000.00
2005-10-01,57480000000.00
2005-11-01,55762000000.00
2005-12-01,65121000000.00
2006-01-01,53276000000.00
2006-02-01,55835000000.00
2006-03-01,69288000000.00
2006-04-01,58879000000.00
2006-05-01,61506000000.00
2006-06-01,69145000000.00
2006-07-01,56640000000.00
2006-08-01,62108000000.00
2006-09-01,67531000000.00
2006-10-01,61992000000.00
2006-11-01,60229000000.00
2006-12-01,67853000000.00
2007-01-01,54581000000.00
2007-02-01,57579000000.00
2007-03-01,70518000000.00
2007-04-01,61910000000.00
2007-05-01,63169000000.00
2007-06-01,71126000000.00
2007-07-01,57997000000.00
2007-08-01,64233000000.00
2007-09-01,70502000000.00
2007-10-01,65145000000.00
2007-11-01,61717000000.00
2007-12-01,70185000000.00
2008-01-01,58457000000.00
2008-02-01,61054000000.00
2008-03-01,70947000000.00
2008-04-01,64143000000.00
2008-05-01,64906000000.00
2008-06-01,72521000000.00
2008-07-01,61226000000.00
2008-08-01,62535000000.00
2008-09-01,71485000000.00
2008-10-01,63061000000.00
2008-11-01,57737000000.00
2008-12-01,66703000000.00
2009-01-01,50142000000.00
2009-02-01,51383000000.00
2009-03-01,60026000000.00
2009-04-01,51130000000.00
2009-05-01,50741000000.00
2009-06-01,58608000000.00
2009-07-01,50367000000.00
2009-08-01,50844000000.00
2009-09-01,56944000000.00
2009-10-01,52839000000.00
2009-11-01,50769000000.00
2009-12-01,58762000000.00
2010-01-01,47234000000.00
2010-02-01,49734000000.00
2010-03-01,61608000000.00
2010-04-01,54201000000.00
2010-05-01,54632000000.00
2010-06-01,61827000000.00
2010-07-01,52604000000.00
2010-08-01,55674000000.00
2010-09-01,61851000000.00
2010-10-01,56042000000.00
2010-11-01,55401000000.00
2010-12-01,63939000000.00
2011-01-01,51685000000.00
2011-02-01,52986000000.00
2011-03-01,66854000000.00
2011-04-01,58016000000.00
2011-05-01,60103000000.00
2011-06-01,67716000000.00
2011-07-01,57026000000.00
2011-08-01,64150000000.00
2011-09-01,68794000000.00
2011-10-01,62322000000.00
2011-11-01,60665000000.00
2011-12-01,70531000000.00
2012-01-01,57393000000.00
2012-02-01,62918000000.00
2012-03-01,75458000000.00
2012-04-01,64892000000.00
2012-05-01,67703000000.00
2012-06-01,74181000000.00
2012-07-01,62422000000.00
2012-08-01,65633000000.00
2012-09-01,68266000000.00
2012-10-01,65707000000.00
2012-11-01,64347000000.00
2012-12-01,70671000000.00
2013-01-01,59307000000.00
2013-02-01,62749000000.00
2013-03-01,74319000000.00
