Date,UNXAVS
2013-04-01,65156000000.00
2013-05-01,68139000000.00
2013-06-01,72177000000.00
2013-07-01,62064000000.00
2013-08-01,65316000000.00
2013-09-01,69710000000.00
2013-10-01,64821000000.00
2013-11-01,63485000000.00
2013-12-01,71809000000.00
2014-01-01,58348000000.00
2014-02-01,61843000000.00
2014-03-01,74246000000.00
2014-04-01,64492000000.00
2014-05-01,66791000000.00
2014-06-01,73525000000.00
2014-07-01,63042000000.00
2014-08-01,67249000000.00
2014-09-01,74142000000.00
2014-10-01,66921000000.00
2014-11-01,61075000000.00
2014-12-01,72000000000.00
2015-01-01,57739000000.00
2015-02-01,60039000000.00
2015-03-01,72412000000.00
2015-04-01,63417000000.00
2015-05-01,63363000000.00
2015-06-01,72032000000.00
2015-07-01,61559000000.00
2015-08-01,63224000000.00
2015-09-01,69087000000.00
2015-10-01,63450000000.00
2015-11-01,59402000000.00
2015-12-01,67885000000.00
2016-01-01,53590000000.00
2016-02-01,58105000000.00
2016-03-01,67370000000.00
2016-04-01,59135000000.00
2016-05-01,60239000000.00
2016-06-01,66719000000.00
2016-07-01,55399000000.00
2016-08-01,60409000000.00
2016-09-01,65448000000.00
2016-10-01,58850000000.00
2016-11-01,57397000000.00
2016-12-01,65677000000.00
2017-01-01,54041000000.00
2017-02-01,56825000000.00
2017-03-01,69439000000.00
2017-04-01,59491000000.00
2017-05-01,63721000000.00
2017-06-01,70076000000.00
2017-07-01,59119000000.00
2017-08-01,64934000000.00
2017-09-01,69455000000.00
2017-10-01,65701000000.00
2017-11-01,63367000000.00
2017-12-01,70602000000.00
2018-01-01,59454000000.00
2018-02-01,61921000000.00
2018-03-01,73191000000.00
2018-04-01,65581000000.00
2018-05-01,67566000000.00
