Date,UDEFNO
1992-02-01,6366000000.00
1992-03-01,7185000000.00
1992-04-01,5767000000.00
1992-05-01,6200000000.00
1992-06-01,5955000000.00
1992-07-01,3224000000.00
1992-08-01,4367000000.00
1992-09-01,6323000000.00
1992-10-01,9912000000.00
1992-11-01,7827000000.00
1992-12-01,12145000000.00
1993-01-01,6535000000.00
1993-02-01,5351000000.00
1993-03-01,8643000000.00
1993-04-01,5272000000.00
1993-05-01,4135000000.00
1993-06-01,4746000000.00
1993-07-01,5757000000.00
1993-08-01,6108000000.00
1993-09-01,5768000000.00
1993-10-01,6215000000.00
1993-11-01,5259000000.00
1993-12-01,9142000000.00
1994-01-01,9478000000.00
1994-02-01,4605000000.00
1994-03-01,6316000000.00
1994-04-01,3363000000.00
1994-05-01,5135000000.00
1994-06-01,5993000000.00
1994-07-01,4382000000.00
1994-08-01,4615000000.00
1994-09-01,5726000000.00
1994-10-01,6786000000.00
1994-11-01,6171000000.00
1994-12-01,11588000000.00
1995-01-01,5046000000.00
1995-02-01,6005000000.00
1995-03-01,8269000000.00
1995-04-01,4805000000.00
1995-05-01,3921000000.00
1995-06-01,5741000000.00
1995-07-01,3592000000.00
1995-08-01,5422000000.00
1995-09-01,6464000000.00
1995-10-01,4132000000.00
1995-11-01,4992000000.00
1995-12-01,10336000000.00
1996-01-01,6648000000.00
1996-02-01,5028000000.00
1996-03-01,14001000000.00
1996-04-01,5124000000.00
1996-05-01,5834000000.00
1996-06-01,6766000000.00
1996-07-01,2467000000.00
1996-08-01,3642000000.00
1996-09-01,5382000000.00
1996-10-01,5252000000.00
1996-11-01,13511000000.00
1996-12-01,14816000000.00
1997-01-01,5080000000.00
1997-02-01,5322000000.00
1997-03-01,6599000000.00
1997-04-01,6052000000.00
1997-05-01,3675000000.00
1997-06-01,5622000000.00
1997-07-01,3699000000.00
1997-08-01,4180000000.00
1997-09-01,4837000000.00
1997-10-01,4434000000.00
1997-11-01,6273000000.00
1997-12-01,8724000000.00
1998-01-01,6242000000.00
1998-02-01,4619000000.00
1998-03-01,5611000000.00
1998-04-01,5945000000.00
1998-05-01,2629000000.00
1998-06-01,4553000000.00
1998-07-01,3293000000.00
1998-08-01,3598000000.00
1998-09-01,7232000000.00
1998-10-01,4494000000.00
1998-11-01,5789000000.00
1998-12-01,10122000000.00
1999-01-01,7757000000.00
1999-02-01,5640000000.00
1999-03-01,8708000000.00
1999-04-01,4312000000.00
1999-05-01,4254000000.00
1999-06-01,4243000000.00
1999-07-01,4821000000.00
1999-08-01,2654000000.00
1999-09-01,4280000000.00
1999-10-01,6952000000.00
1999-11-01,4517000000.00
1999-12-01,9762000000.00
2000-01-01,7946000000.00
2000-02-01,5059000000.00
2000-03-01,5331000000.00
2000-04-01,2839000000.00
2000-05-01,3716000000.00
2000-06-01,25477000000.00
2000-07-01,2891000000.00
2000-08-01,3965000000.00
2000-09-01,4165000000.00
2000-10-01,4385000000.00
2000-11-01,6605000000.00
2000-12-01,7219000000.00
2001-01-01,4789000000.00
2001-02-01,5277000000.00
2001-03-01,10366000000.00
2001-04-01,4900000000.00
2001-05-01,4817000000.00
2001-06-01,4562000000.00
2001-07-01,3648000000.00
2001-08-01,3669000000.00
2001-09-01,7306000000.00
2001-10-01,17533000000.00
2001-11-01,5715000000.00
2001-12-01,11181000000.00
2002-01-01,4236000000.00
2002-02-01,8084000000.00
2002-03-01,12122000000.00
2002-04-01,5254000000.00
2002-05-01,3908000000.00
2002-06-01,5640000000.00
2002-07-01,2965000000.00
2002-08-01,5534000000.00
2002-09-01,7315000000.00
2002-10-01,3890000000.00
2002-11-01,5703000000.00
2002-12-01,11811000000.00
2003-01-01,6608000000.00
2003-02-01,8724000000.00
2003-03-01,12154000000.00
2003-04-01,8530000000.00
2003-05-01,6482000000.00
2003-06-01,7487000000.00
2003-07-01,4174000000.00
2003-08-01,7956000000.00
2003-09-01,6601000000.00
2003-10-01,8342000000.00
2003-11-01,7846000000.00
2003-12-01,15307000000.00
2004-01-01,8965000000.00
2004-02-01,9352000000.00
2004-03-01,12427000000.00
2004-04-01,7633000000.00
2004-05-01,4829000000.00
2004-06-01,8601000000.00
2004-07-01,4561000000.00
2004-08-01,5784000000.00
2004-09-01,7652000000.00
2004-10-01,9526000000.00
2004-11-01,7772000000.00
2004-12-01,11833000000.00
2005-01-01,6627000000.00
2005-02-01,6288000000.00
2005-03-01,9874000000.00
2005-04-01,5286000000.00
2005-05-01,4837000000.00
2005-06-01,8661000000.00
2005-07-01,4271000000.00
2005-08-01,4611000000.00
2005-09-01,6015000000.00
2005-10-01,8557000000.00
2005-11-01,6515000000.00
2005-12-01,10844000000.00
2006-01-01,3614000000.00
2006-02-01,9083000000.00
2006-03-01,12395000000.00
2006-04-01,6019000000.00
2006-05-01,4273000000.00
2006-06-01,10681000000.00
2006-07-01,5377000000.00
2006-08-01,7658000000.00
2006-09-01,13085000000.00
2006-10-01,6789000000.00
2006-11-01,11105000000.00
2006-12-01,13050000000.00
2007-01-01,9144000000.00
2007-02-01,8992000000.00
2007-03-01,8707000000.00
2007-04-01,6008000000.00
2007-05-01,6251000000.00
2007-06-01,6437000000.00
2007-07-01,6724000000.00
2007-08-01,10536000000.00
2007-09-01,6905000000.00
2007-10-01,9448000000.00
2007-11-01,6443000000.00
2007-12-01,18335000000.00
2008-01-01,10420000000.00
2008-02-01,10981000000.00
2008-03-01,12749000000.00
2008-04-01,7021000000.00
2008-05-01,8127000000.00
2008-06-01,12070000000.00
2008-07-01,6610000000.00
2008-08-01,9462000000.00
2008-09-01,13407000000.00
2008-10-01,8283000000.00
2008-11-01,8204000000.00
2008-12-01,19864000000.00
2009-01-01,7336000000.00
2009-02-01,8910000000.00
2009-03-01,10735000000.00
2009-04-01,8121000000.00
2009-05-01,9542000000.00
2009-06-01,7460000000.00
2009-07-01,6033000000.00
2009-08-01,8150000000.00
2009-09-01,9645000000.00
2009-10-01,7326000000.00
2009-11-01,6957000000.00
2009-12-01,13343000000.00
2010-01-01,12516000000.00
2010-02-01,11693000000.00
2010-03-01,15313000000.00
2010-04-01,10485000000.00
2010-05-01,10345000000.00
2010-06-01,11421000000.00
2010-07-01,8378000000.00
2010-08-01,10257000000.00
2010-09-01,12797000000.00
2010-10-01,8519000000.00
2010-11-01,9826000000.00
2010-12-01,15877000000.00
2011-01-01,14542000000.00
2011-02-01,10829000000.00
2011-03-01,15774000000.00
2011-04-01,10785000000.00
2011-05-01,10655000000.00
2011-06-01,12784000000.00
2011-07-01,8052000000.00
2011-08-01,10062000000.00
2011-09-01,12559000000.00
2011-10-01,7312000000.00
2011-11-01,7787000000.00
2011-12-01,11945000000.00
2012-01-01,7788000000.00
2012-02-01,9622000000.00
2012-03-01,12850000000.00
2012-04-01,6069000000.00
2012-05-01,6260000000.00
2012-06-01,14722000000.00
2012-07-01,9365000000.00
2012-08-01,5359000000.00
2012-09-01,10590000000.00
2012-10-01,6318000000.00
2012-11-01,6427000000.00
2012-12-01,23805000000.00
2013-01-01,5185000000.00
2013-02-01,8613000000.00
2013-03-01,7746000000.00
2013-04-01,4767000000.00
2013-05-01,6334000000.00
2013-06-01,13636000000.00
2013-07-01,5769000000.00
2013-08-01,6252000000.00
2013-09-01,10930000000.00
2013-10-01,5741000000.00
2013-11-01,6480000000.00
2013-12-01,10241000000.00
2014-01-01,6013000000.00
2014-02-01,8813000000.00
2014-03-01,12505000000.00
2014-04-01,15228000000.00
2014-05-01,6734000000.00
2014-06-01,13447000000.00
2014-07-01,5340000000.00
2014-08-01,6039000000.00
2014-09-01,8904000000.00
2014-10-01,7739000000.00
2014-11-01,6815000000.00
2014-12-01,10653000000.00
2015-01-01,6945000000.00
2015-02-01,8432000000.00
2015-03-01,11508000000.00
2015-04-01,6267000000.00
2015-05-01,6518000000.00
2015-06-01,13211000000.00
2015-07-01,8455000000.00
2015-08-01,5528000000.00
2015-09-01,6516000000.00
2015-10-01,6954000000.00
2015-11-01,12162000000.00
2015-12-01,12292000000.00
2016-01-01,8052000000.00
2016-02-01,6349000000.00
2016-03-01,15912000000.00
2016-04-01,10661000000.00
2016-05-01,6132000000.00
2016-06-01,8610000000.00
2016-07-01,5513000000.00
2016-08-01,8529000000.00
2016-09-01,12108000000.00
2016-10-01,8964000000.00
2016-11-01,13175000000.00
2016-12-01,15709000000.00
2017-01-01,8225000000.00
2017-02-01,2518000000.00
2017-03-01,13168000000.00
2017-04-01,9763000000.00
2017-05-01,6392000000.00
2017-06-01,14444000000.00
2017-07-01,9524000000.00
2017-08-01,7986000000.00
2017-09-01,17104000000.00
2017-10-01,8516000000.00
2017-11-01,10602000000.00
2017-12-01,14138000000.00
2018-01-01,6642000000.00
2018-02-01,11882000000.00
2018-03-01,14466000000.00
2018-04-01,10039000000.00
2018-05-01,11316000000.00
