Date,CPIMEDNS
1935-03-01,10.20
1935-07-01,10.20
1935-10-01,10.20
1936-01-01,10.20
1936-04-01,10.20
1936-07-01,10.20
1936-09-01,10.20
1936-12-01,10.20
1937-03-01,10.30
1937-06-01,10.30
1937-09-01,10.30
1937-12-01,10.30
1938-03-01,10.30
1938-06-01,10.30
1938-09-01,10.30
1938-12-01,10.30
1939-03-01,10.30
1939-06-01,10.40
1939-09-01,10.40
1939-12-01,10.40
1940-03-01,10.40
1940-06-01,10.30
1940-09-01,10.30
1940-12-01,10.40
1941-03-01,10.40
1941-06-01,10.40
1941-09-01,10.40
1941-12-01,10.50
1942-03-01,10.60
1942-06-01,10.70
1942-09-01,10.80
1942-12-01,10.90
1943-03-01,11.10
1943-06-01,11.20
1943-09-01,11.40
1943-12-01,11.40
1944-03-01,11.50
1944-06-01,11.50
1944-09-01,11.60
1944-12-01,11.70
1945-03-01,11.80
1945-06-01,11.90
1945-09-01,11.90
1945-12-01,12.00
1946-03-01,12.20
1946-06-01,12.40
1946-09-01,12.70
1946-12-01,13.00
1947-01-01,13.20
1947-02-01,13.30
1947-03-01,13.30
1947-04-01,13.40
1947-05-01,13.50
1947-06-01,13.50
1947-07-01,13.50
1947-08-01,13.60
1947-09-01,13.70
1947-10-01,13.80
1947-11-01,13.80
1947-12-01,13.90
1948-01-01,14.00
1948-02-01,14.00
1948-03-01,14.10
1948-04-01,14.30
1948-05-01,14.30
1948-06-01,14.30
1948-07-01,14.50
1948-08-01,14.50
1948-09-01,14.50
1948-10-01,14.60
1948-11-01,14.70
1948-12-01,14.70
1949-01-01,14.80
1949-02-01,14.80
1949-03-01,14.80
1949-04-01,14.80
1949-05-01,14.80
1949-06-01,14.80
1949-07-01,14.80
1949-08-01,14.90
1949-09-01,14.90
1949-10-01,14.90
1949-11-01,14.90
1949-12-01,14.90
1950-01-01,15.00
1950-02-01,15.00
1950-03-01,15.00
1950-04-01,15.00
1950-05-01,15.00
1950-06-01,15.00
1950-07-01,15.10
1950-08-01,15.10
1950-09-01,15.20
1950-10-01,15.30
1950-11-01,15.30
1950-12-01,15.40
1951-01-01,15.50
1951-02-01,15.50
1951-03-01,15.70
1951-04-01,15.70
1951-05-01,15.80
1951-06-01,15.80
1951-07-01,15.80
1951-08-01,15.90
1951-09-01,15.90
1951-10-01,16.00
1951-11-01,16.10
1951-12-01,16.30
1952-01-01,16.40
1952-02-01,16.40
1952-03-01,16.50
1952-04-01,16.50
1952-05-01,16.50
1952-06-01,16.80
1952-07-01,16.80
1952-08-01,16.80
1952-09-01,16.90
1952-10-01,16.90
1952-11-01,16.90
1952-12-01,17.00
1953-01-01,17.00
1953-02-01,17.00
1953-03-01,17.00
1953-04-01,17.10
1953-05-01,17.20
1953-06-01,17.30
1953-07-01,17.30
1953-08-01,17.40
1953-09-01,17.50
1953-10-01,17.50
1953-11-01,17.60
1953-12-01,17.60
1954-01-01,17.60
1954-02-01,17.70
1954-03-01,17.70
1954-04-01,17.80
1954-05-01,17.80
1954-06-01,17.80
1954-07-01,17.80
1954-08-01,17.90
1954-09-01,17.90
1954-10-01,17.90
1954-11-01,18.00
1954-12-01,18.00
1955-01-01,18.00
1955-02-01,18.10
1955-03-01,18.10
1955-04-01,18.10
1955-05-01,18.20
1955-06-01,18.20
1955-07-01,18.20
1955-08-01,18.20
1955-09-01,18.30
1955-10-01,18.40
1955-11-01,18.50
1955-12-01,18.60
1956-01-01,18.60
1956-02-01,18.70
1956-03-01,18.70
1956-04-01,18.80
1956-05-01,18.80
1956-06-01,18.80
1956-07-01,18.90
1956-08-01,19.00
1956-09-01,19.10
1956-10-01,19.10
1956-11-01,19.20
1956-12-01,19.20
1957-01-01,19.30
1957-02-01,19.30
1957-03-01,19.50
1957-04-01,19.50
1957-05-01,19.60
1957-06-01,19.70
1957-07-01,19.70
1957-08-01,19.80
1957-09-01,19.80
