Date,UITIVS
2008-08-01,25414000000.00
2008-09-01,30410000000.00
2008-10-01,25055000000.00
2008-11-01,24163000000.00
2008-12-01,29072000000.00
2009-01-01,19434000000.00
2009-02-01,20928000000.00
2009-03-01,25474000000.00
2009-04-01,20242000000.00
2009-05-01,20489000000.00
2009-06-01,25379000000.00
2009-07-01,21142000000.00
2009-08-01,22054000000.00
2009-09-01,25411000000.00
2009-10-01,22683000000.00
2009-11-01,22731000000.00
2009-12-01,25711000000.00
2010-01-01,19147000000.00
2010-02-01,19932000000.00
2010-03-01,25495000000.00
2010-04-01,20991000000.00
2010-05-01,21245000000.00
2010-06-01,24761000000.00
2010-07-01,20421000000.00
2010-08-01,21616000000.00
2010-09-01,25425000000.00
2010-10-01,21915000000.00
2010-11-01,22776000000.00
2010-12-01,26394000000.00
2011-01-01,19438000000.00
2011-02-01,20123000000.00
2011-03-01,25621000000.00
2011-04-01,21095000000.00
2011-05-01,21999000000.00
2011-06-01,25773000000.00
2011-07-01,20087000000.00
2011-08-01,22654000000.00
2011-09-01,26357000000.00
2011-10-01,21805000000.00
2011-11-01,22184000000.00
2011-12-01,26974000000.00
2012-01-01,19635000000.00
2012-02-01,21585000000.00
2012-03-01,26068000000.00
2012-04-01,21389000000.00
2012-05-01,23122000000.00
2012-06-01,25718000000.00
2012-07-01,19830000000.00
2012-08-01,20991000000.00
2012-09-01,24644000000.00
2012-10-01,21506000000.00
2012-11-01,22032000000.00
2012-12-01,26058000000.00
2013-01-01,19037000000.00
2013-02-01,20614000000.00
2013-03-01,25946000000.00
2013-04-01,20333000000.00
2013-05-01,22285000000.00
2013-06-01,26252000000.00
2013-07-01,19886000000.00
2013-08-01,21753000000.00
2013-09-01,26144000000.00
2013-10-01,21614000000.00
2013-11-01,21563000000.00
2013-12-01,26017000000.00
2014-01-01,18708000000.00
2014-02-01,19668000000.00
2014-03-01,25157000000.00
2014-04-01,19881000000.00
2014-05-01,21347000000.00
2014-06-01,26117000000.00
2014-07-01,19660000000.00
2014-08-01,21285000000.00
2014-09-01,24834000000.00
2014-10-01,20294000000.00
2014-11-01,20525000000.00
2014-12-01,25069000000.00
2015-01-01,17763000000.00
2015-02-01,18639000000.00
2015-03-01,24623000000.00
2015-04-01,19533000000.00
2015-05-01,20354000000.00
2015-06-01,25315000000.00
2015-07-01,19703000000.00
2015-08-01,21091000000.00
2015-09-01,24783000000.00
2015-10-01,20721000000.00
2015-11-01,20776000000.00
2015-12-01,24809000000.00
2016-01-01,17518000000.00
2016-02-01,19025000000.00
2016-03-01,23356000000.00
2016-04-01,18966000000.00
2016-05-01,20457000000.00
2016-06-01,24441000000.00
2016-07-01,19543000000.00
2016-08-01,21199000000.00
2016-09-01,24288000000.00
2016-10-01,20584000000.00
2016-11-01,20682000000.00
2016-12-01,24745000000.00
2017-01-01,18249000000.00
2017-02-01,19498000000.00
2017-03-01,24486000000.00
2017-04-01,20093000000.00
2017-05-01,21369000000.00
2017-06-01,25399000000.00
2017-07-01,20860000000.00
2017-08-01,22434000000.00
2017-09-01,25413000000.00
2017-10-01,22438000000.00
2017-11-01,22913000000.00
2017-12-01,26420000000.00
2018-01-01,20111000000.00
2018-02-01,20843000000.00
2018-03-01,26138000000.00
2018-04-01,22321000000.00
