Date,U33SNO
1992-02-01,14906000000.00
1992-03-01,16662000000.00
1992-04-01,16689000000.00
1992-05-01,15166000000.00
1992-06-01,17124000000.00
1992-07-01,13948000000.00
1992-08-01,14247000000.00
1992-09-01,16702000000.00
1992-10-01,16082000000.00
1992-11-01,15566000000.00
1992-12-01,16477000000.00
1993-01-01,14995000000.00
1993-02-01,15765000000.00
1993-03-01,18047000000.00
1993-04-01,17220000000.00
1993-05-01,16343000000.00
1993-06-01,17789000000.00
1993-07-01,15130000000.00
1993-08-01,15843000000.00
1993-09-01,17676000000.00
1993-10-01,17478000000.00
1993-11-01,16903000000.00
1993-12-01,19659000000.00
1994-01-01,16176000000.00
1994-02-01,18710000000.00
1994-03-01,20156000000.00
1994-04-01,19373000000.00
1994-05-01,18916000000.00
1994-06-01,21372000000.00
1994-07-01,16992000000.00
1994-08-01,19060000000.00
1994-09-01,20150000000.00
1994-10-01,20831000000.00
1994-11-01,20232000000.00
1994-12-01,20258000000.00
1995-01-01,19542000000.00
1995-02-01,20988000000.00
1995-03-01,22820000000.00
1995-04-01,20421000000.00
1995-05-01,20884000000.00
1995-06-01,22569000000.00
1995-07-01,17256000000.00
1995-08-01,20061000000.00
1995-09-01,22163000000.00
1995-10-01,21675000000.00
1995-11-01,21095000000.00
1995-12-01,21833000000.00
1996-01-01,20311000000.00
1996-02-01,22901000000.00
1996-03-01,23216000000.00
1996-04-01,21121000000.00
1996-05-01,21957000000.00
1996-06-01,23253000000.00
1996-07-01,18834000000.00
1996-08-01,19978000000.00
1996-09-01,22556000000.00
1996-10-01,21482000000.00
1996-11-01,20941000000.00
1996-12-01,21855000000.00
1997-01-01,20041000000.00
1997-02-01,22432000000.00
1997-03-01,25018000000.00
1997-04-01,23378000000.00
1997-05-01,21666000000.00
1997-06-01,23635000000.00
1997-07-01,20412000000.00
1997-08-01,21641000000.00
1997-09-01,25076000000.00
1997-10-01,24225000000.00
1997-11-01,22333000000.00
1997-12-01,23141000000.00
1998-01-01,21258000000.00
1998-02-01,24131000000.00
1998-03-01,26895000000.00
1998-04-01,23687000000.00
1998-05-01,22947000000.00
1998-06-01,25313000000.00
1998-07-01,20791000000.00
1998-08-01,21033000000.00
1998-09-01,25019000000.00
1998-10-01,22343000000.00
1998-11-01,21307000000.00
1998-12-01,23376000000.00
1999-01-01,20637000000.00
1999-02-01,23108000000.00
1999-03-01,25337000000.00
1999-04-01,24208000000.00
1999-05-01,22701000000.00
1999-06-01,23911000000.00
1999-07-01,20824000000.00
1999-08-01,21666000000.00
1999-09-01,25554000000.00
1999-10-01,23633000000.00
1999-11-01,23098000000.00
1999-12-01,23600000000.00
2000-01-01,23676000000.00
2000-02-01,23911000000.00
2000-03-01,28124000000.00
2000-04-01,25564000000.00
2000-05-01,25245000000.00
2000-06-01,26849000000.00
2000-07-01,22998000000.00
2000-08-01,23727000000.00
2000-09-01,26152000000.00
2000-10-01,23466000000.00
2000-11-01,22112000000.00
2000-12-01,22784000000.00
2001-01-01,22700000000.00
2001-02-01,23467000000.00
2001-03-01,24837000000.00
2001-04-01,22428000000.00
2001-05-01,23048000000.00
2001-06-01,23062000000.00
2001-07-01,19557000000.00
2001-08-01,21424000000.00
2001-09-01,21768000000.00
2001-10-01,20227000000.00
2001-11-01,19554000000.00
2001-12-01,20001000000.00
2002-01-01,18147000000.00
2002-02-01,19087000000.00
2002-03-01,21556000000.00
2002-04-01,21649000000.00
2002-05-01,21748000000.00
2002-06-01,20622000000.00
2002-07-01,19812000000.00
2002-08-01,19911000000.00
2002-09-01,21652000000.00
2002-10-01,21431000000.00
2002-11-01,19591000000.00
2002-12-01,20168000000.00
2003-01-01,19999000000.00
2003-02-01,20229000000.00
2003-03-01,24525000000.00
2003-04-01,21927000000.00
2003-05-01,21473000000.00
2003-06-01,22467000000.00
2003-07-01,19955000000.00
2003-08-01,20568000000.00
2003-09-01,22322000000.00
2003-10-01,21448000000.00
2003-11-01,20752000000.00
2003-12-01,22517000000.00
2004-01-01,20662000000.00
2004-02-01,22090000000.00
2004-03-01,27277000000.00
2004-04-01,24233000000.00
2004-05-01,22898000000.00
2004-06-01,24710000000.00
2004-07-01,21454000000.00
2004-08-01,21663000000.00
2004-09-01,25136000000.00
2004-10-01,24557000000.00
2004-11-01,22603000000.00
2004-12-01,25590000000.00
2005-01-01,24116000000.00
2005-02-01,25224000000.00
2005-03-01,27612000000.00
2005-04-01,27270000000.00
2005-05-01,25197000000.00
2005-06-01,28005000000.00
2005-07-01,23352000000.00
2005-08-01,25440000000.00
2005-09-01,26677000000.00
2005-10-01,27001000000.00
2005-11-01,26004000000.00
2005-12-01,28044000000.00
2006-01-01,27517000000.00
2006-02-01,26679000000.00
2006-03-01,31568000000.00
2006-04-01,28537000000.00
2006-05-01,29402000000.00
2006-06-01,30000000000.00
2006-07-01,26388000000.00
2006-08-01,26969000000.00
2006-09-01,29090000000.00
2006-10-01,31513000000.00
2006-11-01,26699000000.00
2006-12-01,30259000000.00
2007-01-01,27090000000.00
2007-02-01,27373000000.00
2007-03-01,34669000000.00
2007-04-01,31205000000.00
2007-05-01,29190000000.00
2007-06-01,30970000000.00
2007-07-01,30130000000.00
2007-08-01,30319000000.00
2007-09-01,30102000000.00
2007-10-01,31547000000.00
2007-11-01,28128000000.00
2007-12-01,31978000000.00
2008-01-01,31672000000.00
2008-02-01,29200000000.00
2008-03-01,35332000000.00
2008-04-01,35007000000.00
2008-05-01,31332000000.00
2008-06-01,31911000000.00
2008-07-01,31858000000.00
2008-08-01,28970000000.00
2008-09-01,31622000000.00
2008-10-01,28636000000.00
2008-11-01,24439000000.00
2008-12-01,24123000000.00
2009-01-01,19624000000.00
2009-02-01,19833000000.00
2009-03-01,21984000000.00
2009-04-01,20590000000.00
2009-05-01,20462000000.00
2009-06-01,23240000000.00
2009-07-01,21041000000.00
2009-08-01,20258000000.00
2009-09-01,24399000000.00
2009-10-01,22506000000.00
2009-11-01,20848000000.00
2009-12-01,24801000000.00
2010-01-01,21569000000.00
2010-02-01,23684000000.00
2010-03-01,30267000000.00
2010-04-01,24794000000.00
2010-05-01,29359000000.00
2010-06-01,32226000000.00
2010-07-01,26005000000.00
2010-08-01,27632000000.00
2010-09-01,30701000000.00
2010-10-01,27929000000.00
2010-11-01,27179000000.00
2010-12-01,32570000000.00
2011-01-01,27938000000.00
2011-02-01,27154000000.00
2011-03-01,34528000000.00
2011-04-01,32012000000.00
2011-05-01,32810000000.00
