Date,LFWA64TTUSQ647N
1960-01-01,101480666.67
1960-04-01,101758333.33
1960-07-01,102043666.67
1960-10-01,102350333.33
1961-01-01,102706000.00
1961-04-01,103002333.33
1961-07-01,103270666.67
1961-10-01,103358000.00
1962-01-01,103473000.00
1962-04-01,103124666.67
1962-07-01,103603333.33
1962-10-01,104194000.00
1963-01-01,104732333.33
1963-04-01,105223666.67
1963-07-01,105727666.67
1963-10-01,106198000.00
1964-01-01,106661666.67
1964-04-01,107098666.67
1964-07-01,107555666.67
1964-10-01,108019000.00
1965-01-01,108482333.33
1965-04-01,108939666.67
1965-07-01,109282000.00
1965-10-01,109615666.67
1966-01-01,109895333.33
1966-04-01,110193000.00
1966-07-01,110492333.33
1966-10-01,110784666.67
1967-01-01,111136000.00
1967-04-01,111548333.33
1967-07-01,112099333.33
1967-10-01,112590666.67
1968-01-01,113038333.33
1968-04-01,113432000.00
1968-07-01,113869666.67
1968-10-01,114412666.67
1969-01-01,114949666.67
1969-04-01,115410333.33
1969-07-01,115896333.33
1969-10-01,116448666.67
1970-01-01,117082333.33
1970-04-01,117730000.00
1970-07-01,118402666.67
1970-10-01,119095000.00
1971-01-01,119778000.00
1971-04-01,120475000.00
1971-07-01,121153000.00
1971-10-01,121833000.00
1972-01-01,123120333.33
1972-04-01,123811333.33
1972-07-01,124453666.67
1972-10-01,125023333.33
1973-01-01,125697000.00
1973-04-01,126404666.67
1973-07-01,127045333.33
1973-10-01,127685333.33
1974-01-01,128247000.00
1974-04-01,128877000.00
1974-07-01,129492666.67
1974-10-01,130086333.33
1975-01-01,130681333.33
1975-04-01,131269000.00
1975-07-01,131974333.33
1975-10-01,132583666.67
1976-01-01,133188666.67
1976-04-01,133769333.33
1976-07-01,134378333.33
1976-10-01,134929000.00
1977-01-01,135533000.00
1977-04-01,136139666.67
1977-07-01,136758000.00
1977-10-01,137314000.00
1978-01-01,137877666.67
1978-04-01,138447333.33
1978-07-01,139030666.67
1978-10-01,139622000.00
1979-01-01,140223666.67
1979-04-01,140768666.67
1979-07-01,141360000.00
1979-10-01,142037333.33
1980-01-01,142614000.00
1980-04-01,143142000.00
1980-07-01,143690000.00
1980-10-01,144135000.00
1981-01-01,144625000.00
1981-04-01,145070333.33
1981-07-01,145499000.00
1981-10-01,145925333.33
1982-01-01,146310666.67
1982-04-01,146699333.33
1982-07-01,147069000.00
1982-10-01,147456000.00
1983-01-01,147805666.67
1983-04-01,148146333.33
1983-07-01,148497000.00
1983-10-01,148843333.33
1984-01-01,149449000.00
1984-04-01,149774666.67
1984-07-01,150101666.67
1984-10-01,150473666.67
1985-01-01,150731333.33
1985-04-01,151036666.67
1985-07-01,151343666.67
1985-10-01,151720666.67
1986-01-01,152569333.33
1986-04-01,152888000.00
1986-07-01,153258000.00
1986-10-01,153645666.67
1987-01-01,154106666.67
1987-04-01,154485666.67
1987-07-01,154825000.00
1987-10-01,155160000.00
1988-01-01,155502000.00
1988-04-01,155839000.00
1988-07-01,156205666.67
1988-10-01,156456333.33
1989-01-01,156816666.67
1989-04-01,157060000.00
1989-07-01,157381000.00
1989-10-01,157627666.67
1990-01-01,159447333.33
1990-04-01,159722333.33
1990-07-01,160045333.33
1990-10-01,160454000.00
1991-01-01,160719666.67
1991-04-01,161026333.33
1991-07-01,161364000.00
1991-10-01,161788666.67
1992-01-01,162074666.67
1992-04-01,162369000.00
1992-07-01,162801000.00
1992-10-01,163261666.67
1993-01-01,163609333.33
1993-04-01,163956000.00
1993-07-01,164385000.00
1993-10-01,164864333.33
1994-01-01,165234000.00
1994-04-01,165582333.33
1994-07-01,165951333.33
1994-10-01,166439333.33
1995-01-01,166582666.67
1995-04-01,166903666.67
1995-07-01,167306333.33
1995-10-01,167753333.33
1996-01-01,168093000.00
1996-04-01,168607000.00
1996-07-01,169081333.33
1996-10-01,169575666.67
1997-01-01,170458000.00
1997-04-01,170924000.00
1997-07-01,171343333.33
1997-10-01,171851000.00
1998-01-01,172233666.67
1998-04-01,172728333.33
1998-07-01,173183333.33
1998-10-01,173785333.33
1999-01-01,174507666.67
1999-04-01,174988000.00
1999-07-01,175480000.00
1999-10-01,176100666.67
2000-01-01,178274333.33
2000-04-01,178789333.33
2000-07-01,179399666.67
2000-10-01,179977666.67
2001-01-01,180499333.33
2001-04-01,181074333.33
2001-07-01,181771000.00
2001-10-01,182338000.00
2002-01-01,182898000.00
2002-04-01,183448000.00
2002-07-01,184092000.00
2002-10-01,184609000.00
2003-01-01,185983333.33
2003-04-01,186586333.33
2003-07-01,187223666.67
2003-10-01,187864333.33
2004-01-01,187892333.33
2004-04-01,188434333.33
2004-07-01,189023666.67
2004-10-01,189642000.00
2005-01-01,190112666.67
