Date,CAPUTLB5610CS
1967-01-01,84.17
1967-02-01,82.40
1967-03-01,81.19
1967-04-01,81.02
1967-05-01,79.66
1967-06-01,79.46
1967-07-01,80.34
1967-08-01,81.06
1967-09-01,80.47
1967-10-01,81.15
1967-11-01,81.11
1967-12-01,81.50
1968-01-01,81.75
1968-02-01,82.15
1968-03-01,82.97
1968-04-01,83.10
1968-05-01,83.50
1968-06-01,83.55
1968-07-01,84.16
1968-08-01,84.41
1968-09-01,83.83
1968-10-01,82.69
1968-11-01,83.85
1968-12-01,83.71
1969-01-01,84.25
1969-02-01,84.47
1969-03-01,84.01
1969-04-01,84.95
1969-05-01,85.49
1969-06-01,86.35
1969-07-01,85.21
1969-08-01,85.51
1969-09-01,85.66
1969-10-01,85.75
1969-11-01,85.81
1969-12-01,86.17
1970-01-01,85.39
1970-02-01,85.53
1970-03-01,84.63
1970-04-01,84.34
1970-05-01,83.90
1970-06-01,83.82
1970-07-01,83.36
1970-08-01,83.75
1970-09-01,84.90
1970-10-01,85.50
1970-11-01,85.29
1970-12-01,84.72
1971-01-01,83.98
1971-02-01,83.21
1971-03-01,83.32
1971-04-01,83.47
1971-05-01,83.45
1971-06-01,84.32
1971-07-01,82.58
1971-08-01,84.16
1971-09-01,84.25
1971-10-01,81.34
1971-11-01,82.87
1971-12-01,85.81
1972-01-01,87.13
1972-02-01,86.82
1972-03-01,87.90
1972-04-01,88.46
1972-05-01,88.28
1972-06-01,88.80
1972-07-01,88.23
1972-08-01,88.77
1972-09-01,88.54
1972-10-01,88.99
1972-11-01,89.19
1972-12-01,89.32
1973-01-01,89.39
1973-02-01,89.81
1973-03-01,88.85
1973-04-01,89.05
1973-05-01,89.37
1973-06-01,89.10
1973-07-01,90.17
1973-08-01,90.56
1973-09-01,90.06
1973-10-01,90.98
1973-11-01,91.14
1973-12-01,92.04
1974-01-01,92.54
1974-02-01,92.92
1974-03-01,92.90
1974-04-01,92.51
1974-05-01,92.80
1974-06-01,91.71
1974-07-01,92.43
1974-08-01,90.16
1974-09-01,90.99
1974-10-01,91.11
1974-11-01,85.84
1974-12-01,85.81
1975-01-01,87.94
1975-02-01,86.27
1975-03-01,83.41
1975-04-01,82.65
1975-05-01,81.96
1975-06-01,83.36
1975-07-01,82.03
1975-08-01,82.74
1975-09-01,83.20
1975-10-01,83.89
1975-11-01,84.67
1975-12-01,85.91
1976-01-01,86.88
1976-02-01,87.28
1976-03-01,86.54
1976-04-01,87.24
1976-05-01,86.99
1976-06-01,86.78
1976-07-01,85.90
1976-08-01,87.13
1976-09-01,87.12
1976-10-01,86.98
1976-11-01,87.31
1976-12-01,88.24
1977-01-01,86.84
1977-02-01,89.00
1977-03-01,90.38
1977-04-01,90.11
1977-05-01,90.53
1977-06-01,89.99
1977-07-01,89.95
1977-08-01,88.54
1977-09-01,90.31
1977-10-01,89.52
1977-11-01,89.48
1977-12-01,84.37
1978-01-01,83.40
1978-02-01,82.44
1978-03-01,84.86
1978-04-01,90.69
1978-05-01,91.33
1978-06-01,91.10
1978-07-01,90.95
1978-08-01,89.73
1978-09-01,89.01
1978-10-01,90.65
1978-11-01,90.43
1978-12-01,89.95
1979-01-01,88.75
1979-02-01,89.01
1979-03-01,89.27
1979-04-01,90.46
1979-05-01,89.79
1979-06-01,89.57
1979-07-01,89.48
1979-08-01,90.35
1979-09-01,89.67
1979-10-01,90.74
1979-11-01,91.24
1979-12-01,91.22
1980-01-01,91.85
1980-02-01,91.00
1980-03-01,91.28
1980-04-01,90.31
1980-05-01,89.81
1980-06-01,89.39
1980-07-01,87.80
1980-08-01,86.58
1980-09-01,88.08
1980-10-01,87.44
1980-11-01,88.97
1980-12-01,90.54
1981-01-01,89.36
1981-02-01,89.95
1981-03-01,90.46
1981-04-01,86.83
1981-05-01,87.00
1981-06-01,89.59
1981-07-01,91.55
1981-08-01,91.37
1981-09-01,90.54
1981-10-01,89.49
1981-11-01,88.36
1981-12-01,87.43
1982-01-01,86.35
1982-02-01,87.38
1982-03-01,86.41
1982-04-01,84.36
1982-05-01,82.98
1982-06-01,82.04
1982-07-01,80.91
1982-08-01,80.73
1982-09-01,79.76
1982-10-01,79.56
1982-11-01,79.41
1982-12-01,78.17
1983-01-01,79.65
1983-02-01,78.46
1983-03-01,77.71
1983-04-01,78.80
1983-05-01,78.72
1983-06-01,78.74
1983-07-01,79.54
1983-08-01,80.41
1983-09-01,81.07
1983-10-01,82.17
1983-11-01,82.25
1983-12-01,81.45
1984-01-01,84.72
1984-02-01,84.21
1984-03-01,83.87
1984-04-01,85.51
1984-05-01,86.43
1984-06-01,86.80
1984-07-01,87.98
1984-08-01,86.98
1984-09-01,87.59
1984-10-01,85.01
1984-11-01,85.15
1984-12-01,85.17
1985-01-01,83.58
1985-02-01,84.75
1985-03-01,84.99
1985-04-01,84.78
1985-05-01,84.89
1985-06-01,84.59
1985-07-01,83.46
1985-08-01,82.81
1985-09-01,83.67
1985-10-01,83.12
1985-11-01,82.03
1985-12-01,83.32
1986-01-01,83.24
1986-02-01,82.45
1986-03-01,80.69
1986-04-01,78.76
1986-05-01,78.69
1986-06-01,78.26
1986-07-01,77.78
1986-08-01,77.79
1986-09-01,77.15
1986-10-01,77.86
1986-11-01,78.72
1986-12-01,79.10
1987-01-01,79.78
1987-02-01,80.01
1987-03-01,79.91
1987-04-01,81.16
1987-05-01,81.34
1987-06-01,82.07
1987-07-01,82.71
1987-08-01,84.18
1987-09-01,84.91
1987-10-01,85.24
1987-11-01,86.24
1987-12-01,86.54
1988-01-01,85.52
1988-02-01,85.81
1988-03-01,86.22
1988-04-01,86.39
1988-05-01,86.23
1988-06-01,86.84
1988-07-01,86.83
1988-08-01,86.79
1988-09-01,86.06
1988-10-01,86.05
1988-11-01,86.32
1988-12-01,86.92
1989-01-01,86.55
1989-02-01,85.95
1989-03-01,86.74
1989-04-01,87.33
1989-05-01,86.98
1989-06-01,86.46
1989-07-01,86.40
1989-08-01,86.99
1989-09-01,87.11
1989-10-01,87.24
1989-11-01,87.80
1989-12-01,85.62
1990-01-01,88.32
1990-02-01,88.23
1990-03-01,87.91
1990-04-01,88.24
1990-05-01,87.90
1990-06-01,87.57
1990-07-01,88.18
1990-08-01,87.73
1990-09-01,87.67
1990-10-01,88.10
1990-11-01,87.58
1990-12-01,87.18
1991-01-01,86.56
1991-02-01,86.89
1991-03-01,86.01
1991-04-01,85.52
1991-05-01,85.21
1991-06-01,85.28
1991-07-01,85.17
1991-08-01,85.07
1991-09-01,85.27
1991-10-01,85.53
1991-11-01,84.72
1991-12-01,85.31
1992-01-01,85.45
1992-02-01,84.49
1992-03-01,85.39
1992-04-01,86.19
1992-05-01,85.57
1992-06-01,86.04
1992-07-01,86.90
1992-08-01,85.11
1992-09-01,86.26
1992-10-01,86.33
1992-11-01,86.33
1992-12-01,86.33
1993-01-01,86.18
1993-02-01,86.18
1993-03-01,85.31
1993-04-01,85.81
1993-05-01,85.30
1993-06-01,85.69
1993-07-01,84.78
1993-08-01,84.84
1993-09-01,85.38
1993-10-01,86.58
1993-11-01,86.90
1993-12-01,86.81
1994-01-01,86.02
1994-02-01,86.91
1994-03-01,88.32
1994-04-01,87.39
1994-05-01,87.67
1994-06-01,87.86
1994-07-01,87.67
1994-08-01,88.42
1994-09-01,88.44
1994-10-01,87.71
1994-11-01,88.44
1994-12-01,89.13
1995-01-01,89.54
1995-02-01,89.47
1995-03-01,88.95
1995-04-01,89.30
1995-05-01,89.68
1995-06-01,89.40
1995-07-01,89.97
1995-08-01,88.59
1995-09-01,88.67
1995-10-01,88.40
1995-11-01,88.21
1995-12-01,87.52
1996-01-01,86.99
1996-02-01,87.47
1996-03-01,88.25
1996-04-01,88.91
1996-05-01,88.78
1996-06-01,89.78
1996-07-01,89.84
1996-08-01,89.89
1996-09-01,89.72
1996-10-01,89.63
1996-11-01,89.47
1996-12-01,90.22
1997-01-01,89.67
1997-02-01,90.97
1997-03-01,90.92
1997-04-01,90.63
1997-05-01,91.16
1997-06-01,90.26
1997-07-01,90.62
1997-08-01,90.51
1997-09-01,90.80
1997-10-01,89.89
1997-11-01,89.53
1997-12-01,90.07
1998-01-01,90.92
1998-02-01,89.89
1998-03-01,88.48
1998-04-01,88.65
1998-05-01,88.75
1998-06-01,87.63
1998-07-01,86.64
1998-08-01,86.07
1998-09-01,84.18
1998-10-01,84.91
1998-11-01,84.35
1998-12-01,83.94
1999-01-01,84.44
1999-02-01,84.46
1999-03-01,84.88
1999-04-01,85.04
1999-05-01,86.13
1999-06-01,85.82
1999-07-01,85.81
1999-08-01,85.72
1999-09-01,86.24
1999-10-01,87.15
1999-11-01,88.35
1999-12-01,88.92
2000-01-01,88.00
2000-02-01,88.34
2000-03-01,89.23
2000-04-01,88.66
2000-05-01,88.44
2000-06-01,88.68
2000-07-01,88.25
2000-08-01,88.72
2000-09-01,88.84
2000-10-01,89.06
2000-11-01,88.40
2000-12-01,87.81
2001-01-01,87.30
2001-02-01,87.72
2001-03-01,87.04
2001-04-01,86.85
2001-05-01,85.97
2001-06-01,84.72
2001-07-01,84.52
2001-08-01,84.76
2001-09-01,85.23
2001-10-01,84.67
2001-11-01,84.12
2001-12-01,82.78
2002-01-01,83.01
2002-02-01,82.82
2002-03-01,82.03
2002-04-01,82.69
2002-05-01,83.57
2002-06-01,83.53
2002-07-01,83.49
2002-08-01,83.83
2002-09-01,82.88
2002-10-01,81.99
2002-11-01,83.81
2002-12-01,84.50
2003-01-01,84.71
2003-02-01,84.73
2003-03-01,85.11
2003-04-01,84.83
2003-05-01,84.40
2003-06-01,84.92
2003-07-01,84.41
2003-08-01,85.25
2003-09-01,85.64
2003-10-01,85.59
2003-11-01,85.29
2003-12-01,85.24
2004-01-01,85.91
2004-02-01,85.33
2004-03-01,85.49
2004-04-01,85.75
2004-05-01,85.98
2004-06-01,86.01
2004-07-01,87.52
2004-08-01,87.00
2004-09-01,85.54
2004-10-01,86.76
2004-11-01,88.25
2004-12-01,88.87
2005-01-01,88.42
2005-02-01,89.59
2005-03-01,89.71
2005-04-01,89.65
2005-05-01,88.80
2005-06-01,88.57
2005-07-01,88.65
2005-08-01,87.70
2005-09-01,78.10
2005-10-01,80.59
2005-11-01,84.15
2005-12-01,85.58
2006-01-01,87.48
2006-02-01,87.00
2006-03-01,87.00
2006-04-01,87.61
2006-05-01,87.96
2006-06-01,88.30
2006-07-01,88.71
2006-08-01,88.63
2006-09-01,88.69
2006-10-01,88.86
2006-11-01,87.60
2006-12-01,88.71
2007-01-01,87.57
2007-02-01,88.08
2007-03-01,88.12
2007-04-01,88.40
2007-05-01,88.85
2007-06-01,88.39
2007-07-01,88.41
2007-08-01,88.32
2007-09-01,88.73
2007-10-01,88.47
2007-11-01,89.97
2007-12-01,90.42
2008-01-01,89.95
2008-02-01,89.78
2008-03-01,90.39
2008-04-01,90.16
2008-05-01,89.83
2008-06-01,89.50
2008-07-01,90.90
2008-08-01,89.19
2008-09-01,78.51
2008-10-01,84.98
2008-11-01,85.11
2008-12-01,82.13
2009-01-01,80.83
2009-02-01,80.05
2009-03-01,77.67
2009-04-01,76.95
2009-05-01,76.82
2009-06-01,76.38
2009-07-01,77.01
2009-08-01,77.79
2009-09-01,77.81
2009-10-01,77.90
2009-11-01,78.16
2009-12-01,77.85
2010-01-01,79.55
2010-02-01,80.91
2010-03-01,81.80
2010-04-01,82.60
2010-05-01,82.75
2010-06-01,83.19
2010-07-01,83.75
2010-08-01,84.54
2010-09-01,85.47
2010-10-01,85.02
2010-11-01,84.46
2010-12-01,84.96
2011-01-01,84.61
2011-02-01,82.90
2011-03-01,84.97
2011-04-01,84.59
2011-05-01,84.47
2011-06-01,84.42
2011-07-01,83.64
2011-08-01,84.31
2011-09-01,83.95
2011-10-01,85.21
2011-11-01,85.25
2011-12-01,85.41
2012-01-01,86.32
2012-02-01,85.57
2012-03-01,85.32
2012-04-01,85.24
2012-05-01,84.98
2012-06-01,84.97
2012-07-01,85.35
2012-08-01,84.50
2012-09-01,85.11
2012-10-01,85.94
2012-11-01,85.90
2012-12-01,85.71
2013-01-01,85.36
2013-02-01,85.48
2013-03-01,85.50
2013-04-01,85.71
2013-05-01,86.04
2013-06-01,85.95
2013-07-01,86.24
2013-08-01,86.28
2013-09-01,86.66
2013-10-01,85.32
2013-11-01,85.68
2013-12-01,85.55
2014-01-01,85.92
2014-02-01,86.41
2014-03-01,87.37
2014-04-01,88.79
2014-05-01,88.65
2014-06-01,89.10
2014-07-01,89.18
2014-08-01,89.25
2014-09-01,89.14
2014-10-01,88.86
2014-11-01,88.12
2014-12-01,88.84
2015-01-01,87.14
2015-02-01,85.52
2015-03-01,84.07
2015-04-01,83.47
2015-05-01,82.30
2015-06-01,81.43
2015-07-01,81.99
2015-08-01,82.36
2015-09-01,82.00
2015-10-01,81.27
2015-11-01,80.46
2015-12-01,79.89
2016-01-01,79.63
2016-02-01,79.11
2016-03-01,78.33
2016-04-01,77.24
2016-05-01,77.80
2016-06-01,77.53
2016-07-01,77.88
2016-08-01,77.84
2016-09-01,77.94
2016-10-01,79.17
2016-11-01,79.49
2016-12-01,79.49
2017-01-01,80.35
2017-02-01,81.45
2017-03-01,82.08
2017-04-01,83.44
2017-05-01,83.98
2017-06-01,84.69
2017-07-01,84.76
2017-08-01,83.45
2017-09-01,82.45
2017-10-01,85.38
2017-11-01,86.73
2017-12-01,86.93
2018-01-01,85.38
2018-02-01,87.00
2018-03-01,88.00
