Date,RETAILIMNSA
1992-01-01,235509000000.00
1992-02-01,239270000000.00
1992-03-01,244966000000.00
1992-04-01,249466000000.00
1992-05-01,247282000000.00
1992-06-01,246247000000.00
1992-07-01,248181000000.00
1992-08-01,247620000000.00
1992-09-01,254494000000.00
1992-10-01,269112000000.00
1992-11-01,275486000000.00
1992-12-01,256167000000.00
1993-01-01,254932000000.00
1993-02-01,260480000000.00
1993-03-01,268674000000.00
1993-04-01,269954000000.00
1993-05-01,268091000000.00
1993-06-01,265381000000.00
1993-07-01,263236000000.00
1993-08-01,263378000000.00
1993-09-01,272037000000.00
1993-10-01,288844000000.00
1993-11-01,296849000000.00
1993-12-01,274072000000.00
1994-01-01,270128000000.00
1994-02-01,275147000000.00
1994-03-01,280637000000.00
1994-04-01,283065000000.00
1994-05-01,285703000000.00
1994-06-01,286183000000.00
1994-07-01,282611000000.00
1994-08-01,288275000000.00
1994-09-01,299464000000.00
1994-10-01,317119000000.00
1994-11-01,324979000000.00
1994-12-01,299812000000.00
1995-01-01,300358000000.00
1995-02-01,306330000000.00
1995-03-01,313577000000.00
1995-04-01,317499000000.00
1995-05-01,316421000000.00
1995-06-01,312495000000.00
1995-07-01,307463000000.00
1995-08-01,311013000000.00
1995-09-01,319667000000.00
1995-10-01,340454000000.00
1995-11-01,349546000000.00
1995-12-01,317304000000.00
1996-01-01,314998000000.00
1996-02-01,319748000000.00
1996-03-01,321741000000.00
1996-04-01,323805000000.00
1996-05-01,322877000000.00
1996-06-01,318780000000.00
1996-07-01,318297000000.00
1996-08-01,321058000000.00
1996-09-01,331094000000.00
1996-10-01,352641000000.00
1996-11-01,357896000000.00
1996-12-01,328160000000.00
1997-01-01,324554000000.00
1997-02-01,330892000000.00
1997-03-01,334058000000.00
1997-04-01,337818000000.00
1997-05-01,334627000000.00
1997-06-01,331608000000.00
1997-07-01,328950000000.00
1997-08-01,328574000000.00
1997-09-01,341386000000.00
1997-10-01,361109000000.00
1997-11-01,367252000000.00
1997-12-01,338790000000.00
1998-01-01,335808000000.00
1998-02-01,341194000000.00
1998-03-01,349082000000.00
1998-04-01,352237000000.00
1998-05-01,343885000000.00
1998-06-01,339989000000.00
1998-07-01,336653000000.00
1998-08-01,338086000000.00
1998-09-01,351343000000.00
1998-10-01,371435000000.00
1998-11-01,380307000000.00
1998-12-01,351255000000.00
1999-01-01,349711000000.00
1999-02-01,355880000000.00
1999-03-01,366725000000.00
1999-04-01,371193000000.00
1999-05-01,367118000000.00
1999-06-01,366068000000.00
1999-07-01,359418000000.00
1999-08-01,361957000000.00
1999-09-01,374507000000.00
1999-10-01,394815000000.00
1999-11-01,406487000000.00
1999-12-01,378813000000.00
2000-01-01,375973000000.00
2000-02-01,380272000000.00
2000-03-01,388376000000.00
2000-04-01,390976000000.00
2000-05-01,390774000000.00
2000-06-01,391016000000.00
2000-07-01,381644000000.00
2000-08-01,388223000000.00
2000-09-01,398872000000.00
2000-10-01,423602000000.00
2000-11-01,433460000000.00
2000-12-01,400394000000.00
2001-01-01,398355000000.00
2001-02-01,399181000000.00
2001-03-01,405689000000.00
2001-04-01,406537000000.00
2001-05-01,402962000000.00
2001-06-01,397969000000.00
2001-07-01,390473000000.00
2001-08-01,395505000000.00
2001-09-01,405773000000.00
2001-10-01,417028000000.00
2001-11-01,420402000000.00
2001-12-01,387859000000.00
2002-01-01,388015000000.00
2002-02-01,393294000000.00
2002-03-01,398361000000.00
2002-04-01,399291000000.00
2002-05-01,399389000000.00
2002-06-01,396142000000.00
2002-07-01,391803000000.00
2002-08-01,392198000000.00
2002-09-01,407598000000.00
2002-10-01,431650000000.00
2002-11-01,441616000000.00
2002-12-01,409314000000.00
