Date,RETAILIMNSA
2003-01-01,409406000000.00
2003-02-01,417272000000.00
2003-03-01,426459000000.00
2003-04-01,428280000000.00
2003-05-01,421369000000.00
2003-06-01,417894000000.00
2003-07-01,409708000000.00
2003-08-01,405368000000.00
2003-09-01,421300000000.00
2003-10-01,446780000000.00
2003-11-01,458308000000.00
2003-12-01,425748000000.00
2004-01-01,423956000000.00
2004-02-01,431293000000.00
2004-03-01,444555000000.00
2004-04-01,451275000000.00
2004-05-01,445768000000.00
2004-06-01,446706000000.00
2004-07-01,439393000000.00
2004-08-01,442013000000.00
2004-09-01,452383000000.00
2004-10-01,474462000000.00
2004-11-01,488981000000.00
2004-12-01,454848000000.00
2005-01-01,452143000000.00
2005-02-01,458007000000.00
2005-03-01,468464000000.00
2005-04-01,470285000000.00
2005-05-01,464629000000.00
2005-06-01,457476000000.00
2005-07-01,439234000000.00
2005-08-01,442290000000.00
2005-09-01,458364000000.00
2005-10-01,482607000000.00
2005-11-01,497514000000.00
2005-12-01,465842000000.00
2006-01-01,465210000000.00
2006-02-01,467876000000.00
2006-03-01,482493000000.00
2006-04-01,481943000000.00
2006-05-01,482654000000.00
2006-06-01,483167000000.00
2006-07-01,471583000000.00
2006-08-01,473366000000.00
2006-09-01,483912000000.00
2006-10-01,507177000000.00
2006-11-01,516150000000.00
2006-12-01,480436000000.00
2007-01-01,478430000000.00
2007-02-01,483514000000.00
2007-03-01,489136000000.00
2007-04-01,492870000000.00
2007-05-01,489960000000.00
2007-06-01,489747000000.00
2007-07-01,483441000000.00
2007-08-01,486397000000.00
2007-09-01,498085000000.00
2007-10-01,523858000000.00
2007-11-01,532278000000.00
2007-12-01,494526000000.00
2008-01-01,492977000000.00
2008-02-01,496684000000.00
2008-03-01,499493000000.00
2008-04-01,502226000000.00
2008-05-01,494369000000.00
2008-06-01,490604000000.00
2008-07-01,487669000000.00
2008-08-01,483164000000.00
2008-09-01,495503000000.00
2008-10-01,518503000000.00
2008-11-01,516639000000.00
2008-12-01,471516000000.00
2009-01-01,459057000000.00
2009-02-01,456342000000.00
2009-03-01,458030000000.00
2009-04-01,453588000000.00
2009-05-01,439808000000.00
2009-06-01,432994000000.00
2009-07-01,423409000000.00
2009-08-01,414060000000.00
2009-09-01,427996000000.00
2009-10-01,450794000000.00
2009-11-01,457101000000.00
2009-12-01,423628000000.00
2010-01-01,420088000000.00
2010-02-01,423846000000.00
2010-03-01,433370000000.00
2010-04-01,435941000000.00
2010-05-01,431179000000.00
2010-06-01,434231000000.00
2010-07-01,432911000000.00
2010-08-01,438442000000.00
2010-09-01,454576000000.00
2010-10-01,474827000000.00
2010-11-01,481919000000.00
2010-12-01,449059000000.00
2011-01-01,445729000000.00
2011-02-01,445510000000.00
2011-03-01,458201000000.00
2011-04-01,459739000000.00
2011-05-01,456571000000.00
2011-06-01,454956000000.00
2011-07-01,449000000000.00
2011-08-01,456141000000.00
2011-09-01,469196000000.00
2011-10-01,490782000000.00
2011-11-01,499813000000.00
2011-12-01,465047000000.00
2012-01-01,464974000000.00
2012-02-01,471064000000.00
2012-03-01,479882000000.00
2012-04-01,484334000000.00
2012-05-01,485329000000.00
2012-06-01,485100000000.00
2012-07-01,484370000000.00
2012-08-01,489856000000.00
2012-09-01,502468000000.00
2012-10-01,527565000000.00
2012-11-01,534542000000.00
2012-12-01,499765000000.00
2013-01-01,505490000000.00
2013-02-01,509352000000.00
2013-03-01,511563000000.00
2013-04-01,515525000000.00
2013-05-01,514063000000.00
2013-06-01,511873000000.00
2013-07-01,509793000000.00
2013-08-01,514057000000.00
2013-09-01,532028000000.00
2013-10-01,560270000000.00
2013-11-01,572031000000.00
2013-12-01,537596000000.00
2014-01-01,538673000000.00
2014-02-01,539963000000.00
2014-03-01,544255000000.00
2014-04-01,547466000000.00
2014-05-01,543318000000.00
2014-06-01,542944000000.00
2014-07-01,543407000000.00
2014-08-01,544188000000.00
2014-09-01,559277000000.00
2014-10-01,585945000000.00
2014-11-01,588758000000.00
2014-12-01,554531000000.00
2015-01-01,552709000000.00
2015-02-01,556738000000.00
2015-03-01,561626000000.00
2015-04-01,568340000000.00
2015-05-01,559931000000.00
2015-06-01,562966000000.00
2015-07-01,561713000000.00
2015-08-01,565094000000.00
2015-09-01,586367000000.00
2015-10-01,612052000000.00
2015-11-01,617472000000.00
2015-12-01,581361000000.00
2016-01-01,581540000000.00
2016-02-01,586502000000.00
2016-03-01,598097000000.00
2016-04-01,598800000000.00
2016-05-01,594414000000.00
2016-06-01,596254000000.00
2016-07-01,588226000000.00
2016-08-01,593628000000.00
2016-09-01,612364000000.00
2016-10-01,632759000000.00
2016-11-01,643641000000.00
2016-12-01,605261000000.00
2017-01-01,607864000000.00
2017-02-01,611916000000.00
2017-03-01,621080000000.00
2017-04-01,617800000000.00
2017-05-01,613968000000.00
2017-06-01,617971000000.00
2017-07-01,608301000000.00
2017-08-01,616362000000.00
2017-09-01,625564000000.00
2017-10-01,649078000000.00
2017-11-01,656199000000.00
2017-12-01,619516000000.00
2018-01-01,622946000000.00
2018-02-01,629605000000.00
2018-03-01,630526000000.00
2018-04-01,633099000000.00
