Date,UDEFVS
1992-01-01,6525000000.00
1992-02-01,8222000000.00
1992-03-01,8546000000.00
1992-04-01,7727000000.00
1992-05-01,7717000000.00
1992-06-01,8305000000.00
1992-07-01,7129000000.00
1992-08-01,7671000000.00
1992-09-01,8479000000.00
1992-10-01,7373000000.00
1992-11-01,7911000000.00
1992-12-01,9178000000.00
1993-01-01,6194000000.00
1993-02-01,7213000000.00
1993-03-01,7837000000.00
1993-04-01,7006000000.00
1993-05-01,7116000000.00
1993-06-01,7788000000.00
1993-07-01,6811000000.00
1993-08-01,6836000000.00
1993-09-01,7662000000.00
1993-10-01,7469000000.00
1993-11-01,7412000000.00
1993-12-01,7640000000.00
1994-01-01,5711000000.00
1994-02-01,6423000000.00
1994-03-01,6879000000.00
1994-04-01,6360000000.00
1994-05-01,6579000000.00
1994-06-01,6730000000.00
1994-07-01,6113000000.00
1994-08-01,6545000000.00
1994-09-01,6858000000.00
1994-10-01,6469000000.00
1994-11-01,6690000000.00
1994-12-01,6875000000.00
1995-01-01,5707000000.00
1995-02-01,6190000000.00
1995-03-01,6769000000.00
1995-04-01,6219000000.00
1995-05-01,6293000000.00
1995-06-01,6701000000.00
1995-07-01,5494000000.00
1995-08-01,6260000000.00
1995-09-01,6966000000.00
1995-10-01,5939000000.00
1995-11-01,6116000000.00
1995-12-01,6935000000.00
1996-01-01,5363000000.00
1996-02-01,6258000000.00
1996-03-01,6698000000.00
1996-04-01,5723000000.00
1996-05-01,6054000000.00
1996-06-01,6595000000.00
1996-07-01,5317000000.00
1996-08-01,5973000000.00
1996-09-01,6547000000.00
1996-10-01,5642000000.00
1996-11-01,6402000000.00
1996-12-01,7131000000.00
1997-01-01,5118000000.00
1997-02-01,6483000000.00
1997-03-01,6772000000.00
1997-04-01,6261000000.00
1997-05-01,6233000000.00
1997-06-01,7079000000.00
1997-07-01,5796000000.00
1997-08-01,5903000000.00
1997-09-01,6483000000.00
1997-10-01,6425000000.00
1997-11-01,6766000000.00
1997-12-01,6942000000.00
1998-01-01,4963000000.00
1998-02-01,6594000000.00
1998-03-01,6506000000.00
1998-04-01,6198000000.00
1998-05-01,6148000000.00
1998-06-01,6378000000.00
1998-07-01,5403000000.00
1998-08-01,6059000000.00
1998-09-01,6572000000.00
1998-10-01,6464000000.00
1998-11-01,6534000000.00
1998-12-01,6871000000.00
1999-01-01,4978000000.00
1999-02-01,6118000000.00
1999-03-01,6656000000.00
1999-04-01,5639000000.00
1999-05-01,5835000000.00
1999-06-01,6007000000.00
1999-07-01,5222000000.00
1999-08-01,5609000000.00
1999-09-01,6183000000.00
1999-10-01,5666000000.00
1999-11-01,6771000000.00
1999-12-01,6271000000.00
2000-01-01,4566000000.00
2000-02-01,5403000000.00
2000-03-01,6281000000.00
2000-04-01,5171000000.00
2000-05-01,5345000000.00
2000-06-01,6399000000.00
2000-07-01,4916000000.00
2000-08-01,5220000000.00
2000-09-01,5810000000.00
2000-10-01,5351000000.00
2000-11-01,5905000000.00
2000-12-01,6684000000.00
2001-01-01,4777000000.00
2001-02-01,5301000000.00
2001-03-01,6106000000.00
2001-04-01,5307000000.00
2001-05-01,5857000000.00
2001-06-01,7049000000.00
2001-07-01,5514000000.00
2001-08-01,6125000000.00
2001-09-01,6931000000.00
2001-10-01,6130000000.00
2001-11-01,6397000000.00
2001-12-01,8010000000.00
2002-01-01,5395000000.00
2002-02-01,5584000000.00
2002-03-01,7172000000.00
2002-04-01,5742000000.00
2002-05-01,6149000000.00
2002-06-01,7124000000.00
2002-07-01,5670000000.00
2002-08-01,6012000000.00
2002-09-01,7071000000.00
2002-10-01,6192000000.00
2002-11-01,7147000000.00
2002-12-01,6985000000.00
2003-01-01,5789000000.00
2003-02-01,6510000000.00
2003-03-01,7693000000.00
2003-04-01,6646000000.00
2003-05-01,6921000000.00
2003-06-01,7539000000.00
2003-07-01,6812000000.00
2003-08-01,7103000000.00
2003-09-01,7866000000.00
2003-10-01,7200000000.00
2003-11-01,7018000000.00
2003-12-01,8232000000.00
2004-01-01,6156000000.00
2004-02-01,8486000000.00
2004-03-01,8215000000.00
2004-04-01,7109000000.00
2004-05-01,7643000000.00
2004-06-01,7703000000.00
2004-07-01,7096000000.00
