Date,U34JUO
2008-08-01,42881000000.00
2008-09-01,43715000000.00
2008-10-01,43232000000.00
2008-11-01,43234000000.00
2008-12-01,43817000000.00
2009-01-01,43579000000.00
2009-02-01,44136000000.00
2009-03-01,44728000000.00
2009-04-01,44407000000.00
2009-05-01,43926000000.00
2009-06-01,43637000000.00
2009-07-01,43170000000.00
2009-08-01,42145000000.00
2009-09-01,41783000000.00
2009-10-01,41225000000.00
2009-11-01,40011000000.00
2009-12-01,40053000000.00
2010-01-01,39707000000.00
2010-02-01,39376000000.00
2010-03-01,39807000000.00
2010-04-01,39828000000.00
2010-05-01,39788000000.00
2010-06-01,39935000000.00
2010-07-01,39719000000.00
2010-08-01,39753000000.00
2010-09-01,40739000000.00
2010-10-01,39977000000.00
2010-11-01,39845000000.00
2010-12-01,41693000000.00
2011-01-01,42017000000.00
2011-02-01,43211000000.00
2011-03-01,43588000000.00
2011-04-01,43555000000.00
2011-05-01,43642000000.00
2011-06-01,44199000000.00
2011-07-01,44325000000.00
2011-08-01,44383000000.00
2011-09-01,44883000000.00
2011-10-01,45247000000.00
2011-11-01,45143000000.00
2011-12-01,46322000000.00
2012-01-01,46116000000.00
2012-02-01,46512000000.00
2012-03-01,46683000000.00
2012-04-01,46487000000.00
2012-05-01,45897000000.00
2012-06-01,45434000000.00
2012-07-01,44865000000.00
2012-08-01,44401000000.00
2012-09-01,43850000000.00
2012-10-01,43197000000.00
2012-11-01,42273000000.00
2012-12-01,42682000000.00
2013-01-01,41201000000.00
2013-02-01,40063000000.00
2013-03-01,38990000000.00
2013-04-01,37532000000.00
2013-05-01,36113000000.00
2013-06-01,35468000000.00
2013-07-01,34589000000.00
2013-08-01,33204000000.00
2013-09-01,32495000000.00
2013-10-01,31732000000.00
2013-11-01,30803000000.00
2013-12-01,29749000000.00
2014-01-01,29221000000.00
2014-02-01,28740000000.00
2014-03-01,28937000000.00
2014-04-01,28853000000.00
2014-05-01,28529000000.00
2014-06-01,28689000000.00
2014-07-01,28354000000.00
2014-08-01,27867000000.00
2014-09-01,28277000000.00
2014-10-01,28339000000.00
2014-11-01,27718000000.00
2014-12-01,27708000000.00
2015-01-01,27507000000.00
2015-02-01,27191000000.00
2015-03-01,27677000000.00
2015-04-01,27569000000.00
2015-05-01,27264000000.00
2015-06-01,27087000000.00
2015-07-01,26934000000.00
2015-08-01,26556000000.00
2015-09-01,26781000000.00
2015-10-01,26357000000.00
2015-11-01,25924000000.00
2015-12-01,26614000000.00
2016-01-01,26854000000.00
2016-02-01,27235000000.00
2016-03-01,27761000000.00
2016-04-01,28503000000.00
2016-05-01,28624000000.00
2016-06-01,28809000000.00
2016-07-01,28453000000.00
2016-08-01,28353000000.00
2016-09-01,28703000000.00
2016-10-01,28514000000.00
2016-11-01,28114000000.00
2016-12-01,28717000000.00
2017-01-01,28745000000.00
2017-02-01,28547000000.00
2017-03-01,28911000000.00
2017-04-01,28710000000.00
2017-05-01,28385000000.00
2017-06-01,28270000000.00
2017-07-01,27914000000.00
2017-08-01,27445000000.00
2017-09-01,27661000000.00
2017-10-01,27405000000.00
2017-11-01,26947000000.00
2017-12-01,27205000000.00
2018-01-01,26863000000.00
2018-02-01,26665000000.00
2018-03-01,27292000000.00
2018-04-01,27246000000.00
