Date,A939RX0Q048SBEA
1947-01-01,13513.00
1947-04-01,13437.00
1947-07-01,13362.00
1947-10-01,13510.00
1948-01-01,13649.00
1948-04-01,13816.00
1948-07-01,13834.00
1948-10-01,13784.00
1949-01-01,13537.00
1949-04-01,13438.00
1949-07-01,13528.00
1949-10-01,13346.00
1950-01-01,13819.00
1950-04-01,14186.00
1950-07-01,14670.00
1950-10-01,14886.00
1951-01-01,15029.00
1951-04-01,15229.00
1951-07-01,15472.00
1951-10-01,15433.00
1952-01-01,15532.00
1952-04-01,15503.00
1952-07-01,15548.00
1952-10-01,15985.00
1953-01-01,16221.00
1953-04-01,16287.00
1953-07-01,16122.00
1953-10-01,15803.00
1954-01-01,15664.00
1954-04-01,15617.00
1954-07-01,15722.00
1954-10-01,15951.00
1955-01-01,16338.00
1955-04-01,16537.00
1955-07-01,16684.00
1955-10-01,16703.00
1956-01-01,16568.00
1956-04-01,16637.00
1956-07-01,16546.00
1956-10-01,16733.00
1957-01-01,16770.00
1957-04-01,16664.00
1957-07-01,16751.00
1957-10-01,16505.00
1958-01-01,16016.00
1958-04-01,16060.00
1958-07-01,16360.00
1958-10-01,16666.00
1959-01-01,16908.00
1959-04-01,17253.00
1959-07-01,17146.00
1959-10-01,17138.00
1960-01-01,17380.00
1960-04-01,17253.00
1960-07-01,17223.00
1960-10-01,16938.00
1961-01-01,16986.00
1961-04-01,17236.00
1961-07-01,17450.00
1961-10-01,17728.00
1962-01-01,17983.00
1962-04-01,18113.00
1962-07-01,18215.00
1962-10-01,18212.00
1963-01-01,18354.00
1963-04-01,18534.00
1963-07-01,18823.00
1963-10-01,18885.00
1964-01-01,19233.00
1964-04-01,19401.00
1964-07-01,19593.00
1964-10-01,19593.00
1965-01-01,20021.00
1965-04-01,20240.00
1965-07-01,20582.00
1965-10-01,20999.00
1966-01-01,21464.00
1966-04-01,21496.00
1966-07-01,21583.00
1966-10-01,21701.00
1967-01-01,21847.00
1967-04-01,21812.00
1967-07-01,21939.00
1967-10-01,22053.00
1968-01-01,22454.00
1968-04-01,22781.00
1968-07-01,22883.00
1968-10-01,22923.00
1969-01-01,23231.00
1969-04-01,23252.00
1969-07-01,23332.00
1969-10-01,23162.00
1970-01-01,23064.00
1970-04-01,23033.00
1970-07-01,23159.00
1970-10-01,22841.00
1971-01-01,23381.00
1971-04-01,23447.00
1971-07-01,23557.00
1971-10-01,23554.00
1972-01-01,23919.00
1972-04-01,24415.00
1972-07-01,24576.00
1972-10-01,24918.00
1973-01-01,25477.00
1973-04-01,25708.00
1973-07-01,25505.00
1973-10-01,25680.00
1974-01-01,25415.00
1974-04-01,25427.00
1974-07-01,25117.00
1974-10-01,24952.00
1975-01-01,24601.00
1975-04-01,24731.00
1975-07-01,25065.00
1975-10-01,25338.00
1976-01-01,25854.00
1976-04-01,25994.00
1976-07-01,26059.00
1976-10-01,26186.00
1977-01-01,26429.00
1977-04-01,26883.00
1977-07-01,27282.00
1977-10-01,27207.00
1978-01-01,27238.00
1978-04-01,28225.00
1978-07-01,28418.00
1978-10-01,28715.00
1979-01-01,28699.00
1979-04-01,28659.00
1979-07-01,28778.00
1979-10-01,28763.00
1980-01-01,28775.00
1980-04-01,28113.00
