Date,SLOAS
2006-01-01,480967000000.00
2006-04-01,487126000000.00
2006-07-01,510548500000.00
2006-10-01,521382500000.00
2007-01-01,544988500000.00
2007-04-01,549270800000.00
2007-07-01,577380600000.00
2007-10-01,589489300000.00
2008-01-01,619315900000.00
2008-04-01,626605600000.00
2008-07-01,660584200000.00
2008-10-01,675952600000.00
2009-01-01,707226800000.00
2009-04-01,712319200000.00
2009-07-01,746522500000.00
2009-10-01,771699700000.00
2010-01-01,800069800000.00
2010-04-01,811148800000.00
2010-07-01,845804800000.00
2010-10-01,855483400000.00
2011-01-01,896848400000.00
2011-04-01,905157200000.00
2011-07-01,940339000000.00
2011-10-01,959824000000.00
2012-01-01,994279700000.00
2012-04-01,1011259900000.00
2012-07-01,1041034000000.00
2012-10-01,1054565100000.00
2013-01-01,1092013900000.00
2013-04-01,1099606800000.00
2013-07-01,1134181000000.00
2013-10-01,1145550800000.00
2014-01-01,1182061200000.00
2014-04-01,1190488700000.00
2014-07-01,1226394100000.00
2014-10-01,1236284000000.00
2015-01-01,1272391000000.00
2015-04-01,1278677000000.00
2015-07-01,1311658200000.00
2015-10-01,1320134800000.00
2016-01-01,1357998700000.00
2016-04-01,1365232300000.00
2016-07-01,1398500800000.00
2016-10-01,1407902400000.00
2017-01-01,1443224300000.00
2017-04-01,1448232500000.00
2017-07-01,1480110400000.00
2017-10-01,1490559900000.00
2018-01-01,1521019400000.00
