Date,S424SMM144NCEN
2008-08-01,211574000000.00
2008-09-01,206400000000.00
2008-10-01,205045000000.00
2008-11-01,165404000000.00
2008-12-01,169918000000.00
2009-01-01,160777000000.00
2009-02-01,153043000000.00
2009-03-01,168809000000.00
2009-04-01,171556000000.00
2009-05-01,172127000000.00
2009-06-01,179523000000.00
2009-07-01,177617000000.00
2009-08-01,174667000000.00
2009-09-01,177772000000.00
2009-10-01,183234000000.00
2009-11-01,178732000000.00
2009-12-01,185964000000.00
2010-01-01,175073000000.00
2010-02-01,172556000000.00
2010-03-01,204735000000.00
2010-04-01,198591000000.00
2010-05-01,194155000000.00
2010-06-01,197668000000.00
2010-07-01,191649000000.00
2010-08-01,197576000000.00
2010-09-01,194584000000.00
2010-10-01,201052000000.00
2010-11-01,204240000000.00
2010-12-01,206233000000.00
2011-01-01,202521000000.00
2011-02-01,195296000000.00
2011-03-01,235463000000.00
2011-04-01,225984000000.00
2011-05-01,233582000000.00
2011-06-01,230404000000.00
2011-07-01,213194000000.00
2011-08-01,230603000000.00
2011-09-01,220958000000.00
2011-10-01,224402000000.00
2011-11-01,223023000000.00
2011-12-01,219963000000.00
2012-01-01,219702000000.00
2012-02-01,219234000000.00
2012-03-01,243934000000.00
2012-04-01,243435000000.00
2012-05-01,251078000000.00
2012-06-01,230027000000.00
2012-07-01,227897000000.00
2012-08-01,240268000000.00
2012-09-01,225445000000.00
2012-10-01,247868000000.00
2012-11-01,238466000000.00
2012-12-01,231093000000.00
2013-01-01,235127000000.00
2013-02-01,221918000000.00
2013-03-01,240328000000.00
2013-04-01,243731000000.00
2013-05-01,259946000000.00
2013-06-01,235757000000.00
2013-07-01,246043000000.00
2013-08-01,244868000000.00
2013-09-01,232132000000.00
2013-10-01,258263000000.00
2013-11-01,242437000000.00
2013-12-01,248975000000.00
2014-01-01,239598000000.00
2014-02-01,225928000000.00
2014-03-01,255274000000.00
2014-04-01,262548000000.00
2014-05-01,268873000000.00
2014-06-01,253916000000.00
2014-07-01,261648000000.00
2014-08-01,248132000000.00
2014-09-01,249256000000.00
2014-10-01,261708000000.00
2014-11-01,235011000000.00
2014-12-01,245647000000.00
2015-01-01,216402000000.00
2015-02-01,209320000000.00
2015-03-01,234079000000.00
2015-04-01,239350000000.00
2015-05-01,238629000000.00
2015-06-01,245894000000.00
2015-07-01,238939000000.00
2015-08-01,227213000000.00
2015-09-01,231373000000.00
2015-10-01,241078000000.00
2015-11-01,220626000000.00
2015-12-01,229391000000.00
2016-01-01,200972000000.00
2016-02-01,203179000000.00
2016-03-01,231516000000.00
2016-04-01,222816000000.00
2016-05-01,233437000000.00
2016-06-01,237306000000.00
2016-07-01,218038000000.00
2016-08-01,238783000000.00
2016-09-01,230282000000.00
2016-10-01,235609000000.00
2016-11-01,234466000000.00
2016-12-01,237848000000.00
2017-01-01,224043000000.00
2017-02-01,217075000000.00
2017-03-01,251109000000.00
2017-04-01,230743000000.00
2017-05-01,251610000000.00
2017-06-01,247468000000.00
2017-07-01,229944000000.00
2017-08-01,250961000000.00
2017-09-01,238683000000.00
2017-10-01,255639000000.00
2017-11-01,251520000000.00
2017-12-01,249100000000.00
2018-01-01,242352000000.00
2018-02-01,227026000000.00
2018-03-01,258709000000.00
2018-04-01,253377000000.00
