Date,S423SMM144NCEN
1992-01-01,64380000000.00
1992-02-01,63487000000.00
1992-03-01,73672000000.00
1992-04-01,71309000000.00
1992-05-01,67717000000.00
1992-06-01,75109000000.00
1992-07-01,73193000000.00
1992-08-01,72284000000.00
1992-09-01,75128000000.00
1992-10-01,78355000000.00
1992-11-01,72111000000.00
1992-12-01,74437000000.00
1993-01-01,68952000000.00
1993-02-01,69095000000.00
1993-03-01,80468000000.00
1993-04-01,77780000000.00
1993-05-01,75985000000.00
1993-06-01,80845000000.00
1993-07-01,78487000000.00
1993-08-01,82406000000.00
1993-09-01,82544000000.00
1993-10-01,83615000000.00
1993-11-01,80134000000.00
1993-12-01,79634000000.00
1994-01-01,72561000000.00
1994-02-01,73465000000.00
1994-03-01,89646000000.00
1994-04-01,81585000000.00
1994-05-01,84631000000.00
1994-06-01,88736000000.00
1994-07-01,82265000000.00
1994-08-01,95037000000.00
1994-09-01,93127000000.00
1994-10-01,94660000000.00
1994-11-01,91096000000.00
1994-12-01,90829000000.00
1995-01-01,85829000000.00
1995-02-01,84645000000.00
1995-03-01,99868000000.00
1995-04-01,88703000000.00
1995-05-01,97529000000.00
1995-06-01,99401000000.00
1995-07-01,90021000000.00
1995-08-01,101746000000.00
1995-09-01,98308000000.00
1995-10-01,103369000000.00
1995-11-01,97211000000.00
1995-12-01,95071000000.00
1996-01-01,91180000000.00
1996-02-01,91351000000.00
1996-03-01,100412000000.00
1996-04-01,98381000000.00
1996-05-01,101007000000.00
1996-06-01,97680000000.00
1996-07-01,99333000000.00
1996-08-01,101803000000.00
1996-09-01,101668000000.00
1996-10-01,110072000000.00
1996-11-01,98588000000.00
1996-12-01,98867000000.00
1997-01-01,94322000000.00
1997-02-01,93933000000.00
1997-03-01,104916000000.00
1997-04-01,104371000000.00
1997-05-01,104117000000.00
1997-06-01,107116000000.00
1997-07-01,107231000000.00
1997-08-01,104189000000.00
1997-09-01,112678000000.00
1997-10-01,115875000000.00
1997-11-01,99981000000.00
1997-12-01,107655000000.00
1998-01-01,98289000000.00
1998-02-01,97590000000.00
1998-03-01,115308000000.00
1998-04-01,109998000000.00
1998-05-01,105782000000.00
1998-06-01,115744000000.00
1998-07-01,110970000000.00
1998-08-01,108472000000.00
1998-09-01,113601000000.00
1998-10-01,115044000000.00
1998-11-01,104493000000.00
1998-12-01,111254000000.00
1999-01-01,97358000000.00
1999-02-01,102247000000.00
1999-03-01,123416000000.00
1999-04-01,114675000000.00
1999-05-01,112860000000.00
1999-06-01,123983000000.00
1999-07-01,116968000000.00
1999-08-01,121319000000.00
1999-09-01,124122000000.00
1999-10-01,123522000000.00
1999-11-01,121044000000.00
1999-12-01,124857000000.00
2000-01-01,109520000000.00
2000-02-01,116112000000.00
2000-03-01,133446000000.00
2000-04-01,117927000000.00
2000-05-01,128577000000.00
2000-06-01,132427000000.00
2000-07-01,119282000000.00
2000-08-01,131921000000.00
2000-09-01,126601000000.00
2000-10-01,131379000000.00
2000-11-01,122727000000.00
2000-12-01,116754000000.00
2001-01-01,114556000000.00
2001-02-01,110300000000.00
2001-03-01,127878000000.00
2001-04-01,117133000000.00
2001-05-01,124523000000.00
2001-06-01,121666000000.00
2001-07-01,117541000000.00
2001-08-01,125259000000.00
2001-09-01,114451000000.00
2001-10-01,123906000000.00
2001-11-01,115309000000.00
2001-12-01,109673000000.00
2002-01-01,108820000000.00
2002-02-01,106046000000.00
2002-03-01,118997000000.00
2002-04-01,120118000000.00
2002-05-01,123228000000.00
2002-06-01,120321000000.00
2002-07-01,122086000000.00
2002-08-01,123648000000.00
2002-09-01,120789000000.00
2002-10-01,127420000000.00
2002-11-01,114995000000.00
2002-12-01,115035000000.00
2003-01-01,111140000000.00
2003-02-01,105510000000.00
2003-03-01,122598000000.00
2003-04-01,121265000000.00
2003-05-01,120267000000.00
2003-06-01,125469000000.00
2003-07-01,125393000000.00
2003-08-01,121024000000.00
2003-09-01,129466000000.00
2003-10-01,135199000000.00
2003-11-01,119168000000.00
2003-12-01,129659000000.00
2004-01-01,116778000000.00
2004-02-01,120379000000.00
2004-03-01,149693000000.00
2004-04-01,141849000000.00
2004-05-01,135725000000.00
2004-06-01,149721000000.00
2004-07-01,140412000000.00
2004-08-01,146215000000.00
2004-09-01,146824000000.00
2004-10-01,145846000000.00
2004-11-01,145291000000.00
2004-12-01,150855000000.00
2005-01-01,131784000000.00
2005-02-01,133832000000.00
2005-03-01,160982000000.00
2005-04-01,148750000000.00
2005-05-01,150865000000.00
2005-06-01,160185000000.00
2005-07-01,144874000000.00
2005-08-01,161824000000.00
2005-09-01,161319000000.00
2005-10-01,160448000000.00
2005-11-01,156615000000.00
2005-12-01,158869000000.00
2006-01-01,148603000000.00
2006-02-01,146648000000.00
2006-03-01,177134000000.00
2006-04-01,155544000000.00
2006-05-01,172834000000.00
2006-06-01,178401000000.00
2006-07-01,160162000000.00
2006-08-01,178978000000.00
2006-09-01,171485000000.00
2006-10-01,178997000000.00
2006-11-01,169882000000.00
2006-12-01,166471000000.00
2007-01-01,163155000000.00
2007-02-01,153002000000.00
2007-03-01,183428000000.00
2007-04-01,172492000000.00
2007-05-01,180075000000.00
2007-06-01,181777000000.00
2007-07-01,171515000000.00
2007-08-01,186436000000.00
2007-09-01,172713000000.00
2007-10-01,192260000000.00
2007-11-01,178257000000.00
2007-12-01,166859000000.00
2008-01-01,169409000000.00
2008-02-01,163318000000.00
2008-03-01,182415000000.00
2008-04-01,187675000000.00
2008-05-01,185521000000.00
2008-06-01,193062000000.00
2008-07-01,188835000000.00
2008-08-01,181158000000.00
2008-09-01,186438000000.00
2008-10-01,184305000000.00
2008-11-01,147758000000.00
2008-12-01,156821000000.00
2009-01-01,132293000000.00
2009-02-01,130198000000.00
2009-03-01,148033000000.00
2009-04-01,140546000000.00
2009-05-01,135067000000.00
2009-06-01,151492000000.00
2009-07-01,146585000000.00
2009-08-01,145500000000.00
2009-09-01,153794000000.00
2009-10-01,157277000000.00
2009-11-01,146382000000.00
2009-12-01,158390000000.00
2010-01-01,137932000000.00
2010-02-01,138870000000.00
2010-03-01,172904000000.00
2010-04-01,167286000000.00
2010-05-01,160490000000.00
2010-06-01,177392000000.00
2010-07-01,166938000000.00
2010-08-01,174228000000.00
2010-09-01,176332000000.00
2010-10-01,175205000000.00
2010-11-01,172755000000.00
2010-12-01,178915000000.00
2011-01-01,159880000000.00
2011-02-01,155856000000.00
2011-03-01,196413000000.00
2011-04-01,179238000000.00
2011-05-01,179439000000.00
2011-06-01,193904000000.00
2011-07-01,180487000000.00
2011-08-01,203463000000.00
2011-09-01,198614000000.00
2011-10-01,195113000000.00
2011-11-01,189799000000.00
2011-12-01,197477000000.00
2012-01-01,182302000000.00
2012-02-01,183568000000.00
2012-03-01,208946000000.00
2012-04-01,194155000000.00
2012-05-01,205160000000.00
2012-06-01,203418000000.00
2012-07-01,193658000000.00
2012-08-01,209167000000.00
2012-09-01,195464000000.00
2012-10-01,214014000000.00
2012-11-01,203570000000.00
2012-12-01,196154000000.00
2013-01-01,193907000000.00
2013-02-01,179899000000.00
2013-03-01,205749000000.00
2013-04-01,207456000000.00
2013-05-01,209759000000.00
2013-06-01,204541000000.00
2013-07-01,203674000000.00
2013-08-01,210445000000.00
2013-09-01,209580000000.00
2013-10-01,225385000000.00
2013-11-01,201217000000.00
2013-12-01,209413000000.00
2014-01-01,193785000000.00
2014-02-01,180735000000.00
2014-03-01,210506000000.00
2014-04-01,213394000000.00
2014-05-01,211807000000.00
2014-06-01,220548000000.00
2014-07-01,217355000000.00
2014-08-01,215351000000.00
2014-09-01,226398000000.00
2014-10-01,234778000000.00
2014-11-01,204657000000.00
2014-12-01,227327000000.00
2015-01-01,197571000000.00
2015-02-01,182035000000.00
2015-03-01,217700000000.00
2015-04-01,212790000000.00
2015-05-01,203494000000.00
2015-06-01,222633000000.00
2015-07-01,212515000000.00
2015-08-01,207160000000.00
2015-09-01,220133000000.00
2015-10-01,220815000000.00
2015-11-01,203846000000.00
2015-12-01,219450000000.00
2016-01-01,180886000000.00
2016-02-01,187651000000.00
2016-03-01,219514000000.00
2016-04-01,200980000000.00
2016-05-01,204979000000.00
2016-06-01,222405000000.00
2016-07-01,198526000000.00
2016-08-01,218814000000.00
