Date,U34FTI
2005-04-01,847000000.00
2005-05-01,868000000.00
2005-06-01,867000000.00
2005-07-01,901000000.00
2005-08-01,953000000.00
2005-09-01,1002000000.00
2005-10-01,1042000000.00
2005-11-01,1063000000.00
2005-12-01,872000000.00
2006-01-01,841000000.00
2006-02-01,768000000.00
2006-03-01,795000000.00
2006-04-01,781000000.00
2006-05-01,865000000.00
2006-06-01,852000000.00
2006-07-01,989000000.00
2006-08-01,1085000000.00
2006-09-01,1208000000.00
2006-10-01,1201000000.00
2006-11-01,1220000000.00
2006-12-01,1022000000.00
2007-01-01,1018000000.00
2007-02-01,922000000.00
2007-03-01,849000000.00
2007-04-01,818000000.00
2007-05-01,880000000.00
2007-06-01,901000000.00
2007-07-01,951000000.00
2007-08-01,963000000.00
2007-09-01,1000000000.00
2007-10-01,1039000000.00
2007-11-01,1026000000.00
2007-12-01,980000000.00
2008-01-01,979000000.00
2008-02-01,949000000.00
2008-03-01,896000000.00
2008-04-01,844000000.00
2008-05-01,904000000.00
2008-06-01,868000000.00
2008-07-01,877000000.00
2008-08-01,902000000.00
2008-09-01,916000000.00
2008-10-01,923000000.00
2008-11-01,884000000.00
2008-12-01,749000000.00
2009-01-01,751000000.00
2009-02-01,699000000.00
2009-03-01,622000000.00
2009-04-01,654000000.00
2009-05-01,652000000.00
2009-06-01,639000000.00
2009-07-01,669000000.00
2009-08-01,743000000.00
2009-09-01,816000000.00
2009-10-01,726000000.00
2009-11-01,629000000.00
2009-12-01,464000000.00
2010-01-01,469000000.00
2010-02-01,455000000.00
2010-03-01,470000000.00
2010-04-01,472000000.00
2010-05-01,471000000.00
2010-06-01,487000000.00
2010-07-01,536000000.00
2010-08-01,562000000.00
2010-09-01,594000000.00
2010-10-01,625000000.00
2010-11-01,606000000.00
2010-12-01,534000000.00
2011-01-01,538000000.00
2011-02-01,529000000.00
2011-03-01,501000000.00
2011-04-01,534000000.00
2011-05-01,554000000.00
2011-06-01,559000000.00
2011-07-01,593000000.00
2011-08-01,642000000.00
2011-09-01,646000000.00
2011-10-01,635000000.00
2011-11-01,618000000.00
2011-12-01,569000000.00
2012-01-01,548000000.00
2012-02-01,505000000.00
2012-03-01,470000000.00
2012-04-01,514000000.00
2012-05-01,515000000.00
2012-06-01,526000000.00
2012-07-01,593000000.00
2012-08-01,644000000.00
2012-09-01,683000000.00
2012-10-01,673000000.00
2012-11-01,568000000.00
2012-12-01,565000000.00
2013-01-01,568000000.00
2013-02-01,546000000.00
2013-03-01,507000000.00
2013-04-01,505000000.00
2013-05-01,485000000.00
2013-06-01,499000000.00
2013-07-01,520000000.00
2013-08-01,546000000.00
2013-09-01,571000000.00
2013-10-01,572000000.00
2013-11-01,554000000.00
2013-12-01,479000000.00
2014-01-01,508000000.00
2014-02-01,496000000.00
2014-03-01,480000000.00
2014-04-01,463000000.00
2014-05-01,478000000.00
2014-06-01,486000000.00
2014-07-01,548000000.00
2014-08-01,588000000.00
2014-09-01,637000000.00
2014-10-01,646000000.00
2014-11-01,621000000.00
2014-12-01,548000000.00
2015-01-01,551000000.00
2015-02-01,540000000.00
2015-03-01,473000000.00
2015-04-01,534000000.00
2015-05-01,521000000.00
2015-06-01,641000000.00
2015-07-01,662000000.00
2015-08-01,686000000.00
2015-09-01,699000000.00
2015-10-01,715000000.00
2015-11-01,665000000.00
2015-12-01,591000000.00
2016-01-01,604000000.00
2016-02-01,593000000.00
2016-03-01,542000000.00
2016-04-01,580000000.00
2016-05-01,580000000.00
2016-06-01,607000000.00
2016-07-01,635000000.00
2016-08-01,670000000.00
2016-09-01,590000000.00
2016-10-01,590000000.00
2016-11-01,572000000.00
2016-12-01,592000000.00
2017-01-01,640000000.00
2017-02-01,649000000.00
2017-03-01,628000000.00
2017-04-01,633000000.00
2017-05-01,603000000.00
2017-06-01,572000000.00
2017-07-01,600000000.00
2017-08-01,612000000.00
2017-09-01,631000000.00
2017-10-01,672000000.00
2017-11-01,595000000.00
2017-12-01,621000000.00
2018-01-01,558000000.00
2018-02-01,549000000.00
2018-03-01,536000000.00
2018-04-01,558000000.00
