Date,U34FTI
1992-01-01,846000000.00
1992-02-01,883000000.00
1992-03-01,889000000.00
1992-04-01,905000000.00
1992-05-01,923000000.00
1992-06-01,931000000.00
1992-07-01,926000000.00
1992-08-01,993000000.00
1992-09-01,961000000.00
1992-10-01,973000000.00
1992-11-01,949000000.00
1992-12-01,865000000.00
1993-01-01,874000000.00
1993-02-01,834000000.00
1993-03-01,822000000.00
1993-04-01,838000000.00
1993-05-01,859000000.00
1993-06-01,913000000.00
1993-07-01,955000000.00
1993-08-01,937000000.00
1993-09-01,906000000.00
1993-10-01,862000000.00
1993-11-01,803000000.00
1993-12-01,760000000.00
1994-01-01,802000000.00
1994-02-01,781000000.00
1994-03-01,789000000.00
1994-04-01,806000000.00
1994-05-01,840000000.00
1994-06-01,901000000.00
1994-07-01,980000000.00
1994-08-01,1035000000.00
1994-09-01,1033000000.00
1994-10-01,1025000000.00
1994-11-01,1007000000.00
1994-12-01,941000000.00
1995-01-01,1025000000.00
1995-02-01,1053000000.00
1995-03-01,1065000000.00
1995-04-01,1158000000.00
1995-05-01,1228000000.00
1995-06-01,1329000000.00
1995-07-01,1400000000.00
1995-08-01,1497000000.00
1995-09-01,1490000000.00
1995-10-01,1502000000.00
1995-11-01,1462000000.00
1995-12-01,1432000000.00
1996-01-01,1434000000.00
1996-02-01,1401000000.00
1996-03-01,1269000000.00
1996-04-01,1272000000.00
1996-05-01,1245000000.00
1996-06-01,1230000000.00
1996-07-01,1213000000.00
1996-08-01,1189000000.00
1996-09-01,1086000000.00
1996-10-01,992000000.00
1996-11-01,949000000.00
1996-12-01,896000000.00
1997-01-01,951000000.00
1997-02-01,923000000.00
1997-03-01,861000000.00
1997-04-01,860000000.00
1997-05-01,898000000.00
1997-06-01,901000000.00
1997-07-01,1078000000.00
1997-08-01,1012000000.00
1997-09-01,949000000.00
1997-10-01,920000000.00
1997-11-01,856000000.00
1997-12-01,808000000.00
1998-01-01,819000000.00
1998-02-01,820000000.00
1998-03-01,744000000.00
1998-04-01,698000000.00
1998-05-01,779000000.00
1998-06-01,823000000.00
1998-07-01,915000000.00
1998-08-01,960000000.00
1998-09-01,948000000.00
1998-10-01,949000000.00
1998-11-01,907000000.00
1998-12-01,825000000.00
1999-01-01,855000000.00
1999-02-01,854000000.00
1999-03-01,781000000.00
1999-04-01,801000000.00
1999-05-01,841000000.00
1999-06-01,918000000.00
1999-07-01,1102000000.00
1999-08-01,991000000.00
1999-09-01,1009000000.00
1999-10-01,984000000.00
1999-11-01,1001000000.00
1999-12-01,966000000.00
2000-01-01,984000000.00
2000-02-01,993000000.00
2000-03-01,899000000.00
2000-04-01,958000000.00
2000-05-01,1027000000.00
2000-06-01,1129000000.00
2000-07-01,1185000000.00
2000-08-01,1236000000.00
2000-09-01,1225000000.00
2000-10-01,1278000000.00
2000-11-01,1211000000.00
2000-12-01,1144000000.00
2001-01-01,1174000000.00
2001-02-01,1161000000.00
2001-03-01,939000000.00
2001-04-01,1033000000.00
2001-05-01,1054000000.00
2001-06-01,1148000000.00
2001-07-01,1113000000.00
2001-08-01,1049000000.00
2001-09-01,1078000000.00
2001-10-01,1140000000.00
2001-11-01,1055000000.00
2001-12-01,804000000.00
2002-01-01,878000000.00
2002-02-01,873000000.00
2002-03-01,778000000.00
2002-04-01,854000000.00
2002-05-01,887000000.00
2002-06-01,894000000.00
2002-07-01,940000000.00
2002-08-01,973000000.00
2002-09-01,987000000.00
2002-10-01,1061000000.00
2002-11-01,979000000.00
2002-12-01,790000000.00
2003-01-01,873000000.00
2003-02-01,831000000.00
2003-03-01,709000000.00
2003-04-01,783000000.00
2003-05-01,742000000.00
2003-06-01,731000000.00
2003-07-01,803000000.00
2003-08-01,801000000.00
2003-09-01,828000000.00
2003-10-01,881000000.00
2003-11-01,818000000.00
2003-12-01,703000000.00
2004-01-01,733000000.00
2004-02-01,675000000.00
2004-03-01,597000000.00
2004-04-01,636000000.00
2004-05-01,677000000.00
2004-06-01,750000000.00
2004-07-01,838000000.00
2004-08-01,880000000.00
2004-09-01,927000000.00
2004-10-01,948000000.00
2004-11-01,916000000.00
2004-12-01,798000000.00
2005-01-01,826000000.00
2005-02-01,838000000.00
2005-03-01,773000000.00
