Date,EQUIPCONTRIBNOW
2014-04-01,0.67
2014-07-01,0.68
2014-10-01,0.14
2015-01-01,0.35
2015-04-01,0.25
2015-07-01,0.61
2015-10-01,0.27
2016-01-01,-0.15
2016-04-01,-0.11
2016-07-01,-0.01
2016-10-01,0.22
2017-01-01,0.36
2017-04-01,0.22
2017-07-01,0.31
2017-10-01,0.76
2018-01-01,0.24
2018-04-01,0.23
