Date,EXSFHSUSM495N
2017-04-01,395000.00
2017-05-01,493000.00
2017-06-01,536000.00
2017-07-01,455000.00
2017-08-01,474000.00
2017-09-01,410000.00
2017-10-01,406000.00
2017-11-01,380000.00
2017-12-01,380000.00
2018-01-01,281000.00
2018-02-01,283000.00
2018-03-01,382000.00
2018-04-01,404000.00
2018-05-01,476000.00
